rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_Obispado;ref_START;ref_END;ref_Pais;ref_Adm1;manual_region;manual_province;manual_district;manual_ciudad_villa_only
42;Ostumac;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
41;Yzcateopan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
45;Apastla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
47;Yztapa;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
43;Alahuistlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
44;Apastla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
46;Apastla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
161;San Pedro Añañe;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
160;Coixtlahuaca;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
132;Trinidad de la Huertas;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
156;San Miguel Malinaltepec;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
115;Zaachila;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
135;Lachixijo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
131;Tlalixtac;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
130;Abasolo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
119;Soledad Etla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
127;Teotitlan del Valle;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
126;Teotitlan del Valle;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
118;Ocotlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
150;Achiutla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
134;Tlapacoya;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
129;Various towns;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
114;Zaachila;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
159;San Miguel el Grande;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
148;Chalcatongo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
158;Teposcolula;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
113;Zaachila;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
147;Yanhuitlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
155;Teozacualco ;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
123;Zimatlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
122;Zimatlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
133;Macuilx6chitl;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
109;San Pablo Etla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
125;San Antonio de la Cal;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
157;Theotila;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
153;Santo Domingo Yodoino;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
152;Yolomecatl;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
151;Yolomecatl;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
137;Ayoquesco;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
121;Zimatlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
154;San Andres Xinastla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
124;San Antonio de la Cal;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
108;Cuilapan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
111;Sant Cruz Amilpas;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
