rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_START;ref_END;ref_Partido;ref_Obispado;ref_Audiencia;manual_region;manual_province;manual_district;manual_ciudad_villa_only
69;Puno;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
70;Mojos;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
71;Paraysancos;6000504;Paraysancos;Parayfancos @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1768.0;1768.0;Lucanas;;;;;;False
72;Quito;5600001;Quito;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1768.0;1768.0;;Quito;;;;;False
73;Chumbivilcas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
74;Contumaza;6001242;Contumaza;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1769.0;1769.0;;;Lima;;;;False
75;Asuncion;6001243;Asuncion;;toponym_label;1;saint_mismatch;category_null;matched;adopted_candidate;1769.0;1769.0;Cajamarca;;;;;;False
76;Sicuani;6000365;Sicuani;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;;Lima;;;;False
77;Checacupe;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
78;Sicasica;8000034;Sicasica;Sica Sica @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;La Plata;;;;;False
79;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;Arequipa;;;;;False
80;Chulimani;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
81;Pacajes;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
82;Santiago de Cao;6001440;Santiago de Cao;;toponym_nombre;1;saint_mismatch;category_null;matched;adopted_candidate;1771.0;1771.0;Trujillo;;;;;;False
83;Cocharcas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
84;Morrope;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
85;Contumza;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
86;Quiquijana;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
87;Chipao;6000500;Chipao;Chipau @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1771.0;1771.0;Lucanas;;;;;;False
88;Sodongo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
89;Contumaza;6001242;Contumaza;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1772.0;1772.0;Cajamarca;;;;;;False
90;Quechualla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
91;Celendin;6001246;Celendin;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1773.0;1773.0;Cajamarca;;;;;;False
92;Santiago de Chuco;6001335;Santiago de Chuco;;toponym_nombre;1;saint_mismatch;category_null;matched;adopted_candidate;1773.0;1773.0;Huamachuco;;;;;;False
93;Huari;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
94;Chota;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
95;Chumbivilcas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
96;Cacamarca;6000439;Chacamarca;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1774.0;1774.0;Vilcashuaman;;;;;;False
97;Huaylas;6001100;Huaylas;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1774.0;1774.0;;Lima;;;;;False
98;Condo Condo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
99;Santiago de Huamachuco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
100;Cochabamba;8000004;Cochabamba;Villa de Oropesa @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1775.0;1775.0;;La Plata;;;;;False
101;Viraco;6000103;Viraco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1775.0;1775.0;;;Lima;;;;False
102;Achoma;6000071;Achoma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1775.0;1775.0;Caylloma;;;;;;False
103;Huamalies;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
104;Maras;6000380;Maras;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1777.0;1777.0;Urubamba;;;;;;False
105;La Paz;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
106;Velille;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
107;Yungay;6001102;Yungay;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;;;Lima;;;;False
108;Huaraz;6001098;San Sebastian Huaraz;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;;Lima;;;;;False
109;Arequipa;6000007;Arequipa;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;Arequipa;;;;;False
110;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;Arequipa;;;;;False
111;Moquegua;6000122;Moquegua;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;Arequipa;;;;;False
112;Yungay;6001102;Yungay;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;;Lima;;;;False
113;Caraz;6001101;Caraz;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;Lima;;;;;False
114;Huaraz;6001098;San Sebastian Huaraz;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;Lima;;;;;False
115;Pasco;6001177;San Esteban de Yauricocha;San Esteban de Yauricocha @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;Lima;;;;;False
116;La Paz;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
117;Chongos;6001144;Chongos;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;Jauja;;;;;;False
118;Mito;6001140;Mito;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;Jauja;;;;;;False
119;Chayanta;8000037;Espiritu Santo Chayanta;Chayantacas @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;La Plata;;;;;False
120;Otuzco;6001332;Otuzco;Otusco @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;;Lima;;;;False
121;Huamachuco;6001331;Huamachuco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;Trujillo;;;;;False
122;Huamanga;6000006;San Juan de la Frontera de Huamanga;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1780.0;1780.0;;Huamanga;;;;;False
123;Tinta;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
124;Quipicanchis;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
125;Chumbivilcas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
126;Condoroma;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
127;Carabaya;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
128;Paucartambo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
129;Paruro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
130;Lampa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
131;Azangaro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
132;Chucuito;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
133;Paucarcolla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
134;Paria;8000049;San Ildefonso Paria;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1781.0;1781.0;;La Plata;;;;;False
135;Chuquisaca;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
136;Cochabamba;8000004;Cochabamba;Villa de Oropesa @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1781.0;1781.0;;La Plata;;;;;False
137;Oruro;8000010;San Miguel de Oruro;Uru-Uru;toponym_label;1;saint_null;category_null;matched;auto_adopt;1781.0;1781.0;;La Plata;;;;;False
138;Tapacari;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
139;Larecaja;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
140;Omasuyos;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
141;Pacajes;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
142;La Paz;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
143;Tupiza;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
144;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1781.0;1781.0;;Arequipa;;;;;False
145;Ychuma;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
146;Arica;6000021;Arica;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1781.0;1781.0;;Arequipa;;;;;False
147;Cajatambo;6000943;Cajatambo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1781.0;1781.0;;Lima;;;;;False
