rowID;ref_Label;gz_id;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only
104;Castrovirreyna;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
105;Chachapoyas;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
106;Cuzco;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
107;Huamanga;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
108;Huancavelica;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
109;Jauja;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
110;Lima;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
111;Piura y Paita;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
112;San Juan de Matucana;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
113;Saña;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
114;Trujillo;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
115;Vico y Pasco;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
116;Cuenca;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
117;Guayaquil;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
118;Jaen;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
119;Jaén;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
120;Loja;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
121;Puerto Viejo;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
122;Quito;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
123;Yaguarzongo;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
124;Zamora;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
125;Buenos Aires;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
126;Catamarca;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
127;Córdoba;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
128;Corrientes;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
129;Jujuy;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
130;La Rioja;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
131;Maldonado;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
132;Mendoza;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
133;Montevideo;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
134;Paraguay;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
135;Paraguay;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
136;Salta;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
137;San Juan;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
138;Santa Fe;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
139;Santiago Estero;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
140;Tucumán;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
141;Tucumán;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
142;Bayamo;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
143;Florida;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
144;Jamaica;;null;0;null;null;no_matches_all_levels;relegated;EXT;1111;9999;;;;False
145;La Habana;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
146;Matanzas;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
147;Nueva Orleans;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
148;Pensacola;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
