ref_Region;internalID;Label;Tipo;Cardinalidad;Rango;ref_Label;ref_START;START_ex;ref_END;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain;rowID
NES;Correo_1000192;Estafeta de correo de Totomehuacán;Estafeta de correo;Estafeta;4;Totomehuacán;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;395
NES;Correo_1000193;Estafeta de correo de Zacatlan de las Manzanas;Estafeta de correo;Estafeta;4;Zacatlan de las Manzanas;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;396
GDJ;Correo_1000194;Estafeta de correo de Real de la Purísima Concepción de los Catorce;Estafeta de correo;Estafeta;4;Real de la Purísima Concepción de los Catorce;1111;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo;397
GDJ;Correo_1000195;Estafeta de correo de Santa María de las Charcas;Estafeta de correo;Estafeta;4;Santa María de las Charcas;1111;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo;398
NES;Correo_1000196;Estafeta de correo de Guadalcázar;Estafeta de correo;Estafeta;4;Guadalcázar;1111;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo;399
NES;Correo_1000199;Estafeta de correo de Valle de San Francisco;Estafeta de correo;Estafeta;4;Valle de San Francisco;1111;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo;400
NES;Correo_1000200;Estafeta de correo de Aquismon;Estafeta de correo;Estafeta;4;Aquismon;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;401
GDJ;Correo_1000201;Estafeta de correo de San Sebastián del Venado;Estafeta de correo;Estafeta;4;San Sebastián del Venado;1111;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo;402
GDJ;Correo_1000202;Estafeta de correo de Alamos;Estafeta de correo;Estafeta;4;Alamos;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;403
GDJ;Correo_1000204;Estafeta de correo de Cosala;Estafeta de correo;Estafeta;4;Cosala;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;404
GDJ;Correo_1000205;Estafeta de correo de Culiacán;Estafeta de correo;Estafeta;4;Culiacán;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;405
GDJ;Correo_1000206;Estafeta de correo de Fuerte;Estafeta de correo;Estafeta;4;Fuerte;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;406
GDJ;Correo_1000210;Estafeta de correo de Real  del Rosario;Estafeta de correo;Estafeta;4;Real  del Rosario;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;407
GDJ;Correo_1000211;Estafeta de correo de Sinaloa;Estafeta de correo;Estafeta;4;Sinaloa;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;408
NES;Correo_1000212;Estafeta de correo de Acayucan;Estafeta de correo;Estafeta;4;Acayucan;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;409
NES;Correo_1000213;Estafeta de correo de Cordoba;Estafeta de correo;Estafeta;4;Cordoba;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;410
NES;Correo_1000215;Estafeta de correo de Perote;Estafeta de correo;Estafeta;4;Perote;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;411
NES;Correo_1000216;Estafeta de correo de Orizaba;Estafeta de correo;Estafeta;4;Orizaba;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;412
NES;Correo_1000217;Estafeta de correo de Panuco;Estafeta de correo;Estafeta;4;Panuco;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;413
