ID;ref_Label;Entidad_ID;Nivel;ref_START;START_;END_;Productos;Fuente;Nota;rowID;ref_END
34;Moca;PTSDPRMO;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;34;9999
35;Ponce;PTSDPRPO;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;35;9999
36;Rincón;PTSDPRRI;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;36;9999
37;Rio Piedras;PTSDPRRP;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;37;9999
38;Toa Alta;PTSDPRTA;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;38;9999
39;Toa baja;PTSDPRTB;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;39;9999
40;Tuna;PTSDPRTU;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;40;9999
41;Utuado;PTSDPRUT;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;41;9999
42;Vegas y Pepino;PTSDPRVP;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;42;9999
43;Yauco;PTSDPRYC;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;43;9999
44;Humacao;PTSDPRHU;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;44;9999
45;La Vega;PTSDPRVB;Partido;1111;1770;1770;Tabaco, Ganado;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";45;9999
46;La Vega;PTSDPRVB;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;46;9999
47;Manati;PTSDPRMA;Partido;1111;1770;1770;Tabaco, Ganado;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";47;9999
48;Manati;PTSDPRMA;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;48;9999
