rowID;ref_Label;gz_id;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only;manual_category
94;Santa Maria Tixmadeje;;;0;;;no_candidates;relegated;NES;Xilotepec-Huichapan;1789;1789;;;;False;
95;Alfajayuca;;;0;;;no_candidates;relegated;NES;Xilotepec-Huichapan;1766;1766;;;;False;
96;Zimapatongo;;;0;;;no_matches;relegated;NES;Zimapan ;1807;1807;;;;False;
98;La Milpa;;;0;;;no_candidates;relegated;NES;Tumultos in central Mexico unidentified by jurisdiction;1766;1766;;;;False;
99;Dayonthe;;;0;;;no_candidates;relegated;NES;Tumultos in central Mexico unidentified by jurisdiction;1805;1805;;;;False;
101;San Andres Chalchicomula;;;0;;;missing_spatial_fields;relegated;NES;;1768;1768;;;;False;
102;Tetela de Xonotla;;;0;;;missing_spatial_fields;relegated;NES;;1798;1798;;;;False;
103;San Gabriel Chilac;;;0;;;missing_spatial_fields;relegated;NES;;1801;1801;;;;False;
104;Soquitlan;;;0;;;missing_spatial_fields;relegated;NES;;1708;1708;;;;False;
105;Izucar de Matamoros;;;0;;;missing_spatial_fields;relegated;NES;;1781;1781;;;;False;
108;Cuilapan;;;0;;;missing_spatial_fields;relegated;NES;;1725;1725;;;;False;
109;San Pablo Etla;;;0;;;missing_spatial_fields;relegated;NES;;1755;1755;;;;False;
110;Sant Cruz Amilpas;;;0;;;missing_spatial_fields;relegated;NES;;1710;1710;;;;False;
111;Sant Cruz Amilpas;;;0;;;missing_spatial_fields;relegated;NES;;1720;1720;;;;False;
112;Zaachila;;;0;;;missing_spatial_fields;relegated;NES;;1710;1710;;;;False;
113;Zaachila;;;0;;;missing_spatial_fields;relegated;NES;;1776;1776;;;;False;
114;Zaachila;;;0;;;missing_spatial_fields;relegated;NES;;1784;1784;;;;False;
115;Zaachila;;;0;;;missing_spatial_fields;relegated;NES;;1806;1806;;;;False;
116;Guelavia;;;0;;;missing_spatial_fields;relegated;NES;;1690;1690;;;;False;
117;Guelavia;;;0;;;missing_spatial_fields;relegated;NES;;1705;1705;;;;False;
118;Ocotlan;;;0;;;missing_spatial_fields;relegated;NES;;1788;1788;;;;False;
119;Soledad Etla;;;0;;;missing_spatial_fields;relegated;NES;;1797;1797;;;;False;
121;Zimatlan;;;0;;;missing_spatial_fields;relegated;NES;;1740;1740;;;;False;
122;Zimatlan;;;0;;;missing_spatial_fields;relegated;NES;;1773;1773;;;;False;
123;Zimatlan;;;0;;;missing_spatial_fields;relegated;NES;;1774;1774;;;;False;
124;San Antonio de la Cal;;;0;;;missing_spatial_fields;relegated;NES;;1730;1730;;;;False;
125;San Antonio de la Cal, AGN Tierras 2259 exp. 4 (1730-1787) ;;;0;;;missing_spatial_fields;relegated;NES;;1754;1754;;;;False;
126;Teotitlan del Valle;;;0;;;missing_spatial_fields;relegated;NES;;1792;1792;;;;False;
127;Teotitlan del Valle;;;0;;;missing_spatial_fields;relegated;NES;;1793;1793;;;;False;
128;Santa Lucia;;;0;;;missing_spatial_fields;relegated;NES;;1717;1717;;;;False;
129;Various towns;;;0;;;missing_spatial_fields;relegated;NES;;1784;1784;;;;False;
130;Abasolo;;;0;;;missing_spatial_fields;relegated;NES;;1800;1800;;;;False;
131;Tlalixtac;;;0;;;missing_spatial_fields;relegated;NES;;1804;1804;;;;False;
132;Trinidad de la Huertas;;;0;;;missing_spatial_fields;relegated;NES;;1808;1808;;;;False;
133;Macuilx6chitl;;;0;;;missing_spatial_fields;relegated;NES;;1757;1757;;;;False;
134;Tlapacoya;;;0;;;missing_spatial_fields;relegated;NES;;1785;1785;;;;False;
135;Lachixijo;;;0;;;missing_spatial_fields;relegated;NES;;1804;1804;;;;False;
136;San Pablo, district of Cuatro Villas;;;0;;;missing_spatial_fields;relegated;NES;;1689;1689;;;;False;
137;Ayoquesco;;;0;;;missing_spatial_fields;relegated;NES;;1742;1742;;;;False;
138;Achiutla;;;0;;;missing_spatial_fields;relegated;NES;;1629;1629;;;;False;
139;Petalcingo;;;0;;;missing_spatial_fields;relegated;NES;;1631;1631;;;;False;
140;Sujeto of Teposcolula;;;0;;;missing_spatial_fields;relegated;NES;;1639;1639;;;;False;
141;Xinastla;;;0;;;missing_spatial_fields;relegated;NES;;1680;1680;;;;False;
142;Santiago Tillo;;;0;;;missing_spatial_fields;relegated;NES;;1683;1683;;;;False;
143;Tamazulapa;;;0;;;missing_spatial_fields;relegated;NES;;1686;1686;;;;False;
144;Xaltepetongo;;;0;;;missing_spatial_fields;relegated;NES;;1688;1688;;;;False;
145;Tiltepec;;;0;;;missing_spatial_fields;relegated;NES;;1692;1692;;;;False;
146;Usila;;;0;;;missing_spatial_fields;relegated;NES;;1702;1702;;;;False;
