rowID;ref_Label;level;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;fine_level_mismatch;GZ_ID;Contexto-Sup1;Contexto-Sup2;ref_Jurisdiccion;Contexto-Sup4;ref_Region;ref_START;ref_END;phase_1b_step
7406;Capinota;Curato;8000084;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Capinota;Arque;Cochabamba;;;;Capinota;Cochabamba;;CHA;1777;1777;
7407;Choquecamata;Curato;8000096;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Choquecamata;Sacaba;Cochabamba;;;;Choquecamata;Cochabamba;;CHA;1777;1777;
7408;Tapacarí;Curato;8000029;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Tapacari;Tapacari;Cochabamba;;;;Tapacarí;Cochabamba;;CHA;1777;1777;
7409;Tarija;Curato;8000017;1.0;category_null;no_saint;jurisdiccion_exact;adopted_candidate;exact;Tarija;Tarija;Potosi;;;;Villa de Tarija;Chichas;;CHA;1777;1777;
7410;Concepción;Curato;8000186;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Concepcion;Tarija;Potosi;;;;Concepción;Chichas;;CHA;1777;1777;
7411;San Lorenzo;Curato;8000185;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;San Lorenzo;Tarija;Potosi;;;;San Lorenzo;Chichas;;CHA;1777;1777;
7412;Tupiza;Curato;8000038;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Tupiza;Chichas;Potosi;;;;Villa de Tupiza;Chichas;;CHA;1777;1777;
7413;Calcha;Curato;8000165;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Calcha;Chichas;Potosi;;;;Calcha;Chichas;;CHA;1777;1777;
7414;Talina;Curato;8000163;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Talina;Chichas;Potosi;;;;Talina;Chichas;;CHA;1777;1777;
7415;Santiago de Cotagayta;Curato;8000164;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Cotagaita;Chichas;Potosi;;;;Santiago de Cotagayta;Chichas;;CHA;1777;1777;
7416;Chocaya;Curato;8000480;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Chocaya;Chichas;Potosi;;;;Chocaya;Chichas;;CHA;1777;1777;
7417;Matriz;Barrio;8000010;;pending;pending;unknown;adopted_relegated;none;Oruro;Oruro;Charcas;True;;;Matriz;Oruro;;CHA;1777;1777;
7418;Rancheria;Barrio;8000664;;pending;pending;unknown;adopted_relegated;none;San Miguel;Oruro;Charcas;False;;;Rancheria;Oruro;;CHA;1777;1777;
7419;Oruro;Nucleo;8000010;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Oruro;Oruro;Charcas;;;;Oruro;Oruro;;CHA;1777;1777;
7420;Porco;Curato;8000170;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Porco;Porco;Potosi;;;;Porco;Porco;;CHA;1777;1777;
7421;Puna;Curato;8000016;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Talavera;Porco;Potosi;;;;Puna;Porco;;CHA;1777;1777;
7422;Chaqui;Curato;8000174;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Chaqui;Porco;Potosi;;;;Chaqui;Porco;;CHA;1777;1777;
7423;Cayza;Curato;8000168;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Cayza;Porco;Potosi;;;;Cayza;Porco;;CHA;1777;1777;
7424;Toropalca;Curato;8000169;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Toropalca;Porco;Potosi;;;;Toropalca;Porco;;CHA;1777;1777;
7425;Bartholo;Curato;8000176;857;category_null;no_saint;jurisdiccion_exact;adopted_candidate;fuzzy;Bartolo;Porco;Potosi;;;;Bartholo;Porco;;CHA;1777;1777;
7426;Sipooro;Curato;8000181;909;category_null;no_saint;jurisdiccion_exact;auto_adopt;fuzzy;Siporo;Porco;Potosi;;;;Sipooxo;Porco;;CHA;1777;1777;
7427;Tomahave;Curato;8000172;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Tomabe;Porco;Potosi;;;;Tomahave;Porco;;CHA;1777;1777;
7428;Miculpaya;Curato;8000180;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Miculpaya;Porco;Potosi;;;;Miculpaya;Porco;;CHA;1777;1777;
7429;Tinquipaya;Curato;8000175;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Tinguipaya;Porco;Potosi;;;;Tinquipaya;Porco;;CHA;1777;1777;
7430;Esquiri Mataca alta;Curato;8000177;1.0;category_null;no_saint;jurisdiccion_exact;adopted_candidate;exact;Esquiri;Porco;Potosi;;;;Esquiri Mataca alta;Porco;;CHA;1777;1777;
7431;Santa Ana Mataca vaja;Curato;8000184;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Mataca baja;Porco;Potosi;;;;Santa Ana Mataca vaja;Porco;;CHA;1777;1777;
7432;Tacobamba;Curato;8000183;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Tacobamba;Porco;Potosi;;;;Tacobamba;Porco;;CHA;1777;1777;
7433;Turuchipa;Curato;8000179;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Turuchipa;Porco;Potosi;;;;Turuchipa;Porco;;CHA;1777;1777;
7434;Potobamba;Curato;8000182;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Potobamba;Porco;Potosi;;;;Potobamba;Porco;;CHA;1777;1777;
7435;Tuna;Curato;8000171;;pending;pending;unknown;adopted_relegated;none;Yura;Porco;Potosi;True;;;Tuna;Porco;;CHA;1777;1777;
7436;Pocopoco;Curato;8000178;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Pocopoco;Porco;Potosi;;;;Pocopoco;Porco;;CHA;1777;1777;
7437;Chulchucani;Curato;8000695;1.0;category_null;no_saint;region_exact;adopted_candidate;toponym_nombre;Chulchucani;Potosi;Potosi;;;;Chulchucani;Porco;;CHA;1777;1777;no_partido_jurisdiccion
7438;Tarapaya;Curato;8000637;1.0;category_null;no_saint;region_exact;adopted_candidate;toponym_nombre;Tarapaya;Potosi;Potosi;;;;Tarapaya;Porco;;CHA;1777;1777;no_partido_jurisdiccion
7439;Salinas de Yocalla;Curato;8000636;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Yocalla;Porco;Potosi;;;;Salinas de Yocalla;Porco;;CHA;1777;1777;
7440;Curato de Chayanta;Curato;8000037;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Chayanta;Chayanta;Potosi;;;;Chayanta;Chayanta;;CHA;1777;1777;
7441;Chayantacas;Curato;8000037;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Chayanta;Chayanta;Potosi;;;;Chayantacas;Chayanta;;CHA;1777;1777;
7442;San Pedro de Buenavista;Curato;8000150;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;San Pedro;Chayanta;Potosi;;;;San Pedro de Buenavista;Chayanta;;CHA;1777;1777;
7443;Miraflores;Curato;8000152;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Miraflores;Chayanta;Potosi;;;;Miraflores;Chayanta;;CHA;1777;1777;
7444;Moromoro;Curato;8000156;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Moromoro;Chayanta;Potosi;;;;Moromoro;Chayanta;;CHA;1777;1777;
7445;Pitantora;Curato;8000155;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Pitantora;Chayanta;Potosi;;;;Pitantora;Chayanta;;CHA;1777;1777;
