Label;GZ_ID;ID;Contexto-Sup1;Contexto-Sup2;Contexto-Sup3;Contexto-Sup4;REG;Curatos;Anexos;Nucleos;Alcance-tipo;START_;END_;Fecha_Dato;Dato-tipo;Fuente;SUMAS;Nota;Total;Blancos;Indios;Mestizos;Castas;Indefinidos;Blancos-rel;Indios-rel;Mestizos-rel;Castas-rel;Indefinidos-rel;Esclavos;Esclavos-rel;Vecinos-doc;Tributarios-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indefinidos-t-doc;Indios-t-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiásticos-m-doc;Eclesiásticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Indios-m-doc;Indios-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-cas-doc;Negros-f-sol-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Casas-doc;Familias-Blancos;Familias-Indios;Fam-Indefinidos;Fam-Mestizos;Fam-Castas;Fam-Negros;Fam-Esclavos;Etnia principal;Etnias;gz_id;lat_y;lon_x;cert
San Roque;;7386;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;1507;0;1507;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;388;33;215;388;164;319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000676;-19,5812720000027;-65,7511099997267;Buena
San Bernardo;;7387;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;1649;0;1649;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;614;80;107;614;135;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000704;-19,586605;-65,754824;
San Benito;;7388;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;683;0;683;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;238;37;44;238;74;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000674;-19,5917340004237;-65,7593839999716;Buena
San Pedro;;7389;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;1570;0;1570;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;558;83;125;558;143;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000672;-19,5946269998361;-65,7519570001154;Buena
San Pablo;;7390;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;1932;0;1932;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;743;86;139;743;108;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000669;-19,5927250002585;-65,7499199997082;Buena
Santiago;;7391;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;1316;0;1316;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;498;73;85;498;68;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000673;-19,5922699999605;-65,7548500004272;Buena
San Juan;;7392;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;1181;0;1181;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;415;115;134;415;78;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000670;-19,5903389999448;-65,7461939996533;Buena
Concepción;;7393;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;2500;0;2500;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;469;362;424;469;324;452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000671;-19,5925830000054;-65,7469539996274;Buena
Potosi;;7394;;Potosi;Yamparaez;;CHA;;;;Nucleo;1777;1777;1778;original;;;;24376;4877;12338;6435;726;0;20,00738431;50,61535937;26,39891697;2,97833935;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;680;1595;435;680;1023;464;3923;869;1273;3923;1094;1256;0;0;0;0;0;0;741;1665;724;741;1807;757;87;145;25;87;360;22;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000006;-19,5892809997183;-65,7535109998327;Buena
Curato de la Villa;;7395;;Cochabamba;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;9488;3253;2566;3264;405;0;34,28541315;27,04468803;34,40134907;4,268549747;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;475;488;450;475;929;436;430;294;363;430;606;443;0;0;0;0;0;0;525;435;553;525;693;533;47;68;58;47;117;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000004;-17,3935420000632;-66,1570139995964;Buena
