Label;GZ_ID;ID;Contexto-Sup1;Contexto-Sup2;Contexto-Sup3;Contexto-Sup4;REG;Curatos;Anexos;Nucleos;Alcance-tipo;START_;END_;Fecha_Dato;Dato-tipo;Fuente;SUMAS;Nota;Total;Blancos;Indios;Mestizos;Castas;Indefinidos;Blancos-rel;Indios-rel;Mestizos-rel;Castas-rel;Indefinidos-rel;Esclavos;Esclavos-rel;Vecinos-doc;Tributarios-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indefinidos-t-doc;Indios-t-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiásticos-m-doc;Eclesiásticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Indios-m-doc;Indios-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-cas-doc;Negros-f-sol-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Casas-doc;Familias-Blancos;Familias-Indios;Fam-Indefinidos;Fam-Mestizos;Fam-Castas;Fam-Negros;Fam-Esclavos;Etnia principal;Etnias;gz_id;lat_y;lon_x;cert
Pitantora;;7445;;Pitantora;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;4012;460;2759;721;72;0;11,46560319;68,76869392;17,97108674;1,794616152;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;68;95;74;78;71;629;255;554;629;247;445;0;0;0;0;0;0;132;94;140;132;115;108;17;17;4;17;10;7;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000155;-18,6961570002453;-65,6292479998953;Buena
Guaycoma;;7446;;Guarycoma;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;1572;42;1280;233;17;0;2,671755725;81,42493639;14,82188295;1,081424936;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;6;6;9;10;2;335;149;209;335;112;140;0;0;0;0;0;0;40;67;32;40;29;25;5;1;2;5;3;1;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000154;-18,5843740002599;-65,5212790004255;Buena
Micani;;7447;;Micani;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;806;31;678;97;0;0;3,846153846;84,1191067;12,03473945;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;3;8;4;2;216;59;64;216;63;60;0;0;0;0;0;0;26;6;19;26;8;12;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000151;-18,3689829995657;-65,8333390001947;Buena
Acacio;;7448;;Acacio;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;5890;527;4297;988;78;0;8,947368421;72,95415959;16,77419355;1,324278438;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;83;85;95;100;69;1076;545;621;1076;483;496;0;0;0;0;0;0;203;140;139;203;166;137;15;8;15;15;6;19;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000149;-18,0241670001069;-66,0588889999274;Buena
Aymaya;;7449;;Aymaya;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;2305;36;2154;110;5;0;1,561822126;93,44902386;4,772234273;0,21691974;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;4;1;8;10;5;465;247;364;465;309;304;0;0;0;0;0;0;27;10;18;27;14;14;2;0;0;2;0;1;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000147;-18,4488326502066;-66,4612532601298;Buena
Panacachi;;7450;;Panacachi;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;1576;7;1468;95;6;0;0,444162437;93,14720812;6,027918782;0,38071066;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;1;1;0;1;302;159;244;302;196;265;0;0;0;0;0;0;17;8;21;17;12;20;1;0;1;1;0;3;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000160;-18,424847000089;-66,2842920000757;Buena
Pocoata;;7451;;Pocoata;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;4454;159;4085;193;17;0;3,569824877;91,71531208;4,333183655;0,381679389;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;20;30;37;13;22;1394;265;390;1394;300;342;0;0;0;0;0;0;37;30;26;37;29;34;3;0;3;3;5;3;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000161;-18,6988490002811;-66,1626860003586;Buena
Macha;;7452;;Macha;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;6556;231;5721;598;6;0;3,523489933;87,26357535;9,121415497;0,091519219;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;25;14;84;11;13;1360;696;1032;1360;420;853;0;0;0;0;0;0;134;79;104;134;71;76;0;0;0;0;4;2;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000158;-18,8175000004246;-66,0372219998953;Buena
Carazi;;7453;;Caxazi;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;3890;268;3209;262;151;0;6,889460154;82,49357326;6,735218509;3,881748072;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;42;40;46;53;41;757;368;551;757;318;458;0;0;0;0;0;0;63;36;42;63;31;27;37;20;19;37;16;22;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000153;-18,3188859996891;-65,6891179998958;Buena
Moscari;;7454;;Moscari;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;3467;160;2914;393;0;0;4,614940871;84,04961061;11,33544851;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;40;12;33;22;20;611;660;179;611;531;322;0;0;0;0;0;0;115;31;17;115;79;36;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000159;-18,3628000004196;-66,0150999995653;Suficiente
Aullagas;;7455;;Aullagas;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;4425;923;1453;2041;8;0;20,85875706;32,83615819;46,12429379;0,18079096;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187;143;138;187;157;111;296;274;252;296;229;106;0;0;0;0;0;0;679;354;78;679;205;46;1;4;0;1;2;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000157;-18,6837999996702;-65,9993000002947;Buena
Sacaca;;7456;;Sacaca;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;11562;404;11158;0;0;0;3,494205155;96,50579485;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;63;51;84;73;49;2541;1527;1379;2541;1667;1503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000148;-18,0694439998407;-66,3844439996908;Buena
San Ildefonso de Paria;;7457;;San Ildefonso de Paria;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;3267;4;3262;0;1;0;0,122436486;99,84695439;0,0;0,030609122;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;2;0;0;1079;262;350;1079;207;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000049;-17,8222060000069;-67,0203559998295;Buena
Caracollo;;7458;;Caracollo;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;3979;50;3830;99;0;0;1,256597135;96,25534054;2,488062327;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;11;8;12;5;763;465;740;763;450;649;0;0;0;0;0;0;20;8;16;20;15;20;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9900187;-17,6511593598166;-67,215286180213;Buena
Soracora;;7459;;Soracoxa;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;5192;710;4126;277;79;0;13,67488444;79,46841294;5,335130971;1,521571649;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;102;99;148;112;101;871;461;733;871;489;701;0;0;0;0;0;0;47;43;48;47;39;53;17;16;13;17;8;8;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000282;-18,1699509996389;-66,9641050003455;Buena
Condocondo;;7460;;Condocondo;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;6895;157;6623;115;0;0;2,277012328;96,0551124;1,667875272;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;27;24;26;27;27;1427;684;1211;1427;754;1120;0;0;0;0;0;0;27;11;18;27;10;22;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000055;-19,0435000002248;-66,7453999997102;Buena
Challapata;;7461;;Challapata;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;5108;0;5108;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;953;711;797;953;886;808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000056;-18,8997799996472;-66,7710750002111;Buena
Coroma;;7462;;Coxoma;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;2785;39;2731;15;0;0;1,400359066;98,06104129;0,538599641;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;12;1;10;3;3;606;388;292;606;537;302;0;0;0;0;0;0;2;2;3;2;4;2;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000173;-19,5297219996705;-66,8138889996775;Buena
Quillacas;;7463;;Quillacas;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;786;0;728;58;0;0;0,0;92,62086514;7,37913486;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;150;104;117;150;98;109;0;0;0;0;0;0;10;11;5;10;11;11;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000054;-19,2330560002342;-66,9416669998321;Buena
Challacollo;;7464;;Challacollo;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;1830;1;1829;0;0;0;0,054644809;99,94535519;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;466;209;317;466;129;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000052;-18,0777960000853;-67,2400150003919;Buena
Toledo;;7465;;Toledo;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;6385;2;6381;2;0;0;0,031323414;99,93735317;0,031323414;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;0;0;1164;694;1113;1164;1047;1199;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000053;-18,1813890001022;-67,4061110004223;Buena
Poopo;;7466;;Poopo;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;7481;203;6908;348;22;0;2,71354097;92,34059618;4,651784521;0,294078332;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;39;36;17;51;43;1360;783;1038;1360;1054;1313;0;0;0;0;0;0;51;55;46;51;68;77;6;2;4;6;1;3;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000021;-18,3801910002144;-66,9658010003159;Buena
Salinas de Garcimendoza;;7467;;Salinas de Garcimendoza;Paria;;CHA;;;;Curato;1777;1777;1778;original;;;;1777;0;1672;105;0;0;0,0;94,09116488;5,908835115;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;353;376;63;353;442;85;0;0;0;0;0;0;26;19;1;26;30;3;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000011;-19,637777999555;-67,6752779997798;Buena
Santiago de Tomina;;7468;;Santiago de Tomina;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;4272;358;1519;1685;710;0;8,380149813;35,5571161;39,4428839;16,61985019;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;71;60;49;62;67;259;244;290;259;235;232;0;0;0;0;0;0;240;321;327;240;277;280;107;167;134;107;109;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000013;-19,1852780002794;-64,4613889997025;Buena
Laguna;;7469;;Laguna;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;4560;1131;923;1788;718;0;24,80263158;20,24122807;39,21052632;15,74561404;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;150;139;180;303;179;172;155;179;172;127;118;0;0;0;0;0;0;239;299;273;239;406;332;130;119;130;130;112;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000012;-19,3078010000161;-64,3026039995749;Buena
Tacopaya;;7470;;Tacopaya;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;1751;485;722;366;178;0;27,69845802;41,23358081;20,90234152;10,16561965;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;93;89;73;77;80;134;105;125;134;102;122;0;0;0;0;0;0;55;63;73;55;51;69;27;37;36;27;19;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000068;-19,119979999977;-64,7028700002502;Buena
Morocoya;;7471;;Morocoya;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;1638;536;936;166;0;0;32,72283272;57,14285714;10,13431013;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;103;76;80;122;75;228;155;106;228;113;106;0;0;0;0;0;0;25;33;22;25;23;38;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000063;-18,8290709998267;-64,6188879998812;Buena
Pomabamba;;7472;;Pomabamba;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;4993;1861;1857;1083;192;0;37,27218105;37,1920689;21,69036651;3,845383537;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;303;293;356;303;274;332;337;249;340;337;273;321;0;0;0;0;0;0;185;181;202;185;144;186;34;34;37;34;32;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000023;-20,1049999996502;-64,4144440003903;Buena
Presto;;7473;;Presto;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;1332;187;806;339;0;0;14,03903904;60,51051051;25,45045045;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;28;25;37;34;26;205;96;146;205;86;68;0;0;0;0;0;0;66;55;52;66;35;65;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000064;-18,9299030002232;-64,937698999809;Buena
Villar;;7474;;Villar;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;2517;543;620;774;580;0;21,57330155;24,63249901;30,75089392;23,04330552;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;119;68;90;97;79;99;82;120;99;150;70;0;0;0;0;0;0;100;155;150;100;157;112;74;133;86;74;112;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000067;-19,6288889997275;-64,3111109997728;Buena
Tarabuco;;7475;;Tarabuco;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;4684;312;3527;766;79;0;6,660973527;75,29888984;16,35354398;1,686592656;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;39;47;69;45;43;762;361;497;762;437;708;0;0;0;0;0;0;130;101;152;130;109;144;14;24;7;14;12;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000065;-19,1802050001606;-64,9162370002373;Buena
Sopachuy;;7476;;Sopachuy;Tomina;;CHA;;;;Curato;1777;1777;1778;original;;;;2265;322;637;1113;193;0;14,21633554;28,12362031;49,13907285;8,520971302;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;50;59;55;49;54;112;100;102;112;100;111;0;0;0;0;0;0;185;192;206;185;146;199;35;30;35;35;18;40;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000066;-19,4858330000928;-64,4736110003474;Buena
Colquemarca;;7477;;Colquemarca;Carangas;;CHA;;;;Curato;1777;1777;1778;original;;;;3348;0;3260;88;0;0;0,0;97,37156511;2,628434886;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;662;327;589;662;461;559;0;0;0;0;0;0;16;17;11;16;16;12;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000048;-18,350274000145;-67,6821219997304;Buena
Chuquicota;;7478;;Chuquicota;Carangas;;CHA;;;;Curato;1777;1777;1778;original;;;;1886;15;1747;112;12;0;0,79533404;92,62990456;5,938494168;0,636267232;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;0;4;3;3;288;168;302;288;413;288;0;0;0;0;0;0;17;18;8;17;33;19;3;3;2;3;1;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000046;-18,0982239996378;-67,8955049995561;Buena
Guayllamarca;;7479;;Guayllamarca;Carangas;;CHA;;;;Curato;1777;1777;1778;original;;;;1995;13;1849;133;0;0;0,651629073;92,68170426;6,666666667;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;2;2;2;1;372;150;354;372;295;306;0;0;0;0;0;0;25;9;31;25;14;29;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000045;-17,8389441621433;-67,9421090874644;Buena
Totora;;7480;;Totora;Carangas;;CHA;;;;Curato;1777;1777;1778;original;;;;1481;0;1400;81;0;0;0,0;94,53072248;5,469277515;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;264;150;265;264;218;239;0;0;0;0;0;0;11;14;20;11;11;14;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000044;-17,792741000097;-68,1454029997486;Buena
Turco;;7481;;Turco;Carangas;;CHA;;;;Curato;1777;1777;1778;original;;;;1419;0;1304;115;0;0;0,0;91,8957012;8,104298802;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;305;126;225;305;180;163;0;0;0;0;0;0;17;23;21;17;17;20;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000043;-18,1808329996432;-68,1927780000046;Buena
Curaguara;;7482;;Curaguara;Carangas;;CHA;;;;Curato;1777;1777;1778;original;;;;1276;0;1263;13;0;0;0,0;98,98119122;1,018808777;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;329;162;149;329;174;120;0;0;0;0;0;0;2;2;3;2;4;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000020;-17,8433330003177;-68,4086110003973;Buena
Andamarca;;7483;;Andamarca;Carangas;;CHA;;;;Curato;1777;1777;1778;original;;;;2068;7;2039;22;0;0;0,338491296;98,59767892;1,063829787;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;2;1;0;0;497;77;344;497;299;325;0;0;0;0;0;0;5;2;4;5;2;4;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000047;-18,7786339995594;-67,5074889999174;Buena
Guachacalla;;7484;;Guachacalla;Carangas;;CHA;;;;Curato;1777;1777;1778;original;;;;2208;133;2075;0;0;0;6,023550725;93,97644928;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;12;22;29;18;23;507;48;503;507;122;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000042;-18,7938889997775;-68,2611109999726;Buena
Pilaya;;7485;;Pilaya;Pilaya;;CHA;;;;Curato;1777;1777;1778;original;;;;1280;207;331;742;0;0;16,171875;25,859375;57,96875;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;19;57;35;14;47;63;34;76;63;25;70;0;0;0;0;0;0;147;103;153;147;55;137;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000061;-20,9166999998051;-64,7668000004197;Buena
Acchilla;;7486;;Acchilla;Pilaya;;CHA;;;;Curato;1777;1777;1778;original;;;;1947;122;1149;607;69;0;6,266050334;59,01386749;31,17616846;3,543913713;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;1;40;16;3;46;300;170;102;300;166;111;0;0;0;0;0;0;113;66;116;113;82;117;11;9;25;11;4;9;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000058;-20,3248000004197;-64,8038999998851;Buena
Santa Elena;;7487;;Santa Elena;Pilaya;;CHA;;;;Curato;1777;1777;1778;original;;;;2905;234;1675;825;171;0;8,055077453;57,65920826;28,39931153;5,886402754;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;40;22;46;46;34;519;138;127;519;191;181;0;0;0;0;0;0;143;149;110;143;152;128;27;40;12;27;49;16;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000060;-20,5822930001218;-64,776185999784;Buena
San Lucas;;7488;;San Lucas;Pilaya;;CHA;;;;Curato;1777;1777;1778;original;;;;4428;114;3529;752;33;0;2,574525745;79,69738031;16,9828365;0,745257453;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;12;34;11;19;27;761;537;537;761;482;451;0;0;0;0;0;0;112;130;151;112;123;124;6;7;7;6;4;3;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000057;-20,1025000003747;-65,1333330004176;Buena
Pisuani;;7489;;Pisuani;Pilaya;;CHA;;;;Curato;1777;1777;1778;original;;;;1964;632;1168;164;0;0;32,17922607;59,47046843;8,350305499;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113;46;180;113;30;150;256;24;306;256;53;273;0;0;0;0;0;0;33;4;48;33;6;40;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000059;-20,303299999995;-64,6744999995753;Buena
Sinti;;7490;;Sinti;Pilaya;;CHA;;;;Curato;1777;1777;1778;original;;;;7323;2241;2321;1353;1408;0;30,60221221;31,69466066;18,47603441;19,22709272;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;422;297;471;422;379;250;623;294;228;623;330;223;0;0;0;0;0;0;335;189;126;335;235;133;365;189;127;365;213;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000022;-20,6376139998861;-65,2086080003589;Buena
Sicasica;;7491;;Sicasica;Sicasica;;CHA;;;;Curato;1777;1777;1778;original;;;;5119;307;4811;0;1;0;5,997265091;93,98319984;0,0;0,019535065;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;74;28;45;90;25;870;1163;562;870;949;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000034;-17,3329520001346;-67,7389620002961;Buena
Yaco;;7492;;Yaco;Sicasica;;CHA;;;;Curato;1777;1777;1778;original;;;;5253;441;4342;387;83;0;8,395202741;82,65752903;7,367218732;1,580049496;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103;42;85;103;66;42;1265;512;416;1265;501;383;0;0;0;0;0;0;77;52;80;77;58;43;23;12;7;23;15;3;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000132;-17,1586260000898;-67,4112629996877;Buena
Luribay;;7493;;Luribay;Sicasica;;CHA;;;;Curato;1777;1777;1778;original;;;;5144;879;3745;297;223;0;17,08786936;72,80326594;5,773716952;4,335147745;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;156;175;70;240;168;765;389;682;765;496;648;0;0;0;0;0;0;55;51;49;55;46;41;90;11;8;90;10;14;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000138;-17,0628200003427;-67,6607119998588;Buena
