rowID;ref_Label;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;lat;lon
86;Veracruz;1000021;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Veracruz;Veracruz Nueva;Veracruz;;
87;México;1000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Mexico;Mexico;Mexico;;
88;Puebla;1000015;;pending;pending;unknown;auto_adopt;none;;;;;
89;México;1000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Mexico;Mexico;Mexico;;
90;Querétaro;1000098;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Queretaro;Queretaro;Mexico;;
91;Celaya;1000073;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Celaya;Celaya;Guanajuato;;
92;Guanajuato;1000005;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Guanajuato;Guanajuato;Guanajuato;;
93;Aguas Calientes;1000233;;pending;pending;unknown;auto_adopt;none;;;;;
94;Fresnillo;1000234;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Fresnillo;Fresnillo;Zacatecas;;
95;Sombrerete;1000240;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Sombrerete;Sombrerete;Zacatecas;;
96;Durango;1000004;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Durango;Durango;Durango;;
97;México;1000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Mexico;Mexico;Mexico;;
98;Acapulco;1000006;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Acapulco;Acapulco;Mexico;;
99;Manila;1600001;;pending;pending;unknown;auto_adopt;none;;;;;
100;Cebú;;;pending;pending;unknown;auto_adopt;none;;;;10,296;123,891
101;Mizamiso;;;pending;pending;unknown;auto_adopt;none;;;;8,146;123,845
103;Zambuanga;;;pending;pending;unknown;auto_adopt;none;;;;6,907;122,077
104;Macao;;;pending;pending;unknown;auto_adopt;none;;;;11,192;113,543
105;Canton;;;pending;pending;unknown;auto_adopt;none;;;;23,128;113,259
106;Macao;;;pending;pending;unknown;auto_adopt;none;;;;11,192;113,543
107;Saint Helena;;;pending;pending;unknown;auto_adopt;none;;;;-15,926;-5,718
108;Lisboa;;;pending;pending;unknown;auto_adopt;none;;;;38,708;-9,137
109;Cádiz;;;pending;pending;unknown;auto_adopt;none;;;;36,535;-6,299
110;Valladolid;1000008;1;category_null;no_saint;adm0_iso_exact;candidate;toponym_nombre;Valladolid;Valladolid;Michoacan;;
111;Guadalajara;1000002;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Guadalajara;Guadalajara;Guadalajara;;
112;México;1000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Mexico;Mexico;Mexico;;
