rowID;ref_START;ref_END;Type;ref_Label;Location2;Location3;Location4;ref_Partido;ref_Obispado;ref_Audiencia;Country;Motive;Details;Source;Unnamed: 13;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3
75;1769;1769;Rebellion or revolt;Asuncion;;;;Cajamarca;;;;by Indians and mestizos;attacked revisitador de tributos;O'Phelan, p. 286;;553;178;PER;Peru;6;Cajamarca;55;Cajamarca;553;Asuncion
76;1770;1770;Rebellion or revolt;Sicuani;;;;;;Lima;;by Indians;invasion of doctrina;O'Phelan, p. 286;;717;178;PER;Peru;8;Cusco;72;Canchis;717;Sicuani
77;1770;1770;Rebellion or revolt;Checacupe;;;;Tinta;;;;by Indians;set fire of corregidor's home;O'Phelan, p. 286;;711;178;PER;Peru;8;Cusco;72;Canchis;711;Checacupe
78;1770;1770;Rebellion or revolt;Sicasica;;;;;La Plata;;Bolivia;by Indians;killed a lieutenant ;O'Phelan, p. 286;;;;;;;;;;;
79;1770;1770;Rebellion or revolt;Caylloma;;;;;Arequipa;;;by Indians;against corregidor, and reparto;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;Caylloma;398;Caylloma
80;1771;1771;Rebellion or revolt;Chulimani;;;;Sicasica;;;Bolivia;by Indians;against corregidor;O'Phelan, p. 286;;;;;;;;;;;
81;1771;1771;Rebellion or revolt;Pacajes;;;;;La Paz;;Bolivia;by Indians;homicide of corregidor;O'Phelan, p. 286;;;;;;;;;;;
82;1771;1771;Rebellion or revolt;Santiago de Cao;;;;Trujillo;;;;against Indio alcalde ;he blocked access to local riegos;O'Phelan, p. 286;;1127;178;PER;Peru;13;La Libertad;113;Ascope;1127;Santiago de Cao
83;1771;1771;Rebellion or revolt;Cocharcas;;;;Andahuaylas;;;;by priest;against corregidor;O'Phelan, p. 286;;304;178;PER;Peru;3;Apurímac;32;Chincheros;304;Cocharcas
84;1771;1771;Rebellion or revolt;Morrope;;;;Sana;;;;conflict btw caciques ;;O'Phelan, p. 286;;1229;178;PER;Peru;14;Lambayeque;127;Lambayeque;1229;Morrope
