TYPE;ref_Label;Partido;Column3;ref_Jurisdiccion;rowID;ref_START;ref_END
Hacienda;La Compasión Tlascantla;Tlaxcala;;Tlaxcala;123;1111;9999
Hacienda;San Diego La Paloma y Indiana;Tlaxcala;;Tlaxcala;124;1111;9999
Hacienda;San Juan Tepeyahualco;Tlaxcala;;Tlaxcala;125;1111;9999
Hacienda;San Martín;Tlaxcala;;Tlaxcala;126;1111;9999
Hacienda;San Pablo;Tlaxcala;;Tlaxcala;127;1111;9999
Hacienda;La Candelaria;Tlaxcala;;Tlaxcala;128;1111;9999
Hacienda;San Cristóbal Jalapasco;Tlaxcala;;Tlaxcala;129;1111;9999
Hacienda;San Antonio Cuatla;Tlaxcala;;Tlaxcala;130;1111;9999
Hacienda;La Purísima Concepción;Tlaxcala;;Tlaxcala;131;1111;9999
Hacienda;Santa María de la Noria;Tlaxcala;;Tlaxcala;132;1111;9999
Hacienda;Santo Domingo Texmola;Tlaxcala;;Tlaxcala;133;1111;9999
Hacienda;Guadalupe;Tlaxcala;;Tlaxcala;134;1111;9999
Hacienda;San Cristóbal de la Rosa;Tlaxcala;;Tlaxcala;135;1111;9999
Hacienda;San Diego Azumatla;Tlaxcala;;Tlaxcala;136;1111;9999
Hacienda;Señora Santa Ana;Tlaxcala;;Tlaxcala;137;1111;9999
Hacienda;El Balconcillo;Tlaxcala;;Tlaxcala;138;1111;9999
Hacienda;San Bartolomé Xonecuila;Tlaxcala;;Tlaxcala;139;1111;9999
Hacienda;Santa Bárbara;Tlaxcala;;Tlaxcala;140;1111;9999
Hacienda;San Antonio;Tlaxcala;;Tlaxcala;141;1111;9999
Hacienda y venta;San Diego;Tlaxcala;;Tlaxcala;142;1111;9999
Hacienda;San Miguel Quimichuca;Tlaxcala;;Tlaxcala;143;1111;9999
Hacienda;San Juan Bautista;Tlaxcala;;Tlaxcala;144;1111;9999
Hacienda;San Francisco de Asís;Tlaxcala;;Tlaxcala;145;1111;9999
Hacienda;San Miguel Tomecuila y Santa María Soapila;Tlaxcala;;Tlaxcala;146;1111;9999
Hacienda;La Natividad Tazacuala;Tlaxcala;;Tlaxcala;147;1111;9999
Hacienda;San Miguel Tazaguala y San Pedro Cuatoque;Tlaxcala;;Tlaxcala;148;1111;9999
Hacienda;San Buenaventura;Tlaxcala;;Tlaxcala;149;1111;9999
Hacienda;San Diego Zitlaltepeque;Tlaxcala;;Tlaxcala;150;1111;9999
Hacienda;San Diego del Pilancon;Tlaxcala;;Tlaxcala;151;1111;9999
Hacienda;San Miguel y su Rancho;Tlaxcala;;Tlaxcala;152;1111;9999
Hacienda;San Francisco Jalapasco;Tlaxcala;;Tlaxcala;153;1111;9999
Hacienda;Santiago Tochaque;Apizaco;;Tlaxcala;154;1111;9999
Hacienda;San Juan Acocotla;Apizaco;;Tlaxcala;155;1111;9999
Hacienda;Piedras Negras;Apizaco;;Tlaxcala;156;1111;9999
Hacienda;Teometitlan;Apizaco;;Tlaxcala;157;1111;9999
Hacienda;Tlacaxolotepeque;Apizaco;;Tlaxcala;158;1111;9999
Hacienda;San Miguel  Tlacotepeque;Apizaco;;Tlaxcala;159;1111;9999
Hacienda;Topizaque;Apizaco;;Tlaxcala;160;1111;9999
Hacienda;Quimichuca;Apizaco;;Tlaxcala;161;1111;9999
Hacienda;San José de la Halaguna;Apizaco;;Tlaxcala;162;1111;9999
Hacienda;San José Buenavista;Apizaco;;Tlaxcala;163;1111;9999
Hacienda;San Juan Bautista;Tlaxco;;Tlaxcala;164;1111;9999
Hacienda;San Miguel Payuca;Tlaxco;;Tlaxcala;165;1111;9999
Hacienda;San Juan Cuapesco [?];Tlaxco;;Tlaxcala;166;1111;9999
Hacienda;San Diego Siochuca;Tlaxco;;Tlaxcala;167;1111;9999
Hacienda;Nuestra Señora del Rosario;Tlaxco;;Tlaxcala;168;1111;9999
Hacienda;Massaquiahuac;Tlaxco;;Tlaxcala;169;1111;9999
Hacienda;Los Jardines;Tlaxco;;Tlaxcala;170;1111;9999
Hacienda;Zoltepeque;Tlaxco;;Tlaxcala;171;1111;9999
Hacienda;San Andrés Buena Vista;Tlaxco;;Tlaxcala;172;1111;9999
Hacienda;Tliquitepeque;Tlaxco;;Tlaxcala;173;1111;9999
Hacienda;San José;Tlaxco;;Tlaxcala;174;1111;9999
Hacienda;Icatepeque;Tlaxco;;Tlaxcala;175;1111;9999
Hacienda;Jalostoque;Tlaxco;;Tlaxcala;176;1111;9999
Hacienda;Metla;Tlaxco;;Tlaxcala;177;1111;9999
Hacienda;Tecomaluca;Tlaxco;;Tlaxcala;178;1111;9999
Hacienda;Toluquilla;Tlaxco;;Tlaxcala;179;1111;9999
Hacienda;San Diego;San Felipe;;Tlaxcala;180;1111;9999
Hacienda;Techalote;San Felipe;;Tlaxcala;181;1111;9999
Hacienda;San Blas;San Felipe;;Tlaxcala;182;1111;9999
Hacienda;Huatepeque;San Felipe;;Tlaxcala;183;1111;9999
Hacienda;Metepeque;San Felipe;;Tlaxcala;184;1111;9999
Hacienda;Meca;San Felipe;;Tlaxcala;185;1111;9999
Hacienda;Tepalcatepeque;San Felipe;;Tlaxcala;186;1111;9999
Hacienda;La Concepción;San Felipe;;Tlaxcala;187;1111;9999
Hacienda;San Pedro;San Felipe;;Tlaxcala;188;1111;9999
Hacienda;San Diego;San Felipe;;Tlaxcala;189;1111;9999
Hacienda;Tlapesco;San Felipe;;Tlaxcala;190;1111;9999
Hacienda;Atotonilco;San Felipe;;Tlaxcala;191;1111;9999
Hacienda;Santiago;San Felipe;;Tlaxcala;192;1111;9999
Hacienda;Atoyaque;San Felipe;;Tlaxcala;193;1111;9999
Hacienda;San Cristóbal;San Felipe;;Tlaxcala;194;1111;9999
Hacienda;San Pedro;San Felipe;;Tlaxcala;195;1111;9999
Hacienda;La Concepción;San Felipe;;Tlaxcala;196;1111;9999
Hacienda;La Compasión;Nativitas;;Tlaxcala;197;1111;9999
Hacienda;San José;Nativitas;;Tlaxcala;198;1111;9999
Hacienda;La Compasión;Nativitas;;Tlaxcala;199;1111;9999
Hacienda;Jaltelulco;Nativitas;;Tlaxcala;200;1111;9999
Hacienda;San Diego;Nativitas;;Tlaxcala;201;1111;9999
Hacienda;Palula;Nativitas;;Tlaxcala;202;1111;9999
Hacienda;Tenexaque;Nativitas;;Tlaxcala;203;1111;9999
Hacienda;San Pedro;Nativitas;;Tlaxcala;204;1111;9999
