TYPE;NAME;Partido;Column3;Jurisdiccion
Hacienda;San Francisco Jalapasco;Tlaxcala;;Tlaxcala
Hacienda;Santiago Tochaque;Apizaco;;Tlaxcala
Hacienda;San Juan Acocotla;Apizaco;;Tlaxcala
Hacienda;Piedras Negras;Apizaco;;Tlaxcala
Hacienda;Teometitlan;Apizaco;;Tlaxcala
Hacienda;Tlacaxolotepeque;Apizaco;;Tlaxcala
Hacienda;San Miguel  Tlacotepeque;Apizaco;;Tlaxcala
Hacienda;Topizaque;Apizaco;;Tlaxcala
Hacienda;Quimichuca;Apizaco;;Tlaxcala
Hacienda;San José de la Halaguna;Apizaco;;Tlaxcala
Hacienda;San José Buenavista;Apizaco;;Tlaxcala
Hacienda;San Juan Bautista;Tlaxco;;Tlaxcala
Hacienda;San Miguel Payuca;Tlaxco;;Tlaxcala
Hacienda;San Juan Cuapesco [?];Tlaxco;;Tlaxcala
Hacienda;San Diego Siochuca;Tlaxco;;Tlaxcala
Hacienda;Nuestra Señora del Rosario;Tlaxco;;Tlaxcala
Hacienda;Massaquiahuac;Tlaxco;;Tlaxcala
Hacienda;Los Jardines;Tlaxco;;Tlaxcala
Hacienda;Zoltepeque;Tlaxco;;Tlaxcala
Hacienda;San Andrés Buena Vista;Tlaxco;;Tlaxcala
Hacienda;Tliquitepeque;Tlaxco;;Tlaxcala
Hacienda;San José;Tlaxco;;Tlaxcala
Hacienda;Icatepeque;Tlaxco;;Tlaxcala
Hacienda;Jalostoque;Tlaxco;;Tlaxcala
Hacienda;Metla;Tlaxco;;Tlaxcala
Hacienda;Tecomaluca;Tlaxco;;Tlaxcala
Hacienda;Toluquilla;Tlaxco;;Tlaxcala
Hacienda;San Diego;San Felipe;;Tlaxcala
Hacienda;Techalote;San Felipe;;Tlaxcala
Hacienda;San Blas;San Felipe;;Tlaxcala
Hacienda;Huatepeque;San Felipe;;Tlaxcala
Hacienda;Metepeque;San Felipe;;Tlaxcala
Hacienda;Meca;San Felipe;;Tlaxcala
Hacienda;Tepalcatepeque;San Felipe;;Tlaxcala
Hacienda;La Concepción;San Felipe;;Tlaxcala
Hacienda;San Pedro;San Felipe;;Tlaxcala
Hacienda;San Diego;San Felipe;;Tlaxcala
Hacienda;Tlapesco;San Felipe;;Tlaxcala
Hacienda;Atotonilco;San Felipe;;Tlaxcala
Hacienda;Santiago;San Felipe;;Tlaxcala
Hacienda;Atoyaque;San Felipe;;Tlaxcala
Hacienda;San Cristóbal;San Felipe;;Tlaxcala
Hacienda;San Pedro;San Felipe;;Tlaxcala
Hacienda;La Concepción;San Felipe;;Tlaxcala
Hacienda;La Compasión;Nativitas;;Tlaxcala
Hacienda;San José;Nativitas;;Tlaxcala
Hacienda;La Compasión;Nativitas;;Tlaxcala
Hacienda;Jaltelulco;Nativitas;;Tlaxcala
Hacienda;San Diego;Nativitas;;Tlaxcala
Hacienda;Palula;Nativitas;;Tlaxcala
Hacienda;Tenexaque;Nativitas;;Tlaxcala
Hacienda;San Pedro;Nativitas;;Tlaxcala
Hacienda;Buena Vista;Nativitas;;Tlaxcala
Hacienda;San Juan;Nativitas;;Tlaxcala
Hacienda;Los Reyes;Nativitas;;Tlaxcala
Hacienda;Santa Águeda;Nativitas;;Tlaxcala
