rowID;Region;ref_Region;ref_Jurisdiccion;ref_Obispado;Subregion.Oaxaca.;ref_Label;ref_START;Source;AGN_Type;AGN_ID;ref_END;ref_Pais;ref_Adm1
62;State of Mexico, fringes of Morelos and Guerrero;NES;Malinalco;;;Tenancingo;1797;AGN Criminal 15 exps. 2-3;Criminal;15;1797;MEX;Mexico
63;State of Mexico, fringes of Morelos and Guerrero;NES;Malinalco;;;Zumpahuacan;1808;AGN Criminal 17 exp. 11;Criminal;17;1808;MEX;Mexico
64;State of Mexico, fringes of Morelos and Guerrero;NES;Cuernavaca;;;Tepoztlan;1778;AGN Criminal 203 exp. 4 ;Criminal;203;1778;MEX;Mexico
65;State of Mexico, fringes of Morelos and Guerrero;NES;Cuernavaca;;;Achichipilco;1802;AGN Criminal 202 last expediente;Criminal;202;1802;MEX;Mexico
66;State of Mexico, fringes of Morelos and Guerrero;NES;Cuahutla;;;Thetelzingo;1778;AGN Criminal 507 exp. 17 ;Criminal;507;1778;MEX;Mexico
67;State of Mexico, fringes of Morelos and Guerrero;NES;Chalco;;;Tlayacapan;1784;AGN Criminal 1 exp. 11 ;Criminal;1;1784;MEX;Mexico
68;State of Mexico, fringes of Morelos and Guerrero;NES;Chalco;;;Atlautla;1799;AGN Criminal 157, fols. 93-132 ;Criminal;157;1799;MEX;Mexico
69;State of Mexico, fringes of Morelos and Guerrero;NES;Chalco;;;Amecameca, barrio Tlailotlacan, ;1799;AGN Criminal 226, fols. 401.;Criminal;226;1799;MEX;Mexico
70;State of Mexico, fringes of Morelos and Guerrero;NES;Chalco;;;Tlalmanalco;1693;AGN Criminal 227 exp. g;Criminal;227;1693;MEX;Mexico
71;State of Mexico, fringes of Morelos and Guerrero;NES;Chalco;;;Tlalmanalco;1773;AGN Criminal 90;Criminal;90;1773;MEX;Mexico
72;State of Mexico, fringes of Morelos and Guerrero;NES;Chalco;;;Chimalhuacan;1802;AGN Criminal 255 exp. 13;Criminal;255;1802;MEX;Mexico
74;State of Hidalgo ;NES;Tetepango;;;Misquiaguala;1681;AGN Criminal 115 exp. 1;Criminal;115;1681;MEX;Hidalgo
75;State of Hidalgo ;NES;Tetepango;;;Axacuba;1744;AGN Criminal 53 exp. 20;Criminal;53;1744;MEX;Hidalgo
76;State of Hidalgo ;NES;Tetepango;;;Tlapanaloya, district of Atitalaquia;1690;AGN Criminal 54 exp. 14;Criminal;54;1690;MEX;Hidalgo
77;State of Hidalgo ;NES;Actopan;;;Tetitlan ;1764;AGN Criminal 117 exp. 7 ;Criminal;117;1764;MEX;Hidalgo
78;State of Hidalgo ;NES;Actopan;;;Actopan;1756;AGN Civil 241 exp. 1;Civil;241;1756;MEX;Hidalgo
80;State of Hidalgo ;NES;Meztitlan ;;;Meztitlan;1772;AGN Criminal 102, 104, 107 ;Criminal;102;1772;MEX;Hidalgo
81;State of Hidalgo ;NES;Meztitlan ;;;Zozoquiapam;1805;AGN Criminal 180, fols. 361.;Criminal;180;1805;MEX;Hidalgo
82;State of Hidalgo ;NES;Meztitlan ;;;San Juan Meztitlan ;1805;AGN Criminal 180, fols. 430-.;Criminal;180;1805;MEX;Hidalgo
83;State of Hidalgo ;NES;Meztitlan ;;;Coamelco;1777;AGN Criminal 79 exp. 1;Criminal;79;1777;MEX;Hidalgo
85;State of Hidalgo ;NES;Pachuca;;;Real del Monte;1805;AGN Criminal 115 exp. 7;Criminal;115;1805;MEX;Hidalgo
86;State of Hidalgo ;NES;Pachuca;;;Pachuca;1771;AGN Criminal 303 exps. 1, 305, 306, 308;Criminal;303;1771;MEX;Hidalgo
88;State of Hidalgo ;NES;Ixmiquilpan;;;Sabanilla;1746;AGN Criminal 57 exp. 1;Criminal;57;1746;MEX;Hidalgo
89;State of Hidalgo ;NES;Ixmiquilpan;;;Donicha;1779;AGN Criminal 75 exps. 3-4;Criminal;75;1779;MEX;Hidalgo
90;State of Hidalgo ;NES;Tulancingo;;;Tulancingo;1769;AGN Criminal 308 ;Criminal;308;1769;MEX;Hidalgo
92;State of Hidalgo ;NES;Xilotepec-Huichapan;;;San Francisco Soyalmiquilpa;1818;AGN Criminal 26 exp. g ;Criminal;26;1818;MEX;Hidalgo
93;State of Hidalgo ;NES;Xilotepec-Huichapan;;;San Pedro Donicaa;1766;AGN Criminal 178 exp. 1;Criminal;178;1766;MEX;Hidalgo
94;State of Hidalgo ;NES;Xilotepec-Huichapan;;;Santa Maria Tixmadeje;1789;AGN Criminal 202 exp. 1 ;Criminal;202;1789;MEX;Hidalgo
95;State of Hidalgo ;NES;Xilotepec-Huichapan;;;Alfajayuca;1766;AGN Civil 2166 exp. 5;Civil;2166;1766;MEX;Hidalgo
96;State of Hidalgo ;NES;Zimapan ;;;Zimapatongo;1807;AGN Criminal 178 exp. 23;Criminal;178;1807;MEX;Hidalgo
98;State of Hidalgo ;NES;Tumultos in central Mexico unidentified by jurisdiction;;;La Milpa;1766;AGN Criminal 155, fols. 358.;Criminal;155;1766;MEX;Hidalgo
99;State of Hidalgo ;NES;Tumultos in central Mexico unidentified by jurisdiction;;;Dayonthe;1805;AGN Criminal 179, fols. 455.;Criminal;179;1805;MEX;Hidalgo
101;State of Puebla ;NES;;;;San Andres Chalchicomula;1768;AGN Criminal 307 exp. 2 ;Criminal;307;1768;MEX;Puebla
102;State of Puebla ;NES;;;;Tetela de Xonotla;1798;AGN Historia 334 exp. 5 ;Historia;334;1798;MEX;Puebla
103;State of Puebla ;NES;;;;San Gabriel Chilac;1801;AGN Historia 413 ;Historia;413;1801;MEX;Puebla
104;State of Puebla ;NES;;;;Soquitlan;1708;AGN Criminal 660;Criminal;660;1708;MEX;Puebla
105;State of Puebla ;NES;;;;Izucar de Matamoros;1781;Calderon Quijano, II, 163-75;;;1781;MEX;Puebla
108;State of Oaxaca ;NES;;;Valley of Oaxaca;Cuilapan;1725;AGN Hospital de Jesus 307 exp. 4 ;Hospital;307;1725;MEX;Oaxaca
109;State of Oaxaca ;NES;;;Valley of Oaxaca;San Pablo Etla;1755;AGN Hospital de Jesus 308 exp. 18;Hospital;308;1755;MEX;Oaxaca
110;State of Oaxaca ;NES;;;Valley of Oaxaca;Sant Cruz Amilpas;1710;AGN Indios 37 exp. 190;Indios;37;1710;MEX;Oaxaca
111;State of Oaxaca ;NES;;;Valley of Oaxaca;Sant Cruz Amilpas;1720;AGN Tierras 381 exp. 5;Tierras;381;1720;MEX;Oaxaca
112;State of Oaxaca ;NES;;;Valley of Oaxaca;Zaachila;1710;AGN Indios 6 primera parte exp. 473 ;Indios;6;1710;MEX;Oaxaca
113;State of Oaxaca ;NES;;;Valley of Oaxaca;Zaachila;1776;AGN Intendencias 12 ;Intendencias;12;1776;MEX;Oaxaca
114;State of Oaxaca ;NES;;;Valley of Oaxaca;Zaachila;1784;GI Audiencia de Mexico 2588 ;;;1784;MEX;Oaxaca
115;State of Oaxaca ;NES;;;Valley of Oaxaca;Zaachila;1806;EO Juzgados 1806;;;1806;MEX;Oaxaca
116;State of Oaxaca ;NES;;;Valley of Oaxaca;Guelavia;1690;AGN Tierras 148 exp. 3;Tierras;148;1690;MEX;Oaxaca
117;State of Oaxaca ;NES;;;Valley of Oaxaca;Guelavia;1705;AGN Tierras 223 exp. 4;Tierras;223;1705;MEX;Oaxaca
118;State of Oaxaca ;NES;;;Valley of Oaxaca;Ocotlan;1788;AGN Tierras 867 exp. 2;Tierras;867;1788;MEX;Oaxaca
119;State of Oaxaca ;NES;;;Valley of Oaxaca;Soledad Etla;1797;AGN Tierras 1877 exp. 2 ;Tierras;1877;1797;MEX;Oaxaca
