id_i;ref_START;ref_END;Type;ref_Label;Territory;Location2;Location3;Location4;ref_Jurisdiccion;Region;Country;NAME_2;Motive;Details;Source;Unnamed: 16;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;Unnamed: 24;ID_3;NAME_3;rowID
38;1750;1750;Rebellion or revolt;Huarochiri;;;;;Lima;PER;;Huarochiri;Rebellion against Crown's anti-mestizo policy and Spanish authorities;;O'Phelan, p. 286;;1331;178;PER;Peru;16;Lima;134;;1331;Huarochiri;42
39;1751;1751;Rebellion or revolt;Urubamba;;;;;Cuzco;PER;;Urubamba;against corregidor;against imprisonment of and Indian;O'Phelan, p. 286;;785;178;PER;Peru;8;Cusco;80;;785;Urubamba;43
40;1751;1751;Rebellion or revolt;Zana;Saña;;;;Saña;PER;;Chiclayo;revolt led by cuadrillas de negros;;O'Phelan, p. 286;;1216;178;PER;Peru;14;Lambayeque;125;;1216;Sa√±a;44
41;1751;1751;Rebellion or revolt;Ferrenafe;;;;;Sana;PER;;Ferrenafe;against corregidor and local cacique;to avoid division of cacicazgo;O'Phelan, p. 286;;1219;178;PER;Peru;14;Lambayeque;126;;1219;Ferrenafe;45
42;1751;1751;Rebellion or revolt;Potosi;Potosi;;;;Potosi;CHA;Bolivia;;indios capchas;worked at mine killed Spaniard;O'Phelan, p. 286;;;;;;;;;;;;46
43;1755;1755;Rebellion or revolt;Jauja;Jauja;;;;Jauja;PER;;Jauja;Land conflict between Spaniards and local cacique;;O'Phelan, p. 286;;1065;178;PER;Peru;12;Jun√≠n;108;;1065;Jauja;47
44;1756;1756;Rebellion or revolt;Angaraes;Angaraes;;;;Angaraes;PER;;Angaraes;Indian upheaval ;occupation of communal land by Spaniards and mestizos and against reparto;O'Phelan, p. 286;;876;178;PER;Peru;10;Huancavelica;93;;876;Julcamarca;48
45;1756;1756;Rebellion or revolt;Usquil;;;;;Huamachuco;PER;;Otuzco;against obraje administration;;O'Phelan, p. 286;;1154;178;PER;Peru;13;La Libertad;118;;1154;Usquil;49
46;1756;1756;Rebellion or revolt;Ninacaca;;;;;Tarma;PER;;Pasco;local priest led revolt against corregidor;corregidor changed Indian alcalde appointed by them;O'Phelan, p. 286;;1503;178;PER;Peru;20;Pasco;152;;1503;Ninacaca;50
46;1756;1756;Rebellion or revolt;Carhuamayo;;;;;Tarma;PER;;Jun√≠n;;;O'Phelan, p. 286;;1089;178;PER;Peru;12;Junin;109;;1089;Carhuamayo;51
47;1757;1757;Rebellion or revolt;Chacayan;;;;;Tarma;PER;;Daniel Alcides Carri√≥n;Indian revolt ;against corregidor, and primicia tax;O'Phelan, p. 286;;1484;178;PER;Peru;20;Pasco;150;;1484;Chacayan;52
47;1757;1757;Rebellion or revolt;Yanacocha;;;;;Tarma;PER;;Tarma;;;O'Phelan, p. 286;;1102;178;PER;Peru;12;Junin;111;;1102;Acobamba;53
47;1757;1757;Rebellion or revolt;Tapu;;;;;Tarma;PER;;Tarma;;;O'Phelan, p. 286;;1109;178;PER;Peru;12;Jun√≠n;111;;1109;Tapo;54
47;1757;1757;Rebellion or revolt;Michivilca;;;;;Tarma;PER;;Daniel Alcides Carri√≥n;;;O'Phelan, p. 286;;1489;178;PER;Peru;20;Pasco;150;;1489;Tapuc;55
48;1758;1758;Rebellion or revolt;Huarmacas;;;;;Piura;PER;;Huancabamba;against priest;accused of expropriating communal land;O'Phelan, p. 286;;1525;178;PER;Peru;21;Piura;154;;1525;Huarmaca;56
49;1758;1758;Rebellion or revolt;Huamachuco;Huamachuco;;;;Huamachuco;PER;;S√°nchez Carri√≥n;against population count;;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;;1176;Huamachuco;57
50;1758;1758;Rebellion or revolt;Otuzco;;;;;;PER;;Otuzco;released prisoners;;O'Phelan, p. 286;;1150;178;PER;Peru;13;La Libertad;118;;1150;Otuzco;58
51;1760;1760;Rebellion or revolt;Pichuichuro;;;;;Abancay;PER;;Anta;at obraje;oficinas burnt down;O'Phelan, p. 286;;685;178;PER;Peru;8;Cusco;69;;685;Ancahuasi;59
52;1760;1762;Rebellion or revolt;Totora;;;;;Carangas;CHA;Bolivia;;against revisita;;O'Phelan, p. 286;;;;;;;;;;;;60
53;1761;1761;Rebellion or revolt;Simbal;;;;;Trujillo;PER;;Trujillo;by indios forasteros;to expel priest;O'Phelan, p. 286;;1197;178;PER;Peru;13;La Libertad;123;;1197;Simbal;61
54;1762;1762;Rebellion or revolt;Zepita;Chucuito;;;;Chucuito;PER;;Chucuito;against local revisita and numeracion de tributarios;;O'Phelan, p. 286;;1608;178;PER;Peru;22;Puno;163;;1608;Zepita;62
55;1764;1764;Rebellion or revolt;Pueblo Nuevo;;;;;Sana;PER;;Ferre√±afe;by Indians and mestizos;to defend local priest;O'Phelan, p. 286;;1223;178;PER;Peru;14;Lambayeque;126;;1223;Pueblo Nuevo;63
56;1764;1764;Rebellion or revolt;San Luis Huancapi;;;;;Vilcashuaman;PER;;Victor Fajardo;against tribute collector;against mita quota to Huancavelica;O'Phelan, p. 286;;536;178;PER;Peru;5;Ayacucho;52;;536;Huancapi;64
57;1764;1764;Rebellion or revolt;Riobamba;;;;;Quito;QUI;Ecuador;;Indians;against obraje administrator due to increase in tareas;O'Phelan, p. 286;;;;;;;;;;;;65
58;1765;1765;Rebellion or revolt;Pichuichuro;;;;;Abancay;PER;;Anta;Labourers from obraje;against mayordolomos and mandones;O'Phelan, p. 286;;685;178;PER;Peru;8;Cusco;69;;685;Ancahuasi;66
59;1766;1766;Rebellion or revolt;Caylloma;Caylloma;;;;Caylloma;PER;;Caylloma;led by priests;;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;67
60;1766;1767;Rebellion or revolt;Pomata;;;;;Chucuito;PER;;Chucu√≠to;by Indians   ;against revisita and increase in tribute;O'Phelan, p. 286;;1607;178;PER;Peru;22;Puno;163;;1607;Pomata;68
61;1766;1767;Rebellion or revolt;Puno;Puno;;;;Puno;PER;;Puno;by Indians;against Justicia mayor;O'Phelan, p. 286;;1658;178;PER;Peru;22;Puno;170;;1658;Puno;69
62;1767;1768;Rebellion or revolt;;Mojos;;;;Mojos;CHA;Bolivia?;;by Indians;against Crown due to the expulsion of Jesuits;O'Phelan, p. 286;;;;;;;;;;;;70
63;1768;1768;Rebellion or revolt;Paraysancos;;;;;Lucanas;PER;;Huanca Sancos;led by priest  ;against reparto;O'Phelan, p. 286;;461;178;PER;Peru;5;Ayacucho;45;;461;Sancos;71
64;1768;1768;Rebellion or revolt;Quito;Quito;;;;Quito;;Ecuador;;against alcabalas;;O'Phelan, p. 286;;;;;;;;;;;;72
65;1768;1768;Rebellion or revolt;Chumbivilcas;Chumbivilcas;;;;Chumbivilcas;PER;;Chumbivilcas;against corregidor;support priest that Chala was part of Calamani's curato;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;;725;Santo Tomas;73
66;1769;1769;Rebellion or revolt;Contumaza;Cajamarca;;;;Cajamarca;PER;;Contumaz√°;against tribute and revisitador;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;;597;Contumaza;74
67;1769;1769;Rebellion or revolt;Asuncion;;;;;Cajamarca;PER;;Cajamarca;by Indians and mestizos;attacked revisitador de tributos;O'Phelan, p. 286;;553;178;PER;Peru;6;Cajamarca;55;;553;Asuncion;75
68;1770;1770;Rebellion or revolt;Sicuani;Tinta;;;;Tinta;PER;;Canchis;by Indians;invasion of doctrina;O'Phelan, p. 286;;717;178;PER;Peru;8;Cusco;72;;717;Sicuani;76
