rowID;ref_Label;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;fine_level_mismatch;TYPE;Partido;Column3;ref_Jurisdiccion;ref_START;ref_END;phase_1b_step
30;Santa Cruz;1004130;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Santa Cruz Tlaxcala;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
31;San Bernabé;1004045;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Amaxac;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
32;San Miguel;1004099;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;San Miguel del Milagro;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
32;San Miguel;1004100;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;San Miguelito;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
32;San Miguel;1004108;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Tenancingo;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
32;San Miguel;1004140;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Xochitecatitla;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
33;San Lucas;1004097;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;San Lucas;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
34;Belén;1004057;1.0;category_null;saint_mismatch;jurisdiccion_exact;adopted_candidate;none;Belen;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
34;Belén;1004085;0.8;category_null;saint_mismatch;jurisdiccion_exact;deleted_candidate;none;Michacatitlan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
35;San Matías;1004098;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;San Matias;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
36;San Damián;1004123;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Texoloc;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
36;San Damián;1004125;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Tlacocalpan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
37;San Dionisio;1004143;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Yauhquemehcan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
38;Atlihuetzian;1004051;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Atlihuetzian;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
39;San Francisco Tlacuiloca;1004127;0.958;category_null;saint_match;jurisdiccion_exact;adopted_candidate;fuzzy;Tlacuilohcan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
39;San Francisco Tlacuiloca;1004093;0.85;category_null;saint_match;jurisdiccion_exact;deleted_candidate;fuzzy;Papalotla;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
39;San Francisco Tlacuiloca;1004086;0.833;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Mitepec;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
39;San Francisco Tlacuiloca;1004119;0.833;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Tetlanohcan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
39;San Francisco Tlacuiloca;1004116;0.829;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Tepeyanco;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
39;San Francisco Tlacuiloca;1004089;0.809;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Ocotelulco;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
40;San Lorenzo;1004052;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Axocomanitla;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
40;San Lorenzo;1004059;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Chaquitla;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
40;San Lorenzo;1004066;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Cuapiaxtla;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
41;San Martín Xaltocan;1004136;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Xaltocan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
42;San Simón;1004102;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;San Simon;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
42;San Simón;1004103;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;San Simon;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
43;Santa Bárbara;1004041;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Acuicuizcatepec;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
44;San Lucas;1004097;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;San Lucas;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
46;San Antonio Cuaxomulco;1004068;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Cuaxomulco;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
47;San Luis Huamantla;1004071;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Huamantla;Tlaxcala;Tlaxcala;;Pueblo;San Luis Huamantla;;Tlaxcala;1111;9999;
48;San Lorenzo Quapistla;1004066;0.947;category_null;saint_match;jurisdiccion_exact;adopted_candidate;fuzzy;Cuapiaxtla;Tlaxcala;Tlaxcala;;Pueblo;San Luis Huamantla;;Tlaxcala;1111;9999;
48;San Lorenzo Quapistla;1004059;0.857;category_null;saint_match;jurisdiccion_exact;deleted_candidate;fuzzy;Chaquitla;Tlaxcala;Tlaxcala;;Pueblo;San Luis Huamantla;;Tlaxcala;1111;9999;
49;San Pablo Zitlaltepeque;1004147;0.976;category_null;saint_match;jurisdiccion_exact;adopted_candidate;fuzzy;Zitlaltepec;Tlaxcala;Tlaxcala;;Pueblo;San Luis Huamantla;;Tlaxcala;1111;9999;
49;San Pablo Zitlaltepeque;1004101;0.8;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;San Pablo del Monte;Tlaxcala;Tlaxcala;;Pueblo;San Luis Huamantla;;Tlaxcala;1111;9999;
50;San Juan Ystenco;1004078;0.938;category_null;saint_match;jurisdiccion_exact;auto_adopt;fuzzy;Ixtenco;Tlaxcala;Tlaxcala;;Pueblo;San Luis Huamantla;;Tlaxcala;1111;9999;
51;San Nicolás Terrenate;1004117;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Terrenate;Tlaxcala;Tlaxcala;;Pueblo;San Luis Huamantla;;Tlaxcala;1111;9999;
52;San Luis Apizaco;1004047;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Apizaco;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
53;Santiago Tetla;1004118;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Tetla;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
54;Santa María Tescalaque;1004122;0.923;category_null;saint_match;jurisdiccion_exact;adopted_candidate;fuzzy;Texcalac;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
54;Santa María Tescalaque;1004132;0.872;category_null;saint_match;jurisdiccion_exact;deleted_candidate;fuzzy;Tocatlan;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
54;Santa María Tescalaque;1004104;0.857;category_null;saint_match;jurisdiccion_exact;deleted_candidate;fuzzy;Santa Maria España;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
54;Santa María Tescalaque;1004076;0.812;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Ixcotla;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
54;Santa María Tescalaque;1004079;0.812;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Ixtulco;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
55;San Francisco Atexcatzinco;1004048;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Atexcatzinco;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
56;San Bartolomé (Matlalocan?);1004082;0.96;category_null;saint_match;jurisdiccion_exact;adopted_candidate;fuzzy;Matlalohcan;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
56;San Bartolomé (Matlalocan?);1004109;0.8;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Tenango;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
57;San Salvador;1004134;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Tzompantepec;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
58;San Juan Quetzalcoapan;1004094;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Quetzalcoapan;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
59;San Cosme;1004081;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Matlaloca;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
59;San Cosme;1004083;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Mazatecochco;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
60;San Andrés;1004044;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Aguatepec;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
60;San Andrés;1004065;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Cuamilpa;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
61;Santa Úrsula;1004146;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Zimatepec;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
62;Santa Ana Guiloaque;1004074;0.97;category_null;saint_match;jurisdiccion_exact;adopted_candidate;fuzzy;Huiloac;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;Huiloac;Tlaxcala;1111;9999;
62;Santa Ana Guiloaque;1004060;0.833;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Chiautempan;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;Huiloac;Tlaxcala;1111;9999;
63;San Benito;;1.0;category_null;saint_match;jurisdiccion_exact;relegated;exact;Xaltocan;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
64;Santa María Tocatlan;1004132;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Tocatlan;Tlaxcala;Tlaxcala;;Pueblo;Apizaco;;Tlaxcala;1111;9999;
65;San Agustin Tlaxco;1004131;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Tlaxco;Tlaxcala;Tlaxcala;;Pueblo;Tlaxco;;Tlaxcala;1111;9999;
67;San Felipe Ixtacuistla;1004077;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Ixtacuistla;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
68;La Trinidad;1004111;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Tenexyecac;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
69;Hueyotlipam;1004073;0.952;category_null;no_saint;jurisdiccion_exact;auto_adopt;fuzzy;Hueyotlipan;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
70;San Simon;1004102;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;San Simon;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
70;San Simon;1004103;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;San Simon;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
71;Nra Sra de España;1004104;0.8;category_null;no_saint;jurisdiccion_exact;adopted_candidate;none;Santa Maria España;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
72;Ixcotla;1004076;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Ixcotla;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
73;La Magdalena;1004080;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Magdalena;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
73;La Magdalena;1004129;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Tlaltelulco;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
74;San Meteo;;0.889;category_null;no_saint;jurisdiccion_exact;relegated;fuzzy;Ayecac;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
75;San Diego;1004141;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Xocoyucan;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
76;Santa Justina;1004069;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Ecatepec;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
77;Santa Ines;1004106;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Tecuexcomac;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
77;Santa Ines;1004144;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Zacatelco;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
78;..paluca;1004088;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Nopalucan;Tlaxcala;Tlaxcala;;Pueblo;San Felipe;;Tlaxcala;1111;9999;
80;Santa María Nativitas;1004087;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Nativitas;Tlaxcala;Tlaxcala;;Pueblo;Nativitas;;Tlaxcala;1111;9999;
81;Santo Tomás;1004142;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Xostla;Tlaxcala;Tlaxcala;;Pueblo;Nativitas;;Tlaxcala;1111;9999;
82;Santiago;;1.0;category_null;saint_mismatch;jurisdiccion_exact;relegated;none;Ocotlan;Tlaxcala;Tlaxcala;;Pueblo;Nativitas;;Tlaxcala;1111;9999;
83;San Miguel;1004099;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;San Miguel del Milagro;Tlaxcala;Tlaxcala;;Pueblo;Nativitas;;Tlaxcala;1111;9999;
83;San Miguel;1004100;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;San Miguelito;Tlaxcala;Tlaxcala;;Pueblo;Nativitas;;Tlaxcala;1111;9999;
83;San Miguel;1004108;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Tenancingo;Tlaxcala;Tlaxcala;;Pueblo;Nativitas;;Tlaxcala;1111;9999;
83;San Miguel;1004140;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Xochitecatitla;Tlaxcala;Tlaxcala;;Pueblo;Nativitas;;Tlaxcala;1111;9999;
84;San Rafael;1004110;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Tenanyecac;Tlaxcala;Tlaxcala;;Pueblo;Nativitas;;Tlaxcala;1111;9999;
