rowID;ref_Label;gz_id;fuzzy_score
44;lima;6000001;1.0
44;lima;6000001;1.0
45;chilca;6000696;1.0
45;chilca;6000696;1.0
46;ica;6000859;1.0
46;ica;6000859;1.0
46;ica;6000856;1.0
46;ica;6000856;1.0
47;arequipa;6000007;1.0
47;arequipa;6000007;1.0
48;barbacoas;4000139;1.0
48;barbacoas;4000139;1.0
48;barbacoas;4000139;1.0
48;barbacoas;4000139;1.0
48;barbacoas;4000139;1.0
49;tumaco;5600070;1.0
49;tumaco;5600070;1.0
49;tumaco;5600070;1.0
49;tumaco;5600070;1.0
49;tumaco;5600070;1.0
50;ibarra;5600008;1.0
50;ibarra;5600008;1.0
50;ibarra;5600008;1.0
51;quito;9901182;1.0
51;quito;9901182;1.0
51;quito;5600001;1.0
51;quito;5600001;1.0
51;quito;5600001;1.0
52;guayaquil;5600003;1.0
52;guayaquil;5600003;1.0
52;guayaquil;5600003;1.0
52;guayaquil;5600003;1.0
52;guayaquil;5600003;1.0
53;tumbes;6001395;1.0
53;tumbes;6001395;1.0
54;jaen;5600004;1.0
54;jaen;5600004;1.0
54;jaen;5600004;1.0
55;lima;9000487;1.0
55;lima;9000487;1.0
55;lima;9000487;1.0
55;lima;6000001;1.0
55;lima;6000001;1.0
56;huarochiri;6000807;1.0
56;huarochiri;6000807;1.0
57;jauja;6001133;1.0
57;jauja;6001133;1.0
58;tarma;6000004;1.0
58;tarma;6000004;1.0
59;huanuco;6001084;1.0
59;huanuco;6001084;1.0
60;cuchero;6001554;1.0
60;cuchero;6001554;1.0
60;cuchero;6001554;1.0
60;cuchero;6001554;1.0
61;canta;6000706;1.0
61;canta;6000706;1.0
62;lima;9000487;1.0
62;lima;9000487;1.0
62;lima;9000487;1.0
62;lima;6000001;1.0
62;lima;6000001;1.0
66;valparaiso;7000003;1.0
66;valparaiso;7000003;1.0
66;valparaiso;1004871;1.0
66;valparaiso;1004871;1.0
66;valparaiso;1004871;1.0
67;santiago;5000007;1.0
67;santiago;5000007;1.0
67;santiago;5000007;1.0
67;santiago;5000007;1.0
67;santiago;5000007;1.0
68;talca;9901219;1.0
68;talca;7000175;1.0
68;talca;7000098;1.0
68;talca;7000098;1.0
68;talca;7000175;1.0
70;valdivia;7000005;1.0
70;valdivia;7000005;1.0
70;valdivia;7000005;1.0
70;valdivia;7000270;1.0
70;valdivia;7000270;1.0
71;san carlos;9000248;1.0
71;san carlos;9000248;1.0
71;san carlos;9000248;1.0
71;san carlos;9000248;1.0
71;san carlos;9000636;1.0
72;lima;9000487;1.0
72;lima;9000487;1.0
72;lima;9000487;1.0
72;lima;6000001;1.0
72;lima;6000001;1.0
73;puno;8000002;1.0
73;puno;8000002;1.0
73;puno;8000002;1.0
74;la paz;1004723;1.0
74;la paz;1002005;1.0
74;la paz;1002005;1.0
74;la paz;1002005;1.0
74;la paz;1005308;1.0
75;cochabamba;9900776;1.0
75;cochabamba;9900776;1.0
75;cochabamba;8000004;1.0
75;cochabamba;8000004;1.0
75;cochabamba;6001111;1.0
76;la habana;3000004;1.0
76;la habana;3000004;1.0
76;la habana;3000004;1.0
76;la habana;3000004;1.0
76;la habana;3000004;1.0
77;sisal;1004568;1.0
77;sisal;9900228;1.0
77;sisal;9900228;1.0
77;sisal;1004568;1.0
79;sisal;1004568;1.0
79;sisal;9900228;1.0
79;sisal;9900228;1.0
79;sisal;1004568;1.0
80;villahermosa;1000018;1.0
80;villahermosa;1000018;1.0
81;ciudad real;2000005;1.0
81;ciudad real;2000005;1.0
81;ciudad real;2000005;1.0
81;ciudad real;4000421;1.0
81;ciudad real;4000421;1.0
82;guatemala;2000003;1.0
82;guatemala;2000003;1.0
82;guatemala;2000002;1.0
82;guatemala;2000199;1.0
82;guatemala;2000199;1.0
83;antequera;1000014;1.0
83;antequera;1000014;1.0
85;campeche;1000226;1.0
85;campeche;1000226;1.0
86;veracruz;1004843;1.0
86;veracruz;1004843;1.0
86;veracruz;1000021;1.0
86;veracruz;1000021;1.0
86;veracruz;1000021;1.0
88;puebla;1000015;1.0
88;puebla;1000015;1.0
88;puebla;1000015;1.0
88;puebla;2000697;1.0
88;puebla;2000697;1.0
91;celaya;1000073;1.0
91;celaya;1000073;1.0
92;guanajuato;1000005;1.0
92;guanajuato;1000005;1.0
93;aguas calientes;9900186;1.0
93;aguas calientes;9900186;1.0
93;aguas calientes;9900186;1.0
93;aguas calientes;2000795;0.9655172413793103
94;fresnillo;1000234;1.0
94;fresnillo;1000234;1.0
94;fresnillo;1000234;1.0
95;sombrerete;1000240;1.0
95;sombrerete;1000240;1.0
96;durango;1000004;1.0
96;durango;1000004;1.0
98;acapulco;1003824;1.0
98;acapulco;1003824;1.0
98;acapulco;1000006;1.0
98;acapulco;1000006;1.0
98;acapulco;1000006;1.0
110;valladolid;5600148;1.0
110;valladolid;5600148;1.0
110;valladolid;5600148;1.0
110;valladolid;5600148;1.0
110;valladolid;1000008;1.0
111;guadalajara;1000002;1.0
111;guadalajara;1000002;1.0
