id_i;1779;END_;Type;Location1;Territory;Location2;Location3;Location4;Province;Region;Country;NAME_2;Motive;Details;Source;;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;;ID_3;NAME_3
37;1750;1750;Rebellion or revolt;Lima;;;;;Lima;Peru;;Lima;"Indian and mestizo rebellion against ""bad government""";;O'Phelan, p. 286;;1250;178;PER;Peru;15;Lima Province;128;;1250;Lima
38;1750;1750;Rebellion or revolt;Huarochiri;;;;;Lima;Peru;;Huarochiri;Rebellion against Crown's anti-mestizo policy and Spanish authorities;;O'Phelan, p. 286;;1331;178;PER;Peru;16;Lima;134;;1331;Huarochiri
39;1751;1751;Rebellion or revolt;Urubamba;;;;;Cuzco;Peru;;Urubamba;against corregidor;against imprisonment of and Indian;O'Phelan, p. 286;;785;178;PER;Peru;8;Cusco;80;;785;Urubamba
40;1751;1751;Rebellion or revolt;Zana;Saña;;;;;Peru;;Chiclayo;revolt led by cuadrillas de negros;;O'Phelan, p. 286;;1216;178;PER;Peru;14;Lambayeque;125;;1216;Sa√±a
41;1751;1751;Rebellion or revolt;Ferrenafe;;;;;Sana;Peru;;Ferrenafe;against corregidor and local cacique;to avoid division of cacicazgo;O'Phelan, p. 286;;1219;178;PER;Peru;14;Lambayeque;126;;1219;Ferrenafe
42;1751;1751;Rebellion or revolt;Potosi;Potosi;;;;;Charcas;Bolivia;;indios capchas;worked at mine killed Spaniard;O'Phelan, p. 286;;;;;;;;;;;
43;1755;1755;Rebellion or revolt;Jauja;Jauja;;;;;Peru;;Jauja;Land conflict between Spaniards and local cacique;;O'Phelan, p. 286;;1065;178;PER;Peru;12;Jun√≠n;108;;1065;Jauja
44;1756;1756;Rebellion or revolt;Angaraes;Angaraes;;;;;Peru;;Angaraes;Indian upheaval ;occupation of communal land by Spaniards and mestizos and against reparto;O'Phelan, p. 286;;876;178;PER;Peru;10;Huancavelica;93;;876;Julcamarca
45;1756;1756;Rebellion or revolt;Usquil;;;;;Huamachuco;Peru;;Otuzco;against obraje administration;;O'Phelan, p. 286;;1154;178;PER;Peru;13;La Libertad;118;;1154;Usquil
46;1756;1756;Rebellion or revolt;Ninacaca;;;;;Tarma;Peru;;Pasco;local priest led revolt against corregidor;corregidor changed Indian alcalde appointed by them;O'Phelan, p. 286;;1503;178;PER;Peru;20;Pasco;152;;1503;Ninacaca
46;1756;1756;Rebellion or revolt;Carhuamayo;;;;;Tarma;Peru;;Jun√≠n;;;O'Phelan, p. 286;;1089;178;PER;Peru;12;Junin;109;;1089;Carhuamayo
47;1757;1757;Rebellion or revolt;Chacayan;;;;;Tarma;Peru;;Daniel Alcides Carri√≥n;Indian revolt ;against corregidor, and primicia tax;O'Phelan, p. 286;;1484;178;PER;Peru;20;Pasco;150;;1484;Chacayan
47;1757;1757;Rebellion or revolt;Yanacocha;;;;;Tarma;Peru;;Tarma;;;O'Phelan, p. 286;;1102;178;PER;Peru;12;Junin;111;;1102;Acobamba
47;1757;1757;Rebellion or revolt;Tapu;;;;;Tarma;Peru;;Tarma;;;O'Phelan, p. 286;;1109;178;PER;Peru;12;Jun√≠n;111;;1109;Tapo
47;1757;1757;Rebellion or revolt;Michivilca;;;;;Tarma;Peru;;Daniel Alcides Carri√≥n;;;O'Phelan, p. 286;;1489;178;PER;Peru;20;Pasco;150;;1489;Tapuc
48;1758;1758;Rebellion or revolt;Huarmacas;;;;;Piura;Peru;;Huancabamba;against priest;accused of expropriating communal land;O'Phelan, p. 286;;1525;178;PER;Peru;21;Piura;154;;1525;Huarmaca
49;1758;1758;Rebellion or revolt;Huamachuco;Huamachuco;;;;;Peru;;S√°nchez Carri√≥n;against population count;;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;;1176;Huamachuco
50;1758;1758;Rebellion or revolt;Otuzco;;;;;;Peru;;Otuzco;released prisoners;;O'Phelan, p. 286;;1150;178;PER;Peru;13;La Libertad;118;;1150;Otuzco
51;1760;1760;Rebellion or revolt;Pichuichuro;;;;;Abancay;Peru;;Anta;at obraje;oficinas burnt down;O'Phelan, p. 286;;685;178;PER;Peru;8;Cusco;69;;685;Ancahuasi
52;1760;1762;Rebellion or revolt;Totora;;;;;Carangas;Charcas;Bolivia;;against revisita;;O'Phelan, p. 286;;;;;;;;;;;
53;1761;1761;Rebellion or revolt;Simbal;;;;;Trujillo;Peru;;Trujillo;by indios forasteros;to expel priest;O'Phelan, p. 286;;1197;178;PER;Peru;13;La Libertad;123;;1197;Simbal
54;1762;1762;Rebellion or revolt;Zepita;Chucuito;;;;;Peru;;Chucuito;against local revisita and numeracion de tributarios;;O'Phelan, p. 286;;1608;178;PER;Peru;22;Puno;163;;1608;Zepita
55;1764;1764;Rebellion or revolt;Pueblo Nuevo;;;;;Sana;Peru;;Ferre√±afe;by Indians and mestizos;to defend local priest;O'Phelan, p. 286;;1223;178;PER;Peru;14;Lambayeque;126;;1223;Pueblo Nuevo
56;1764;1764;Rebellion or revolt;San Luis Huancapi;;;;;Vilcashuaman;Peru;;Victor Fajardo;against tribute collector;against mita quota to Huancavelica;O'Phelan, p. 286;;536;178;PER;Peru;5;Ayacucho;52;;536;Huancapi
57;1764;1764;Rebellion or revolt;Riobamba;;;;;Quito;Quito;Ecuador;;Indians;against obraje administrator due to increase in tareas;O'Phelan, p. 286;;;;;;;;;;;
58;1765;1765;Rebellion or revolt;Pichuichuro;;;;;Abancay;Peru;;Anta;Labourers from obraje;against mayordolomos and mandones;O'Phelan, p. 286;;685;178;PER;Peru;8;Cusco;69;;685;Ancahuasi
59;1766;1766;Rebellion or revolt;Caylloma;Caylloma;;;;;Peru;;Caylloma;led by priests;;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma
60;1766;1767;Rebellion or revolt;Pomata;;;;;Chucuito;Peru;;Chucu√≠to;by Indians   ;against revisita and increase in tribute;O'Phelan, p. 286;;1607;178;PER;Peru;22;Puno;163;;1607;Pomata
61;1766;1767;Rebellion or revolt;Puno;Puno;;;;;Peru;;Puno;by Indians;against Justicia mayor;O'Phelan, p. 286;;1658;178;PER;Peru;22;Puno;170;;1658;Puno
62;1767;1768;Rebellion or revolt;;Mojos;;;;;Charcas;Bolivia?;;by Indians;against Crown due to the expulsion of Jesuits;O'Phelan, p. 286;;;;;;;;;;;
63;1768;1768;Rebellion or revolt;Paraysancos;;;;;Lucanas;Peru;;Huanca Sancos;led by priest  ;against reparto;O'Phelan, p. 286;;461;178;PER;Peru;5;Ayacucho;45;;461;Sancos
64;1768;1768;Rebellion or revolt;Quito;Quito;;;;;;Ecuador;;against alcabalas;;O'Phelan, p. 286;;;;;;;;;;;
65;1768;1768;Rebellion or revolt;Chumbivilcas;Chumbivilcas;;;;;Peru;;Chumbivilcas;against corregidor;support priest that Chala was part of Calamani's curato;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;;725;Santo Tomas
66;1769;1769;Rebellion or revolt;Contumaza;Cajamarca;;;;;Peru;;Contumaz√°;against tribute and revisitador;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;;597;Contumaza
67;1769;1769;Rebellion or revolt;Asuncion;;;;;Cajamarca;Peru;;Cajamarca;by Indians and mestizos;attacked revisitador de tributos;O'Phelan, p. 286;;553;178;PER;Peru;6;Cajamarca;55;;553;Asuncion
68;1770;1770;Rebellion or revolt;Sicuani;Tinta;;;;;Peru;;Canchis;by Indians;invasion of doctrina;O'Phelan, p. 286;;717;178;PER;Peru;8;Cusco;72;;717;Sicuani
69;1770;1770;Rebellion or revolt;Checacupe;;;;;Tinta;Peru;;Canchis;by Indians;set fire of corregidor's home;O'Phelan, p. 286;;711;178;PER;Peru;8;Cusco;72;;711;Checacupe
70;1770;1770;Rebellion or revolt;Sicasica;;;;;;Charcas;Bolivia;;by Indians;killed a lieutenant ;O'Phelan, p. 286;;;;;;;;;;;
71;1770;1770;Rebellion or revolt;Caylloma;;;;;;Peru;;Caylloma;by Indians;against corregidor, and reparto;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma
72;1771;1771;Rebellion or revolt;Chulimani;;;;;Sicasica;Charcas;Bolivia;;by Indians;against corregidor;O'Phelan, p. 286;;;;;;;;;;;
73;1771;1771;Rebellion or revolt;Pacajes;;;;;;Charcas;Bolivia;;by Indians;homicide of corregidor;O'Phelan, p. 286;;;;;;;;;;;
74;1771;1771;Rebellion or revolt;Santiago de Cao;;;;;Trujillo;Peru;;Ascope;against Indio alcalde ;he blocked access to local riegos;O'Phelan, p. 286;;1127;178;PER;Peru;13;La Libertad;113;;1127;Santiago de Cao
75;1771;1771;Rebellion or revolt;Cocharcas;;;;;Andahuaylas;Peru;;Chincheros;by priest;against corregidor;O'Phelan, p. 286;;304;178;PER;Peru;3;Apur√≠mac;32;;304;Cocharcas
76;1771;1771;Rebellion or revolt;Morrope;;;;;Sana;Peru;;Lambayeque;conflict btw caciques ;;O'Phelan, p. 286;;1229;178;PER;Peru;14;Lambayeque;127;;1229;Morrope
77;1771;1771;Rebellion or revolt;Contumza;;;;;Cajamarca;Peru;;Contumaz√°;against priest;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;;597;Contumaza
78;1771;1771;Rebellion or revolt;Quiquijana;;;;;Quipicanchis;Peru;;Quispicanchi;by Indians;homicide of corregidor's tax collector as a result of their reparto indetedness;O'Phelan, p. 286;;778;178;PER;Peru;8;Cusco;79;;778;Quiquijana
79;1771;1771;Rebellion or revolt;Chipao;;;;;Lucanas;Peru;;Lucanas;land dispute btw the cacique and Indians;;O'Phelan, p. 286;;482;178;PER;Peru;5;Ayacucho;48;;482;Chipao
79;1771;1771;Rebellion or revolt;Sodongo;;;;;Lucanas;Peru;;;;;O'Phelan, p. 286;;;;;;;;;;;
80;1772;1772;Rebellion or revolt;Contumaza;;;;;Cajamarca;Peru;;Contumaz√°;against juez de comision;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;;597;Contumaza
81;1772;1772;Rebellion or revolt;Quechualla;;;;;Arequipa;Peru;;La Uni√≥n;against corregidor;;O'Phelan, p. 286;;434;178;PER;Peru;4;Arequipa;42;;434;Quechualla
82;1773;1773;Rebellion or revolt;Celendin;;;;;Cajamarca;Peru;;Celend√≠n;against corregidor;involved creoles and mestizos in reparto;O'Phelan, p. 286;;565;178;PER;Peru;6;Cajamarca;56;;565;Celendin
83;1773;1773;Rebellion or revolt;Santiago de Chuco;;;;;Huamachuco;Peru;;Santiago de Chuco;by mestizos;against corregidor;O'Phelan, p. 286;;1187;178;PER;Peru;13;La Libertad;122;;1187;Santiago de Chuco
84;1774;1774;Rebellion or revolt;Huari;;;;;Conchucos;Peru;;Huari;against corregidor's lieutenant;;O'Phelan, p. 286;;156;178;PER;Peru;2;Ancash;17;;156;Huari
85;1774;1774;Rebellion or revolt;Chota;;;;;Guambos;Peru;;Chota;against corregidor;;O'Phelan, p. 286;;583;178;PER;Peru;6;Cajamarca;57;;583;Chota
86;1774;1774;Rebellion or revolt;Chumbivilcas;;;;;;Peru;;Chumbivilcas;homicide of Spaniard;he imprisoned local cacique;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;;725;Santo Tomas
87;1774;1774;Rebellion or revolt;Cacamarca;;;;;Vilcashuaman;Peru;;Vilcas Huam√°n;against obraje administration;;O'Phelan, p. 286;;548;178;PER;Peru;5;Ayacucho;53;;548;Vischongo
88;1774;1774;Rebellion or revolt;Huaylas;;;;;;Peru;;Huaylas;homicide of alguacil;;O'Phelan, p. 286;;173;178;PER;Peru;2;Ancash;19;;173;Huaylas
89;1774;1774;Rebellion or revolt;Condo Condo;;;;;Paria;Peru;;;by Indians;homicide of cacique and his brother as reprisal for the murder of an indio tributario;O'Phelan, p. 286;;;;;;;;;;;
