ID;gz_id;foreignkey;foreignsite;foreignID;foreignprefix
138;9900947;wd:Q1654480;wd;Q1654480;https://www.wikidata.org/wiki/
139;9900947;loc:no99086533;loc;no99086533;https://lccn.loc.gov/
140;9900947;gn:3667044;gn;3667044;https://www.geonames.org/
141;9900947;whg:167770;whg;167770;https://whgazetteer.org/places/
142;9900946;whg:167769;whg;167769;https://whgazetteer.org/places/
143;9900945;whg:167768;whg;167768;https://whgazetteer.org/places/
144;9900944;whg:167767;whg;167767;https://whgazetteer.org/places/
145;9900943;whg:167766;whg;167766;https://whgazetteer.org/places/
146;9900942;wd:Q5527571;wd;Q5527571;https://www.wikidata.org/wiki/
147;9900942;gn:3709294;gn;3709294;https://www.geonames.org/
148;9900942;whg:167765;whg;167765;https://whgazetteer.org/places/
149;9900941;whg:167764;whg;167764;https://whgazetteer.org/places/
150;9900940;whg:167763;whg;167763;https://whgazetteer.org/places/
151;9900939;whg:167761;whg;167761;https://whgazetteer.org/places/
152;9900938;whg:167760;whg;167760;https://whgazetteer.org/places/
153;9900937;whg:167759;whg;167759;https://whgazetteer.org/places/
154;9900936;whg:167758;whg;167758;https://whgazetteer.org/places/
155;9900935;whg:167757;whg;167757;https://whgazetteer.org/places/
156;9900934;whg:167756;whg;167756;https://whgazetteer.org/places/
157;9900933;whg:167755;whg;167755;https://whgazetteer.org/places/
158;9900932;whg:167754;whg;167754;https://whgazetteer.org/places/
159;9900931;whg:167753;whg;167753;https://whgazetteer.org/places/
160;9900930;whg:167752;whg;167752;https://whgazetteer.org/places/
161;9900929;whg:167750;whg;167750;https://whgazetteer.org/places/
162;9900928;whg:167749;whg;167749;https://whgazetteer.org/places/
163;9900927;whg:167748;whg;167748;https://whgazetteer.org/places/
164;9900926;whg:167747;whg;167747;https://whgazetteer.org/places/
165;9900925;whg:167746;whg;167746;https://whgazetteer.org/places/
166;9900924;whg:167745;whg;167745;https://whgazetteer.org/places/
167;9900923;whg:167744;whg;167744;https://whgazetteer.org/places/
168;9900922;whg:167743;whg;167743;https://whgazetteer.org/places/
169;9900921;whg:167742;whg;167742;https://whgazetteer.org/places/
170;9900920;whg:167741;whg;167741;https://whgazetteer.org/places/
171;9900919;whg:167739;whg;167739;https://whgazetteer.org/places/
172;9900918;whg:167738;whg;167738;https://whgazetteer.org/places/
173;9900917;whg:167737;whg;167737;https://whgazetteer.org/places/
174;9900916;whg:167736;whg;167736;https://whgazetteer.org/places/
175;9900915;whg:167735;whg;167735;https://whgazetteer.org/places/
176;9900914;whg:167734;whg;167734;https://whgazetteer.org/places/
177;9900913;whg:167733;whg;167733;https://whgazetteer.org/places/
178;9900912;whg:167732;whg;167732;https://whgazetteer.org/places/
179;9900910;whg:167731;whg;167731;https://whgazetteer.org/places/
180;9900909;whg:167729;whg;167729;https://whgazetteer.org/places/
181;9900908;wd:Q23684207;wd;Q23684207;https://www.wikidata.org/wiki/
182;9900908;gn:3671576;gn;3671576;https://www.geonames.org/
183;9900908;whg:167728;whg;167728;https://whgazetteer.org/places/
184;9900907;whg:167727;whg;167727;https://whgazetteer.org/places/
185;9900906;whg:167726;whg;167726;https://whgazetteer.org/places/
186;9900904;whg:167725;whg;167725;https://whgazetteer.org/places/
187;9900903;whg:167724;whg;167724;https://whgazetteer.org/places/
188;9900902;whg:167723;whg;167723;https://whgazetteer.org/places/
189;9900901;whg:167722;whg;167722;https://whgazetteer.org/places/
190;9900900;wd:Q1332179;wd;Q1332179;https://www.wikidata.org/wiki/
191;9900900;gn:3564885;gn;3564885;https://www.geonames.org/
192;9900900;whg:167721;whg;167721;https://whgazetteer.org/places/
193;9900899;whg:167719;whg;167719;https://whgazetteer.org/places/
194;9900898;whg:167718;whg;167718;https://whgazetteer.org/places/
195;9900897;whg:167717;whg;167717;https://whgazetteer.org/places/
196;9900896;wd:Q600105;wd;Q600105;https://www.wikidata.org/wiki/
197;9900896;gn:3556078;gn;3556078;https://www.geonames.org/
198;9900896;whg:167716;whg;167716;https://whgazetteer.org/places/
199;9900895;whg:167715;whg;167715;https://whgazetteer.org/places/
200;9900894;whg:167714;whg;167714;https://whgazetteer.org/places/
201;9900893;whg:167713;whg;167713;https://whgazetteer.org/places/
202;9900892;whg:167712;whg;167712;https://whgazetteer.org/places/
203;9900891;whg:167711;whg;167711;https://whgazetteer.org/places/
204;9900890;whg:167710;whg;167710;https://whgazetteer.org/places/
205;9900889;whg:167708;whg;167708;https://whgazetteer.org/places/
206;9900887;whg:167707;whg;167707;https://whgazetteer.org/places/
207;9900886;whg:167706;whg;167706;https://whgazetteer.org/places/
208;9900885;whg:167705;whg;167705;https://whgazetteer.org/places/
209;9900884;whg:167704;whg;167704;https://whgazetteer.org/places/
210;9900883;whg:167703;whg;167703;https://whgazetteer.org/places/
211;9900882;whg:167702;whg;167702;https://whgazetteer.org/places/
212;9900881;whg:167701;whg;167701;https://whgazetteer.org/places/
213;9900880;whg:167700;whg;167700;https://whgazetteer.org/places/
214;9900879;whg:167698;whg;167698;https://whgazetteer.org/places/
215;9900878;whg:167697;whg;167697;https://whgazetteer.org/places/
216;9900877;whg:167696;whg;167696;https://whgazetteer.org/places/
217;9900876;whg:167695;whg;167695;https://whgazetteer.org/places/
218;9900875;whg:167694;whg;167694;https://whgazetteer.org/places/
219;9900874;whg:167693;whg;167693;https://whgazetteer.org/places/
220;9900873;whg:167692;whg;167692;https://whgazetteer.org/places/
221;9900872;whg:167691;whg;167691;https://whgazetteer.org/places/
222;9900871;whg:167690;whg;167690;https://whgazetteer.org/places/
223;9900870;whg:167689;whg;167689;https://whgazetteer.org/places/
224;9900869;whg:167687;whg;167687;https://whgazetteer.org/places/
225;9900868;whg:167686;whg;167686;https://whgazetteer.org/places/
226;9900867;whg:167685;whg;167685;https://whgazetteer.org/places/
227;9900866;whg:167684;whg;167684;https://whgazetteer.org/places/
228;9900865;whg:167683;whg;167683;https://whgazetteer.org/places/
229;9900864;whg:167682;whg;167682;https://whgazetteer.org/places/
230;9900863;whg:167681;whg;167681;https://whgazetteer.org/places/
231;9900862;whg:167680;whg;167680;https://whgazetteer.org/places/
232;9900861;whg:167679;whg;167679;https://whgazetteer.org/places/
233;9900859;whg:167677;whg;167677;https://whgazetteer.org/places/
234;9900858;whg:167676;whg;167676;https://whgazetteer.org/places/
235;9900857;whg:167675;whg;167675;https://whgazetteer.org/places/
236;9900856;whg:167674;whg;167674;https://whgazetteer.org/places/
237;9900855;whg:167673;whg;167673;https://whgazetteer.org/places/
238;9900854;whg:167672;whg;167672;https://whgazetteer.org/places/
239;9900853;whg:167671;whg;167671;https://whgazetteer.org/places/
240;9900852;gn:3590389;gn;3590389;https://www.geonames.org/
241;9900852;wd:Q1113394;wd;Q1113394;https://www.wikidata.org/wiki/
242;9900852;whg:167670;whg;167670;https://whgazetteer.org/places/
243;9900851;whg:167669;whg;167669;https://whgazetteer.org/places/
244;9900850;whg:167668;whg;167668;https://whgazetteer.org/places/
245;9900849;whg:167666;whg;167666;https://whgazetteer.org/places/
246;9900846;whg:167665;whg;167665;https://whgazetteer.org/places/
247;9900844;whg:167664;whg;167664;https://whgazetteer.org/places/
248;9900843;whg:167663;whg;167663;https://whgazetteer.org/places/
249;9900842;whg:167662;whg;167662;https://whgazetteer.org/places/
250;9900841;whg:167661;whg;167661;https://whgazetteer.org/places/
251;9900840;whg:167660;whg;167660;https://whgazetteer.org/places/
252;9900839;whg:167658;whg;167658;https://whgazetteer.org/places/
253;9900838;whg:167657;whg;167657;https://whgazetteer.org/places/
254;9900837;whg:167656;whg;167656;https://whgazetteer.org/places/
255;9900836;whg:167655;whg;167655;https://whgazetteer.org/places/
256;9900835;whg:167654;whg;167654;https://whgazetteer.org/places/
257;9900834;whg:167653;whg;167653;https://whgazetteer.org/places/
258;9900833;whg:167652;whg;167652;https://whgazetteer.org/places/
259;9900831;whg:167651;whg;167651;https://whgazetteer.org/places/
260;9900830;whg:167650;whg;167650;https://whgazetteer.org/places/
261;9900829;whg:167648;whg;167648;https://whgazetteer.org/places/
262;9900828;whg:167647;whg;167647;https://whgazetteer.org/places/
263;9900827;whg:167646;whg;167646;https://whgazetteer.org/places/
264;9900826;whg:167645;whg;167645;https://whgazetteer.org/places/
265;9900825;whg:167644;whg;167644;https://whgazetteer.org/places/
266;9900824;whg:167643;whg;167643;https://whgazetteer.org/places/
267;9900823;whg:167642;whg;167642;https://whgazetteer.org/places/
268;9900822;whg:167641;whg;167641;https://whgazetteer.org/places/
269;9900821;whg:167640;whg;167640;https://whgazetteer.org/places/
270;9900820;whg:167639;whg;167639;https://whgazetteer.org/places/
271;9900819;whg:167637;whg;167637;https://whgazetteer.org/places/
272;9900817;whg:167636;whg;167636;https://whgazetteer.org/places/
273;9900816;whg:167635;whg;167635;https://whgazetteer.org/places/
274;9900815;whg:167634;whg;167634;https://whgazetteer.org/places/
275;9900814;whg:167633;whg;167633;https://whgazetteer.org/places/
276;9900813;whg:167632;whg;167632;https://whgazetteer.org/places/
277;9900812;whg:167631;whg;167631;https://whgazetteer.org/places/
278;9900811;whg:167630;whg;167630;https://whgazetteer.org/places/
279;9900810;whg:167629;whg;167629;https://whgazetteer.org/places/
280;9900809;whg:167627;whg;167627;https://whgazetteer.org/places/
281;9900808;whg:167626;whg;167626;https://whgazetteer.org/places/
282;9900807;whg:167625;whg;167625;https://whgazetteer.org/places/
283;9900806;whg:167624;whg;167624;https://whgazetteer.org/places/
284;9900805;whg:167623;whg;167623;https://whgazetteer.org/places/
285;9900804;whg:167622;whg;167622;https://whgazetteer.org/places/
286;9900803;whg:167621;whg;167621;https://whgazetteer.org/places/
287;9900802;whg:167620;whg;167620;https://whgazetteer.org/places/
288;9900801;whg:167619;whg;167619;https://whgazetteer.org/places/
289;9900800;whg:167618;whg;167618;https://whgazetteer.org/places/
290;9900799;whg:167616;whg;167616;https://whgazetteer.org/places/
291;9900798;whg:167615;whg;167615;https://whgazetteer.org/places/
292;9900797;whg:167614;whg;167614;https://whgazetteer.org/places/
293;9900796;whg:167613;whg;167613;https://whgazetteer.org/places/
294;9900795;whg:167612;whg;167612;https://whgazetteer.org/places/
295;9900794;whg:167611;whg;167611;https://whgazetteer.org/places/
296;9900793;whg:167610;whg;167610;https://whgazetteer.org/places/
297;9900792;whg:167609;whg;167609;https://whgazetteer.org/places/
298;9900789;whg:167607;whg;167607;https://whgazetteer.org/places/
299;9900788;whg:167606;whg;167606;https://whgazetteer.org/places/
300;9900787;whg:167605;whg;167605;https://whgazetteer.org/places/
301;9900786;whg:167604;whg;167604;https://whgazetteer.org/places/
302;9900785;whg:167603;whg;167603;https://whgazetteer.org/places/
303;9900784;whg:167602;whg;167602;https://whgazetteer.org/places/
304;9900783;whg:167601;whg;167601;https://whgazetteer.org/places/
305;9900782;whg:167600;whg;167600;https://whgazetteer.org/places/
306;9900781;whg:167599;whg;167599;https://whgazetteer.org/places/
307;9900780;whg:167598;whg;167598;https://whgazetteer.org/places/
308;9900779;whg:167596;whg;167596;https://whgazetteer.org/places/
309;9900778;whg:167595;whg;167595;https://whgazetteer.org/places/
310;9900777;wd:Q682893;wd;Q682893;https://www.wikidata.org/wiki/
311;9900777;whg:167594;whg;167594;https://whgazetteer.org/places/
312;9900776;wd:Q17086599;wd;Q17086599;https://www.wikidata.org/wiki/
313;9900776;whg:167593;whg;167593;https://whgazetteer.org/places/
314;9900775;wd:Q1475798;wd;Q1475798;https://www.wikidata.org/wiki/
315;9900775;gn:3695420;gn;3695420;https://www.geonames.org/
316;9900775;whg:167592;whg;167592;https://whgazetteer.org/places/
317;9900774;whg:167591;whg;167591;https://whgazetteer.org/places/
318;9900773;wd:Q1230023;wd;Q1230023;https://www.wikidata.org/wiki/
319;9900773;whg:167590;whg;167590;https://whgazetteer.org/places/
320;9900772;whg:167589;whg;167589;https://whgazetteer.org/places/
321;9900771;whg:167588;whg;167588;https://whgazetteer.org/places/
322;9900770;whg:167587;whg;167587;https://whgazetteer.org/places/
323;9900769;whg:167585;whg;167585;https://whgazetteer.org/places/
