OficialID;nombre_id;NOM_entero;Nacimiento_y;Fallecimiento_y;N_date_t;F_date_t;Nombres;particulo;Apellidos;titulo_de_nobleza;religious_order;PlaceOfBirth_Settlement;PlaceOfBirth_GZ_ID;PlaceOfBirth_Province;PlaceOfBirth_Country;Nacimiento_num;PlaceOfDeath_Settlement;PlaceOfDeath_GZ_ID;Fallecimiento_Province;PlaceOfDeath_Country;Fallecimiento_num;Fuente;Nota;flag;status;cargo_primero;cargo_ultimo;NOM_entero_STANDARD;Nombres_standard;Apellidos_standard;Apellidos_min;RANGE_S;RANGE_E;dbe;no_foreignkey;nowiki;tocayos;Nombres_alternative;Apellidos_alternative;N_date;F_date;Nom1;Nom2;Nom3;Part1;Ap1;Part2;Ap2;Part3;Ap3;N1S;N2S;N3S;A1S;A2S;A3S;flag_num;update_flag;FullOficialID
35;matias_galvez_y_gallardo;Matías  Gálvez y Gallardo;1717;1784;17.07.1717;17.11.1784;Matías;;Gálvez y Gallardo;;;Macharaviaya;;Málaga;ESP;17170724;México;1000001;;MEX;17841103;;;n;wsmwikibatch;PRGUGU00;PRNEMX00;Matias  Galvez y Gallardo;Matias;Galvez y Gallardo;Galvez Gallardo;1717;1784;10142/matias-galvez-y-gallardo;;haswiki;;;;;;Matías;;;;Gálvez;;Gallardo;;;Matias;;;Galvez;Gallardo;;;;persIndias35
36;bernardo_galvez;Bernardo Gálvez;1746;1786;1746;1786;Bernardo;;Gálvez;Conde de Gálvez I;;Macharaviaya;;Málaga;ESP;;Tacubaya;1000860;;MEX;;;;;wsmwikibatch;PRNEMX00;PRNEMX00;Bernardo Galvez;Bernardo;Galvez;Galvez;1746;1786;10137/bernardo-de-galvez;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias36
39;juan_vicente_guemes;Juan Vicente Güemes;1738;1799;1738;1799;Juan Vicente;;Güemes Pacheco de Padilla y Horcasitas;Conde de Revillagigedo II;;La Habana;3000004;;CUB;;Madrid;;;ESP;;;;;wsmwikibatch;PRNEMX00;PRNEMX00;Juan Vicente Guemes;Juan Vicente;Guemes;Guemes;1738;1799;11393/juan-vicente-de-guemes-pacheco-de-padilla-y-horcasitas;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias39
40;miguel_grua_talamanca;Miguel Grúa Talamanca;1755;1812;1755;1812;Miguel;;Grúa Talamanca y Branciforte;Marqués de Branciforte I;;Palermo;;;ITA;;Marsella;;;FRA;;;;;wsmwikibatch;PRNEMX00;PRNEMX00;Miguel Grua Talamanca;Miguel;Grua  Talamanca;Grua  Talamanca;1755;1812;11348/miguel-de-la-grua-talamanca-y-branciforte;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias40
41;miguel_jose_azanza_de_alegria;Miguel José  Azanza de Alegría;1746;1826;17.12.1746;18.06.1826;Miguel José;;Azanza de Alegría;Duque de Santa Fe;;Aoiz;;;ESP;17461220;Bordeaux;;;FRA;18260620;;;n;wsmwikibatch;PRNEMX00;PRNEMX00;Miguel Jose  Azanza de Alegria;Miguel Jose;Azanza de Alegria;Azanza Alegria;1746;1826;7205/miguel-jose-azanza-de-alegria;;haswiki;;;;;;Miguel;José;;;Azanza;;Alegría;;;Miguel;Jose;;Azanza;Alegria;;;;persIndias41
42;felix_berenguer_de_marquina_y_fitz-gerald;Félix  Berenguer de Marquina y Fitz-Gerald;1736;1826;1736;1826;Félix;;Berenguer de Marquina y Fitz-Gerald;;;Alicante;;;ESP;17360000;Alicante;;;ESP;18260000;;;n;wsmwikibatch;PRNEMX00;PRNEMX00;Felix  Berenguer de Marquina y Fitz-Gerald;Felix;Berenguer de Marquina y Fitz-Gerald;Berenguer Marquina Fitz-Gerald;1736;1826;11695/felix-berenguer-de-marquina-y-fitz-gerald;;haswiki;;;;;;Félix;;;;Berenguer;de;Marquina;y;Fitz-Gerald;Felix;;;Berenguer;Marquina;Fitz-Gerald;;;persIndias42
43;jose_iturrigaray;José Iturrigaray;1742;1815;17.06.1742;18.12.1815;José;;Iturrigaray;;;Cadiz;;;ESP;17420627;Madrid;;;ESP;18151200;;;dbenew;wsmwikibatch;PRNEMX00;PRNEMX00;Jose Iturrigaray;Jose;Iturrigaray;Iturrigaray;1742;1815;13149/jose-de-iturrigaray-y-arostegui;added;;;;;;;;;;;;;;;;;;;;;;;;persIndias43
44;pedro_garibay;Pedro Garibay;1729;1815;1729;18.07.1815;Pedro;;Garibay;;;Alcala de Henares;;;ESP;17290000;México;1000001;;MEX;18150707;;;dbenew;wsmwikibatch;PRNEMX00;PRNEMX00;Pedro Garibay;Pedro;Garibay;Garibay;1729;1815;14290/pedro-de-garibay;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias44
45;francisco_daniel_de_la_parra;Francisco Daniel de la Parra;;;;;Francisco Daniel;de la;Parra;;;;;;;;;;;;;;;;q;JUGDDUBV;JUGDDUBV;Francisco Daniel de la Parra;Francisco Daniel;Parra;Parra;1662;1772;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias45
46;pedro_corbalan;Pedro Corbalán;;;;;Pedro;;Corbalán;;;;;;;;;;;;;;;;wsmwikibatch;PRGDSS00;PRGDSS00;Pedro Corbalan;Pedro;Corbalan;Corbalan;1710;1837;;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias46
