gz_id;Entidad_ID;Nivel;tipo;Label;lat;lon;START;END_;C_START;C_END;tipolink;Cabecera;fuente_ID;template;Nivel_START;Nivel_END
1000000;FRNGCUXX;Fronteras;Fronteras;Darienes;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRNGCUXX;Partido;Fronteras;Darienes;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRNGMOXX;Fronteras;Fronteras;Motilones;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRNGSMAR;Fronteras;Fronteras;Araguacos;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRNGSMCH;Fronteras;Fronteras;Chimilas;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRNGSMGU;Fronteras;Fronteras;Guajiros;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRPAMAGU;Partido;Fronteras;Guayra;90;0;1638;1749;1637;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1637-1808);1638;1749
1000000;FRPAMAIT;Partido;Fronteras;Itatines y Jerez;90;0;1701;1749;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1749
1000000;FRPAMAXX;Fronteras;Fronteras;Mamelucos;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRPAPJXX;Partido;Fronteras;Gran Pajonal;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRPAPSXX;Partido;Fronteras;Pampa del Sacramento;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRPAXXXX;Partido;Fronteras;Paititi;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRPAXXXX;Fronteras;Fronteras;Paititi;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRQUJIXX;Fronteras;Fronteras;Jivaros;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRQUMCHU;Partido;Fronteras;Huamboyas;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRQVBMXX;Partido;Fronteras;Bolson de Mapimi;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRQVLIXX;Partido;Fronteras;Apacheria Lipanes;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRQVLLXX;Partido;Fronteras;Comancheria;90;0;1721;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1721;1808
1000000;FRQVNMNT;Partido;Fronteras;Natage;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRQVSMXX;Fronteras;Fronteras;Seno mexicano;90;0;1111;9999;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1111;9999
1000000;FRQVSMXX;Partido;Fronteras;Seno mexicano;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRQVXXXX;Fronteras;Fronteras;Quivira;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRQVXXXX;Partido;Fronteras;Quivira;90;0;1701;1720;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1720
1000000;FRRPCHBO;Partido;Fronteras;Chaco Septentrional;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRRPCHGU;Partido;Fronteras;Chaco Gualamba;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRRPCHLL;Partido;Fronteras;Llanos de Manso;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRRPCHXX;Fronteras;Fronteras;Gran Chaco;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRSDPRVI;Partido;Fronteras;isla de Vieque;90;0;1718;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1718;1808
1000000;FRSDPRVI;Fronteras;Fronteras;isla de Vieque;90;0;1111;9999;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1111;9999
1000000;FRVEGUCA;Partido;Fronteras;Caribana;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRVEGULP;Partido;Fronteras;Laguna del Parime;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRVEGUPA;Fronteras;Fronteras;Paria;90;0;1111;9999;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1111;9999
1000000;FRVEGUPA;Partido;Fronteras;Paria;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRVEGUXX;Fronteras;Fronteras;Guayana;90;0;1111;9999;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1111;9999
1000000;JCGDGDCI;Jurisdiccion;Corregimiento;Cihuatlan;90;0;1534;1599;1534;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1599);1534;1599
1000000;JCGDGDES;Jurisdiccion;Corregimiento;Espuchimilco;90;0;1541;1599;1534;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1599);1541;1599
1000000;JCGDGDXI;Jurisdiccion;Corregimiento;Xiquitlan;90;0;1541;1599;1534;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1599);1541;1599
1000000;JCNEMICP;Jurisdiccion;Corregimiento;Capula;90;0;1534;1599;1534;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1599);1534;1599
1000000;JCNEMIES;Provincia_menor;Alcaldia Mayor;Minas del Espiritu Santo;90;0;1566;1599;1566;1599;alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1566-1599);1566;1599
1000000;JCNEMINE;Jurisdiccion;Corregimiento;Necotlan;90;0;1545;1599;1545;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1545-1599);1545;1599
1000000;JCNEMXTC;Jurisdiccion;Corregimiento;Tlacozautitlan;90;0;1561;1599;1561;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1561-1599);1560;1599
1000000;JCNEOAAM;Jurisdiccion;Corregimiento;Amoltepec;90;0;1545;1578;1545;1579;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1545-1579);1545;1578
1000000;JCNEOACN;Jurisdiccion;Corregimiento;Cuahuitlan;90;0;1534;1581;1534;1581;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1581);1532;1581
1000000;JCNEOATE;Provincia_menor;Corregimiento;Tecomabaca;90;0;1600;1630;1531;1630;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1630);1600;1630
1000000;JCNEOATE;Jurisdiccion;Corregimiento;Tecomabaca;90;0;1531;1630;1531;1630;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1630);1531;1630
1000000;JCNEOATI;Provincia_menor;Corregimiento;Tilantongo;90;0;1600;1688;1566;1688;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1566-1688);1600;1688
1000000;JCNEOATI;Jurisdiccion;Corregimiento;Tilantongo;90;0;1566;1688;1566;1688;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1566-1688);1566;1688
1000000;JCNEOAZO;Jurisdiccion;Corregimiento;Zoyaltepec;90;0;1560;1599;1560;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1560-1599);1560;1599
1000000;JCNEVCCZ;Jurisdiccion;Corregimiento;Chicuazen;90;0;1531;1565;1531;1565;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1565);1531;1565
1000000;JCNEVCPA;Jurisdiccion;Corregimiento;Tlapacoya;90;0;1534;1550;1534;1550;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1550);1534;1550
1000000;JCNEVCTC;Jurisdiccion;Corregimiento;Tonatico;90;0;1544;1599;1544;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1544-1599);1544;1599
1000000;JCNEVCTE;Jurisdiccion;Corregimiento;Tezayuca;90;0;1534;1550;1534;1550;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1550);1534;1550
1000000;JCNEVCTL;Provincia_menor;Alcaldia Mayor;Tlacotalpa;90;0;1570;1594;1570;1594;alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1570-1594);1570;1610
1000000;JCNEVCTL;Jurisdiccion;Alcaldia Mayor;Tlacotalpa;90;0;1570;1594;1570;1594;alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1570-1594);1541;1610
1000000;JCNEVCTL;Provincia_menor;Alcaldia Mayor;Tlacotalpa;90;0;1595;1610;1595;1610;alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1595-1610);1570;1610
1000000;JCNEVCTL;Jurisdiccion;Alcaldia Mayor;Tlacotalpa;90;0;1595;1610;1595;1610;alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1595-1610);1541;1610
1000000;JCNEVCTL;Jurisdiccion;Corregimiento;Tlacotalpa;90;0;1541;1569;1541;1569;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1541-1569);1541;1610
1000000;JCNEVCZE;Jurisdiccion;Corregimiento;Zempoala;90;0;1531;1565;1531;1565;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1565);1531;1599
1000000;JCNEVCZE;Jurisdiccion;Corregimiento;Zempoala;90;0;1566;1599;1566;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1566-1599);1531;1599
1000000;JCNEVCZO;Jurisdiccion;Corregimiento;Zongolica;90;0;1531;1599;1531;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1531-1599);1531;1599
1000000;JCPAXILI;Jurisdiccion;Corregimiento;Xilitla;90;0;1536;1590;1536;1590;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1536-1590);1536;1590
1000000;JUCHCOAR;Jurisdiccion;Comandancia General;Frontera de Arauco;90;0;1701;1722;1701;1722;comandancia_general;[-];desconocida;[[:gazetteer:1000000|[-]]] (1701-1722);1701;1774
1000000;JUCHCOAR;Jurisdiccion;Comandancia General;Frontera de Arauco;90;0;1727;1774;1727;1774;comandancia_general;[-];desconocida;[[:gazetteer:1000000|[-]]] (1727-1774);1701;1774
1000000;JUGDCOPR;Jurisdiccion;Presidios;Frontera de Coahuila;90;0;1772;1808;1772;1808;jurisdiccion_militar;[-];desconocida;[[:gazetteer:1000000|[-]]] (1772-1808);1772;1808
1000000;JUGDDUTL;Jurisdiccion;Partido;Tlaxcaltecas;90;0;1591;1783;1111;1808;partido;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1591;1783
1000000;JUGDSSCH;Provincia_menor;Alcaldia Mayor;Chametla y Salinas;90;0;1630;1665;1630;1665;alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1630-1665);1532;1808
1000000;JUGDSSCH;Provincia_menor;Alcaldia Mayor;Minas de Chametla;90;0;1600;1629;1600;1629;alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1600-1629);1532;1808
1000000;JUGDSSCH;Provincia_menor;Alcaldia Mayor;Villa del Espiritu Santo;90;0;1532;1536;1532;1536;alcaldia_mayor;[-];desconocida;[[:gazetteer:1000000|[-]]] (1532-1536);1532;1808
1000000;JUGDSSCH;Provincia_menor;Comandancia;San Sebastian;90;0;1666;1684;1666;1684;jurisdiccion_militar;[-];desconocida;[[:gazetteer:1000000|[-]]] (1666-1684);1532;1808
1000000;JUGDSSCH;Provincia_menor;Provincia;Chametla;90;0;1537;1563;1537;1563;provincia;[-];desconocida;[[:gazetteer:1000000|[-]]] (1537-1563);1532;1808
1000000;JUGDSSCH;Provincia_menor;Provincia;Chametla;90;0;1685;1808;1685;9999;provincia;[-];desconocida;[[:gazetteer:1000000|[-]]] (1685-9999);1532;1808
1000000;JUGDSSCH;Provincia_menor;Tenencia de gobierno;Chametla;90;0;1564;1599;1564;1599;partido;[-];desconocida;[[:gazetteer:1000000|[-]]] (1564-1599);1532;1808
1000000;JUGUCRCH;Jurisdiccion;Corregimiento;Chirripo;90;0;1632;1659;1632;1659;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1632-1659);1632;1659
1000000;JUGUCRPA;Jurisdiccion;Corregimiento;Pacaca;90;0;1583;1659;1583;1659;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1583-1659);1583;1659
1000000;JUGUCRQU;Jurisdiccion;Corregimiento;Quepo;90;0;1583;1659;1583;1659;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1583-1659);1583;1659
1000000;JUGUCRTR;Jurisdiccion;Corregimiento;Tucurrique;90;0;1591;1599;1591;1599;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1591-1599);1591;1659
1000000;JUGUCRTR;Jurisdiccion;Corregimiento-Alcaldia Mayor;Turrialba;90;0;1600;1659;1600;1659;corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1600-1659);1591;1659
