ID;gz_id;republica;fuente_ID;start;start_ex;end_;end_ex;check;template;es_parte_de;check1;template1
6806;3000265;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000265]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000265@----;;;
6807;3000266;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000266]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000266@----;;;
6808;3000267;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000267]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000267@----;;;
6809;3000268;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000268]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000268@----;;;
6810;3000269;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000269]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000269@----;;;
6811;3000270;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000270]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000270@----;;;
6812;3000271;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000271]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000271@----;;;
6813;3000272;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000272]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000272@----;;;
6814;3000273;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000273]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000273@----;;;
6815;3000274;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000274]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000274@----;;;
6816;3000275;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000275]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000275@----;;;
6817;3000276;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000276]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000276@----;;;
6818;3000277;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000277]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000277@----;;;
6819;3000278;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000278]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000278@----;;;
6820;3000279;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000279]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000279@----;;;
6821;3000280;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000280]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000280@----;;;
6822;3000281;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000281]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000281@----;;;
6823;3000282;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000282]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000282@----;;;
6824;3000283;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000283]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000283@----;;;
6825;3000284;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000284]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000284@----;;;
6826;3000285;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000285]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000285@----;;;
6827;3000288;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000288]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000288@----;;;
6828;3000294;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000294]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000294@----;;;
6829;3000295;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000295]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000295@----;;;
6830;3000296;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000296]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000296@----;;;
6831;3000297;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000297]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000297@----;;;
6832;3000298;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000298]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000298@----;;;
6833;3000299;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000299]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000299@----;;;
6834;3000300;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000300]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000300@----;;;
6835;3000301;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000301]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000301@----;;;
6836;3000304;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000304]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000304@----;;;
6837;3000306;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000306]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000306@----;;;
6838;3000307;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000307]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000307@----;;;
6839;3000308;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000308]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000308@----;;;
6840;3000309;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000309]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000309@----;;;
6841;3000310;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000310]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000310@----;;;
6842;3000311;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000311]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000311@----;;;
6843;3000312;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000312]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000312@----;;;
6844;3000313;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000313]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000313@----;;;
