Entidad_ID;Variantes;Nivel;overlap_start;overlap_end;Region;Lat_Capital;Lon_Capital
AUCO0000;Guatemala @ Confines @ Los Confines @ Los Confines de Guatemala y Nicaragua;Audiencia;1542;1808;Guatemala;14.62181;-90.51879
AUCU0000;Cuzco @;Audiencia;1788;1808;Peru;-13.51672;-71.97888
AUGD0000;Guadalajara @ Nueva Galicia;Audiencia;1548;1808;Nueva Galicia y Septentrion;21.23789;-104.90118
AULI0000;Lima @ Peru;Audiencia;1543;1808;Peru;-12.04665;-77.02998
AUMX0000;Mexico @ Nueva España;Audiencia;1535;1808;Nueva España;19.43379;-99.13313
AUPA0000;Panama @ Tierra Firme @ Castilla de Oro;Audiencia;1539;1750;Tierra Firme;9.00645;-79.48594
AUQU0000;Quito @;Audiencia;1564;1808;Quito;-0.22017;-78.51209
AUSA0000;Santiago @ Chile;Audiencia;1565;1808;Chile;-36.73891;-72.9936
AUSD0000;Santo Domingo @;Audiencia;1527;1808;Santo Domingo;20.0218;-75.8222
AUSD0000;Santo Domingo @;Principal;1527;1783;Santo Domingo;20.0218;-75.8222
AUSF0000;Santa Fe @ Nuevo Reino de Granada;Audiencia;1550;1808;Nuevo Reino de Granada;4.59744;-74.07475
CGPI0000;Provincias Internas @;Principal;1777;1808;Nueva Galicia y Septentrion;30.33603;-110.16631
CGQUMA00;Maynas @;Provincia_mayor;1803;1808;Quito;-6.03451;-76.97492
CGVE0000;Venezuela @ Caracas;Principal;1777;1808;Caracas;10.5061;-66.9146
CGVE0000;Venezuela @ Caracas;Provincia_mayor;1777;1808;Caracas;10.5061;-66.9146
EXDI0000;Dinamarca @;Extranjero;1672;1808;Exterior;90;0
EXFR0000;Francia @;Extranjero;1564;1808;Exterior;90;0
EXGB0000;Gran Bretaña @ Inglaterra;Extranjero;1607;1808;Exterior;90;0
EXHA0000;Haiti @ Saint-Domingue;Extranjero;1808;1808;Exterior;90;0
EXPB0000;Paises Bajos @ Holanda;Extranjero;1581;1808;Exterior;90;0
EXPO0000;Portugal @;Extranjero;1494;1808;Exterior;90;0
EXRU0000;Rusia @;Extranjero;1774;1808;Exterior;90;0
EXSU0000;Suecia @;Extranjero;1638;1808;Exterior;90;0
EXUS0000;Estados Unidos @ Boston @ America;Extranjero;1776;1808;Exterior;90;0
FRANICXX;Isla de California @ New Albion;Fronteras;1111;9999;Nueva Galicia y Septentrion;32;-114
FRANICXX;Isla de California @ New Albion;Partido;1111;1808;Nueva Galicia y Septentrion;32;-114
FRANSSPA;Papageria @;Partido;1701;1808;Nueva Galicia y Septentrion;90;0
FRANSSSE;Seris @;Partido;1701;1808;Nueva Galicia y Septentrion;36.5;-112
FRANXXXX;Anian @;Fronteras;1111;1808;Nueva Galicia y Septentrion;90;0
FRANXXXX;Anian @;Partido;1701;1808;Nueva Galicia y Septentrion;90;0
FRBRXXXX;Brasil @;Fronteras;1111;1776;Exterior;-10;-52
FRBRXXXX;Brasil @;Partido;1701;1749;Exterior;-10;-52
FRCCLPBO;Bopis @ Bopis y Mosetenes;Partido;1701;1808;Charcas;-15;-68
FRCEXXXX;Ciudad de los Cesares @ Patagonia @ Tierra Magellanica @ Tierra Magallanica;Fronteras;1111;1808;Exterior;90;0
FRCEXXXX;Ciudad de los Cesares @ Patagonia @ Tierra Magellanica @ Tierra Magallanica;Partido;1701;1808;Exterior;90;0
FRCHBMBM;Araucania @ Butalmapus;Fronteras;1111;1808;Chile;-38;-72
FRCHBMBM;Araucania @ Butalmapus;Partido;1701;1808;Chile;-38;-72
FRCHBMBM;Araucania @ Butalmapus;Provincia;1642;1808;Chile;-38;-72
FRCHBMBM;Araucania @ Butalmapus;Provincia_menor;1602;1808;Chile;-38;-72
FRCIGIXX;Gila @;Partido;1701;1808;Nueva Galicia y Septentrion;33;-110
FRCIMOXX;Moqui @;Partido;1701;1808;Nueva Galicia y Septentrion;36;-110.8
FRCINAXX;Navajos @;Partido;1701;1808;Nueva Galicia y Septentrion;35.5;-109
FRCITEXX;Gran Teguayo @ Tiguas @ Tiwas @ Tehuas @ Tihuas @ Teguas @ Yutas;Partido;1701;1808;Nueva Galicia y Septentrion;37;-107
FRCIXXXX;Cibola @;Fronteras;1111;1808;Nueva Galicia y Septentrion;35;-108
FRCMXXXX;Chichimeca @;Fronteras;1111;9999;Nueva España;23;-101
FREDBPXX;Bajo Putumayo @;Partido;1701;1808;Quito;-1;-74
FREDCAXX;Pais de la Canela @;Fronteras;1111;1808;Nuevo Reino de Granada;-1;-73
FREDCAXX;Pais de la Canela @;Partido;1701;1808;Nuevo Reino de Granada;-1;-73
FREDXXXX;El Dorado @ Coropa @ Nueva Estremadura @ Nueva Extremadura;Fronteras;1111;1808;Exterior;90;0
FRFLGUXX;Guale @ Guale y Macama;Fronteras;1111;1731;Santo Domingo;31.5;-81.5
FRFLGUXX;Guale @ Guale y Macama;Partido;1701;1731;Santo Domingo;31.5;-81.5
FRGUCYTA;Taguzalpa @;Partido;1701;1808;Guatemala;15;-86.5
FRGUCYXI;Xicayes @;Partido;1701;1808;Guatemala;14.8;-87
FRGUMOCH;Choles @;Partido;1701;1808;Guatemala;15.5;-90
FRGUNITO;Tologalpa @;Partido;1701;1808;Guatemala;13.5;-85
FRMOCMXX;Costa mosquita @;Partido;1701;1806;Guatemala;14;-84
FRMORFXX;Rio Frio y Suerre @;Partido;1701;1808;Guatemala;10.2;-83.5
FRMOTABT;Bocas del Toro @;Partido;1701;1808;Tierra Firme;9.34;-82.25
FRMOTAXX;Talamanca @;Partido;1701;1808;Guatemala;9.5;-83.25
FRMOXXXX;Golfo de Honduras @ Ingleses @ Zambos-mosquitos;Fronteras;1111;9999;Guatemala;16;-87
FRNGCHCH;Chocoes @;Fronteras;1111;1808;Nuevo Reino de Granada;5.5;-76.5
FRNGCUXX;Cunas @ Cunacuna @ Cuna Cuna @ Cunacunas @ Uraba @ Urabi;Fronteras;1111;1808;Nuevo Reino de Granada;8.5;-77.5
FRNGCUXX;Cunas @ Cunacuna @ Cuna Cuna @ Cunacunas @ Uraba @ Urabi;Partido;1701;1808;Nuevo Reino de Granada;8.5;-77.5
FRNGMOXX;Motilones @;Fronteras;1111;1808;Nuevo Reino de Granada;8;-73
FRNGSMAR;Aruacos @ Araguacos @ Sierra Nevada;Fronteras;1111;1808;Nuevo Reino de Granada;10.5;-73.5
FRNGSMCH;Chimilas @;Fronteras;1111;1808;Nuevo Reino de Granada;10;-73.25
FRNGSMGU;Guajiros @;Fronteras;1111;1808;Nuevo Reino de Granada;11.5;-72.5
FRPAMAGU;Guayra @;Partido;1638;1749;Rio de la Plata;90;0
FRPAMAIT;Itatines @ Jerez;Partido;1701;1749;Rio de la Plata;90;0
FRPAMAXX;Mamelucos @;Fronteras;1111;1808;Rio de la Plata;90;0
FRPAPJXX;Gran Pajonal @ Pangoa;Partido;1701;1808;Peru;90;0
FRPAPSXX;Pampa del Sacramento @;Partido;1701;1808;Peru;90;0
FRPAXXXX;Paititi @ Playa de los Ahorcados @ Montaña Real del Peru;Fronteras;1111;1808;Peru;90;0
FRPAXXXX;Paititi @ Playa de los Ahorcados @ Montaña Real del Peru;Partido;1701;1808;Peru;90;0
FRQUJIXX;Jivaros @ Jibaros;Fronteras;1111;1808;Quito;90;0
FRQUMCHU;Huamboyas @;Partido;1701;1808;Quito;90;0
FRQVBMXX;Bolson de Mapimi @;Partido;1701;1808;Nueva Galicia y Septentrion;90;0
FRQVLIXX;Apacheria Lipanes @;Partido;1701;1808;Nueva Galicia y Septentrion;90;0
FRQVLLXX;Comancheria @ Luisiana Alta @ Grandes Llanuras;Partido;1721;1808;Santo Domingo;90;0
FRQVNMNT;Apacheria Natage @;Partido;1701;1808;Nueva Galicia y Septentrion;90;0
FRQVSMXX;Seno mexicano @;Fronteras;1111;9999;Nueva Galicia y Septentrion;90;0
FRQVSMXX;Seno mexicano @;Partido;1701;1808;Nueva Galicia y Septentrion;90;0
FRQVXXXX;Quivira @;Fronteras;1111;1808;Nueva Galicia y Septentrion;90;0
FRQVXXXX;Quivira @;Partido;1701;1720;Nueva Galicia y Septentrion;90;0
FRRPCHBO;Chaco Septentrional @ Chaco Boreal @ Chaco Chiriguano;Partido;1701;1808;Rio de la Plata;90;0
FRRPCHGU;Chaco Gualamba @ Chaco Austral;Partido;1701;1808;Rio de la Plata;90;0
FRRPCHLL;Llanos de Manso @;Partido;1701;1808;Rio de la Plata;90;0
FRRPCHXX;Gran Chaco @;Fronteras;1111;1808;Rio de la Plata;90;0
FRSDPRVI;Vieques @;Fronteras;1111;9999;Santo Domingo;90;0
FRSDPRVI;Vieques @;Partido;1718;1808;Santo Domingo;90;0
FRVEGUCA;Caribana @ Cuyuni @ Esequibo;Partido;1701;1808;Caracas;90;0
FRVEGULP;Laguna del Parime @ Guayana profunda;Partido;1701;1808;Caracas;90;0
FRVEGUPA;Paria @;Fronteras;1111;9999;Caracas;90;0
FRVEGUPA;Paria @;Partido;1701;1808;Caracas;90;0
FRVEGUXX;Guayana 'dorada' @;Fronteras;1111;9999;Exterior;90;0
INGDSS00;Sinaloa y Sonora @ Arizpe;Intendencia;1768;1776;Nueva Galicia y Septentrion;30.33603;-110.16631
INRPBA00;Buenos Aires @ Rio de la Plata;Intendencia;1777;1783;Rio de la Plata;-34.6079;-58.37322
INSDLH00;La Habana @ Isla de Cuba;Intendencia;1765;1808;Santo Domingo;23.14111;-82.35143
INSDLU00;Luisiana @;Intendencia;1766;1808;Santo Domingo;29.9537;-90.06375
INVECA00;Caracas @ Venezuela;Intendencia;1777;1808;Caracas;10.5061;-66.9146
JCGDGDAM;Ameca @;Jurisdiccion;1534;1560;Nueva Galicia y Septentrion;20.54778;-104.04722
JCGDGDAM;Ameca @;Provincia_menor;1561;1609;Nueva Galicia y Septentrion;20.54778;-104.04722
JCGDGDCI;Cihuatlan @ Valle de Cihuatlan;Jurisdiccion;1534;1599;Nueva Galicia y Septentrion;90;0
JCGDGDES;Espuchimilco @ Ispuchimilco @ Puchimilco @ Suchimilco @ Espuchimilco y Tecuxuacan @ Espuchimilco y Texuxuacan @ Espuchimilco y Texuacan;Jurisdiccion;1541;1599;Nueva Galicia y Septentrion;90;0
JCGDGDTM;Tenamastlan @ Tenamaxtlan;Jurisdiccion;1561;1600;Nueva Galicia y Septentrion;20.2175;-104.16417
JCGDGDXI;Xiquitlan @ Jiquitlan @ Xictlan;Jurisdiccion;1541;1599;Nueva Galicia y Septentrion;90;0
JCNEMICP;Capula @;Jurisdiccion;1534;1599;Nueva España;90;0
JCNEMIES;Minas del Espiritu Santo @;Provincia_menor;1566;1599;Nueva España;90;0
JCNEMIGU;Guanaxo @ Cuanajo @ Guanaxo y Urapa;Jurisdiccion;1544;1599;Nueva España;19.48444;-101.50694
JCNEMINE;Necotlan @;Jurisdiccion;1545;1599;Nueva España;90;0
JCNEMIOZ;Taimeo @ Minas de Ozumatlan;Jurisdiccion;1558;1598;Nueva España;19.71008;-100.8557
JCNEMIOZ;Taimeo @ Minas de Ozumatlan;Provincia_menor;1593;1598;Nueva España;19.71008;-100.8557
JCNEMITU;Tuzantla @;Jurisdiccion;1546;1584;Nueva España;19.20583;-100.57472
JCNEMIZZ;Tzintzuntzan @;Jurisdiccion;1595;1599;Nueva España;19.51421;-101.60964
JCNEMXAS;Asuchitlan @ Ajuchitlan @ Axuchitlan;Jurisdiccion;1533;1599;Nueva España;18.15417;-100.5
JCNEMXAT;Atlatlauca del Valle @ Atlatlauca y Suchiaca @ Atlatlahuca;Jurisdiccion;1537;1669;Nueva España;19.06861;-99.61111
JCNEMXAT;Atlatlauca del Valle @ Atlatlauca y Suchiaca @ Atlatlahuca;Provincia_menor;1600;1669;Nueva España;19.06861;-99.61111
JCNEMXAX;Axacuba @;Jurisdiccion;1531;1542;Nueva España;20.08861;-99.11611
JCNEMXOC;Ocuituco @;Jurisdiccion;1544;1599;Nueva España;18.87278;-98.77333
JCNEMXTC;Tlacozautitlan @ Tlalcozautitlan;Jurisdiccion;1561;1599;Nueva España;90;0
JCNEMXTL;Tlanalapa @ Tlanalapa;Jurisdiccion;1545;1550;Nueva España;19.81806;-98.60417
JCNEMXTQ;Tlahuililpa @ Tlaquilpa @ Tlauililpa @ Tlaguililpa @ Tlagualilpa;Jurisdiccion;1531;1600;Nueva España;20.13167;-99.23194
JCNEMXTZ;Tepotzotlan @ Tepozotlan;Jurisdiccion;1546;1565;Nueva España;19.71611;-99.22361
JCNEMXYE;Yetecomac @  Tecomatlan @ Ilitecomatl y Tornacuxtla @ Yeltecomatl @ Yeytecomatl y minas de Tornacustla @ Tecomac, Tornacuxtla y su partido;Jurisdiccion;1591;1599;Nueva España;20.15222;-98.87028
JCNEMXZA;Zayula @ Zayula y Tlauililpa @ Sayula;Jurisdiccion;1551;1599;Nueva España;20.19806;-99.39667
JCNEMXZI;Zinguiluca @ Singuiluca @ Cinguiluca;Jurisdiccion;1544;1574;Nueva España;19.96778;-98.51694
JCNEOAAM;Amoltepec @;Jurisdiccion;1545;1578;Nueva España;90;0
JCNEOAAY;Ayautla y Tepeapa @ Ayautla y Tepeaca;Jurisdiccion;1534;1599;Nueva España;18.03056;-96.66944
JCNEOACC;Chichicapa @ Santa Catalina de Chichicapa @ Chichicapa y Tetiquipa;Jurisdiccion;1534;1686;Nueva España;16.76111;-96.49028
JCNEOACC;Chichicapa @ Santa Catalina de Chichicapa @ Chichicapa y Tetiquipa;Provincia_menor;1599;1686;Nueva España;16.76111;-96.49028
JCNEOACN;Cuahuitlan @ Coahuitlan @ Icpatepec @ Hicpaltepeque @ Coahuitlan y Tututepec;Jurisdiccion;1534;1581;Nueva España;90;0
JCNEOACT;Cuicatlan @ Cuicatlan y Tecomavaca;Jurisdiccion;1548;1695;Nueva España;17.79861;-96.95972
JCNEOACT;Cuicatlan @ Cuicatlan y Tecomavaca;Provincia_menor;1600;1695;Nueva España;17.79861;-96.95972
JCNEOACZ;Cozautepec @ Cozautepec y Amatlan;Jurisdiccion;1535;1558;Nueva España;15.80972;-96.72333
JCNEOAOZ;Ozelotepec @ Ozelotepeque;Jurisdiccion;1549;1558;Nueva España;16.13111;-96.25833
JCNEOAPP;Papaloticpac @ Papaloticpac y Tepeuzila @ Papalo;Jurisdiccion;1541;1695;Nueva España;17.7825;-96.79722
JCNEOAPP;Papaloticpac @ Papaloticpac y Tepeuzila @ Papalo;Partido;1541;1808;Nueva España;17.7825;-96.79722
JCNEOAPP;Papaloticpac @ Papaloticpac y Tepeuzila @ Papalo;Provincia_menor;1600;1695;Nueva España;17.7825;-96.79722
JCNEOATC;Teotitlan del Camino @ Teutitlan del Camino @ Teutitlan de los Cues;Jurisdiccion;1531;1695;Nueva España;18.1325;-97.07222
JCNEVCPA;Tlapacoya @ Papalote de la Sierra @ Tapacoya, Padilla, Nautla, Colipa y Papalo @ Tizapancingo, Atlaliloya y Cicaquautla;Jurisdiccion;1534;1550;Nueva España;90;0
JCNEVCTC;Tonatico y Cetusco @ Tonatico y Setusco @;Jurisdiccion;1544;1599;Nueva España;90;0
JCNEVCTE;Tezayuca @ Tlaliscoya @ Tlalixcoya;Jurisdiccion;1534;1550;Nueva España;90;0
JCNEVCTL;Tlacotalpa @;Jurisdiccion;1541;1610;Nueva España;90;0
JCNEVCTL;Tlacotalpa @;Provincia_menor;1570;1610;Nueva España;90;0
JCNEVCTU;Tuxtla @;Jurisdiccion;1595;1638;Nueva España;18.46167;-95.29944
JCNEVCZE;Zempoala @;Jurisdiccion;1531;1599;Nueva España;90;0
JCNEVCZO;Zongolica @;Jurisdiccion;1531;1599;Nueva España;90;0
JCNEZTAR;Arimao y Borona @;Jurisdiccion;1531;1559;Nueva España;19.11604;-102.56281
JCPAXILI;Xilitla @ Xalitla;Jurisdiccion;1536;1590;Nueva España;90;0
JMNEMXTT;Teloloapa @ Teloloapa y Totoltepec @ Tululuava @ Teloloava;Jurisdiccion;1531;1578;Nueva España;18.36694;-99.87306
JMNGCHBA;Baudo @;Partido;1701;1808;Nuevo Reino de Granada;5.0515;-77.0442
JMNGCHBB;Bebara y Bete @ Biruquete @ Bete, Bebara y Cupica;Partido;1701;1808;Nuevo Reino de Granada;6.0915;-76.5712
JMNGCHBR;Los Brazos @;Partido;1701;1793;Nuevo Reino de Granada;4.96158;-76.49682
JMNGCHCH;Tatama @ Chami;Jurisdiccion;1701;1728;Nuevo Reino de Granada;5.34243;-76.0953
JMNGCHCH;Tatama @ Chami;Partido;1701;1808;Nuevo Reino de Granada;5.34243;-76.0953
JMNGCHGU;Pabarando @ Guirior @ Pebarando @ Pavarando @ San Manuel de Villanueva de Guirior de Pavarando;Partido;1777;1793;Nuevo Reino de Granada;7.2761;-76.5622
JMNGCHLL;Lloro @;Partido;1701;1808;Nuevo Reino de Granada;5.49994;-76.54253
JMNGCHMU;Murri @ Murry;Partido;1753;1808;Nuevo Reino de Granada;6.58641;-76.89693
JMNGCHNN;Noanama @;Partido;1701;1808;Nuevo Reino de Granada;4.69004;-76.93564
JMNGCHNO;Novita @;Partido;1709;1808;Nuevo Reino de Granada;4.95468;-76.60592
JMNGCHQU;Quibdo @;Partido;1701;1808;Nuevo Reino de Granada;5.6869;-76.65836
JMNGCHSI;Sipi @ Zipi;Partido;1701;1808;Nuevo Reino de Granada;4.6532;-76.6441
JMNGCHSO;San Onofre @ San Onofre de las Juntas @ Las Juntas;Partido;1701;1808;Nuevo Reino de Granada;4.98458;-76.40413
JMNGCHTA;Tado @;Partido;1701;1808;Nuevo Reino de Granada;5.2678;-76.5665
JUCCCBAR;Arque @;Jurisdiccion;1784;1808;Charcas;-17.82121;-66.40426
JUCCCBAR;Arque @;Partido;1784;1808;Charcas;-17.82121;-66.40426
JUCCCBAY;Ayopaya @ Palca @ Hayopaya;Jurisdiccion;1784;1808;Charcas;-17.08415;-66.8194
JUCCCBAY;Ayopaya @ Palca @ Hayopaya;Partido;1784;1808;Charcas;-17.08415;-66.8194
JUCCCBCB;Cochabamba @ Villa de Oropesa del Valle de Cochabamba;Jurisdiccion;1701;1808;Charcas;-17.39354;-66.15701
JUCCCBCB;Cochabamba @ Villa de Oropesa del Valle de Cochabamba;Partido;1701;1808;Charcas;-17.39354;-66.15701
JUCCCBCB;Cochabamba @ Villa de Oropesa del Valle de Cochabamba;Provincia_menor;1583;1783;Charcas;-17.39354;-66.15701
JUCCCBCH;Chiquitos @;Jurisdiccion;1701;1808;Charcas;-16.58388;-60.6883
JUCCCBCH;Chiquitos @;Partido;1701;1808;Charcas;-16.58388;-60.6883
JUCCCBCH;Chiquitos @;Provincia;1777;1808;Charcas;-16.58388;-60.6883
JUCCCBCH;Chiquitos @;Provincia_menor;1772;1808;Charcas;-16.58388;-60.6883
JUCCCBCL;Clisa @ Tarata;Jurisdiccion;1784;1808;Charcas;-17.61152;-66.02339
JUCCCBCL;Clisa @ Tarata;Partido;1784;1808;Charcas;-17.61152;-66.02339
JUCCCBMI;Mizque @ Mizque y Pocona;Jurisdiccion;1714;1808;Charcas;-17.94273;-65.34171
JUCCCBMI;Mizque @ Mizque y Pocona;Partido;1701;1808;Charcas;-17.94273;-65.34171
JUCCCBMI;Mizque @ Mizque y Pocona;Provincia_menor;1714;1783;Charcas;-17.94273;-65.34171
JUCCCBMO;Moxos @;Jurisdiccion;1701;1808;Charcas;-14.33771;-64.90305
JUCCCBMO;Moxos @;Provincia;1777;1808;Charcas;-14.33771;-64.90305
JUCCCBMO;Moxos @;Provincia_menor;1772;1808;Charcas;-14.33771;-64.90305
JUCCCBSA;Sacaba @;Jurisdiccion;1784;1808;Charcas;-17.40389;-66.04037
JUCCCBSA;Sacaba @;Partido;1784;1808;Charcas;-17.40389;-66.04037
JUCCCBSC;Santa Cruz de la Sierra @;Jurisdiccion;1701;1808;Charcas;-17.78369;-63.1821
JUCCCBSC;Santa Cruz de la Sierra @;Partido;1701;1808;Charcas;-17.78369;-63.1821
JUCCCBTA;Tapacari @ Quillacollo;Jurisdiccion;1784;1808;Charcas;-17.51633;-66.62041
JUCCCBTA;Tapacari @ Quillacollo;Partido;1784;1808;Charcas;-17.51633;-66.62041
JUCCCBVG;Valle Grande @ Vallegrande @ Valle-grande;Jurisdiccion;1701;1808;Charcas;-18.48515;-64.10837
JUCCCCCA;Carangas @;Jurisdiccion;1701;1808;Charcas;-17.84333;-68.40861
JUCCCCCA;Carangas @;Partido;1701;1808;Charcas;-17.84333;-68.40861
JUCCCCCA;Carangas @;Provincia_menor;1583;1783;Charcas;-17.84333;-68.40861
JUCCCCCC;Chuquisaca @;Jurisdiccion;1773;1808;Charcas;-19.04786;-65.2596
JUCCCCCC;Chuquisaca @;Partido;1773;1808;Charcas;-19.04786;-65.2596
JUCCCCCC;Chuquisaca @;Provincia_menor;1773;1783;Charcas;-19.04786;-65.2596
JUCCCCOR;Oruro @;Jurisdiccion;1701;1808;Charcas;-17.96947;-67.11436
JUCCCCOR;Oruro @;Partido;1701;1808;Charcas;-17.96947;-67.11436
JUCCCCOR;Oruro @;Provincia_menor;1612;1783;Charcas;-17.96947;-67.11436
JUCCCCPA;Paria @;Jurisdiccion;1701;1808;Charcas;-19.63778;-67.67528
JUCCCCPA;Paria @;Partido;1701;1808;Charcas;-19.63778;-67.67528
JUCCCCPA;Paria @;Provincia_menor;1583;1783;Charcas;-19.63778;-67.67528
JUCCCCPB;Pomabamba @;Jurisdiccion;1754;1771;Charcas;-20.105;-64.41444
JUCCCCPB;Pomabamba @;Partido;1754;1771;Charcas;-20.105;-64.41444
JUCCCCPB;Pomabamba @;Provincia_menor;1754;1771;Charcas;-20.105;-64.41444
JUCCCCPP;Pilaya y Paspaya @ Cinti @ Sinti;Jurisdiccion;1701;1808;Charcas;-20.63761;-65.20861
JUCCCCPP;Pilaya y Paspaya @ Cinti @ Sinti;Partido;1701;1808;Charcas;-20.63761;-65.20861
JUCCCCPP;Pilaya y Paspaya @ Cinti @ Sinti;Provincia_menor;1685;1783;Charcas;-20.63761;-65.20861
JUCCCCTO;Tomina @;Jurisdiccion;1701;1808;Charcas;-19.18528;-64.46139
JUCCCCTO;Tomina @;Partido;1701;1808;Charcas;-19.18528;-64.46139
JUCCCCTO;Tomina @;Provincia_menor;1583;1783;Charcas;-19.18528;-64.46139
JUCCCCYA;Yamparaez @ Amparaes @ Yamparaes @ Yamparaez y Villaverde;Jurisdiccion;1701;1808;Charcas;-19.18946;-65.12143
JUCCCCYA;Yamparaez @ Amparaes @ Yamparaes @ Yamparaez y Villaverde;Partido;1701;1808;Charcas;-19.18946;-65.12143
JUCCCCYA;Yamparaez @ Amparaes @ Yamparaes @ Yamparaez y Villaverde;Provincia_menor;1583;1772;Charcas;-19.18946;-65.12143
JUCCLPAP;Apolobamba @ Caupolican @ Apolo;Jurisdiccion;1701;1808;Charcas;-14.71573;-68.41766
JUCCLPAP;Apolobamba @ Caupolican @ Apolo;Partido;1701;1808;Charcas;-14.71573;-68.41766
JUCCLPAP;Apolobamba @ Caupolican @ Apolo;Provincia_menor;1680;1783;Charcas;-14.71573;-68.41766
JUCCLPCH;Chulumani @ Yungas;Jurisdiccion;1780;1808;Charcas;-16.40988;-67.52546
JUCCLPCH;Chulumani @ Yungas;Partido;1780;1808;Charcas;-16.40988;-67.52546
JUCCLPCH;Chulumani @ Yungas;Provincia_menor;1780;1783;Charcas;-16.40988;-67.52546
JUCCLPLA;Larecaja @ Larecaja y Yungas;Jurisdiccion;1701;1808;Charcas;-15.77293;-68.65075
JUCCLPLA;Larecaja @ Larecaja y Yungas;Partido;1701;1808;Charcas;-15.77293;-68.65075
JUCCLPLA;Larecaja @ Larecaja y Yungas;Provincia_menor;1583;1783;Charcas;-15.77293;-68.65075
JUCCLPLP;La Paz @;Jurisdiccion;1701;1808;Charcas;-16.49626;-68.13411
JUCCLPLP;La Paz @;Partido;1701;1808;Charcas;-16.49626;-68.13411
JUCCLPLP;La Paz @;Provincia_menor;1583;1783;Charcas;-16.49626;-68.13411
JUCCLPOM;Omasuyos @ Llacxa @ Llacja;Jurisdiccion;1701;1808;Charcas;-16.04483;-68.68566
JUCCLPOM;Omasuyos @ Llacxa @ Llacja;Partido;1701;1808;Charcas;-16.04483;-68.68566
JUCCLPOM;Omasuyos @ Llacxa @ Llacja;Provincia_menor;1583;1783;Charcas;-16.04483;-68.68566
JUCCLPPA;Pacajes @ Berenguela;Jurisdiccion;1701;1808;Charcas;-17.02343;-68.60599
JUCCLPPA;Pacajes @ Berenguela;Partido;1701;1808;Charcas;-17.02343;-68.60599
