ID;gz_id;label;nombre;nombrehoy;variantes;santo;fuente_ID;start;start_ex;end_;end_ex;check;template;check1;template1;wikitext1;wikitext2;wikitext
1303;1001390;Tizayuca;Transfiguracion Tizayuca;;;Transfiguracion;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001390]]@Nombre: Transfiguracion Tizayuca@Santo: Transfiguracion@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001390@----;;;;;
1304;1001391;Tolcayuca;San Juan Bautista Tolcayuca;;;San Juan Bautista;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001391]]@Nombre: San Juan Bautista Tolcayuca@Santo: San Juan Bautista@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001391@----;;;;;
1305;1001392;Ahuacatlan;San Pedro Ahuacatlan;;;San Pedro;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001392]]@Nombre: San Pedro Ahuacatlan@Santo: San Pedro@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001392@----;;;;;
1306;1001393;Amealco;Concepcion Amealco;;;Concepcion;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001393]]@Nombre: Concepcion Amealco@Santo: Concepcion@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001393@----;;;;;
1307;1001394;Bernal;San Antonio Bernal;;;San Antonio;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001394]]@Nombre: San Antonio Bernal@Santo: San Antonio@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001394@----;;;;;
1308;1001395;Cañada;San Pedro Cañada;;;San Pedro;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001395]]@Nombre: San Pedro Cañada@Santo: San Pedro@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001395@----;;;;;
1309;1001396;Dehedo;San Juan Dehedo;;;San Juan;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001396]]@Nombre: San Juan Dehedo@Santo: San Juan@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001396@----;;;;;
1310;1001397;Deheti;San Miguel Deheti;;;San Miguel;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001397]]@Nombre: San Miguel Deheti@Santo: San Miguel@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001397@----;;;;;
1311;1001398;Pueblito;San Francisco Galileo;;Galileo @;San Francisco;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001398]]@Nombre: San Francisco Galileo@Santo: San Francisco@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001398@----;;;;;
1312;1001399;Huimilpan;San Miguel Huimilpan;;;San Miguel;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001399]]@Nombre: San Miguel Huimilpan@Santo: San Miguel@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001399@----;;;;;
1313;1001400;San Bartolome del Pino;San Bartolome del Pino;;;San Bartolome;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001400]]@Nombre: San Bartolome del Pino@Santo: San Bartolome@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001400@----;;;;;
1314;1001401;San Juan del Rio;San Juan del Rio;;;San Juan;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001401]]@Nombre: San Juan del Rio@Santo: San Juan@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001401@----;;;;;
1315;1001402;San Pablo;San Pablo;;;San Pablo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001402]]@Nombre: San Pablo@Santo: San Pablo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001402@----;;;;;
