Entidad;Nombre;Variantes;tipo;Provincia_generica;Reg;WikiID;Redirect;Entidad_alternate;START;END_;Numero_corriente;GCath;CathHierarchy;viaf;Region;Nivel_default;Comentario;Lat_Capital;Lon_Capital
PRVEMC00;Maracaibo;Maracaibo @ Merida, La Grita y Maracaibo;Provincia;Provincia;VEN;maracaibo_provincia_ven;~~REDIRECT>maracaibo_provincia_ven~~;VEMC00PR;1573;1808;1157;;;;Caracas;Provincia;;8.59752;-71.14486
PRVETR00;Trinidad;Trinidad @ Trinidad y Guayana;Provincia;Provincia;VEN;trinidad_provincia_ven;~~REDIRECT>trinidad_provincia_ven~~;VETR00PR;1529;1796;1158;;;;Caracas;Provincia;;10.65448;-61.41312
PTCCLPMA;Mapiri;Mapiri @ Misiones del Gran Paititi;Partido;La Paz;CHA;mapiri_partido_cha;~~REDIRECT>mapiri_partido_cha~~;CCLPMAPT;1111;9999;1380;;;;Charcas;Partido;;90;0
PTCCPOAA;Atacama alta;Atacama alta @;Partido;Potosi;CHA;atacama_alta_partido_cha;~~REDIRECT>atacama_alta_partido_cha~~;CCPOAAPT;1701;1808;1159;;;;Charcas;Partido;;-22.91069;-68.20009
PTCCPOAB;Atacama baja;Atacama baja @;Partido;Potosi;CHA;atacama_baja_partido_cha;~~REDIRECT>atacama_baja_partido_cha~~;CCPOABPT;1701;1808;1160;;;;Charcas;Partido;;-22.34286;-68.65007
PTCHCHCA;Castro;Castro @;Partido;Chiloe;CHL;castro_partido_chl;~~REDIRECT>castro_partido_chl~~;CHCHCAPT;1701;1808;1161;;;;Chile;Partido;;-42.48214;-73.7654
PTCHCHCB;Calbuco;Calbuco @;Partido;Chiloe;CHL;calbuco_partido_chl;~~REDIRECT>calbuco_partido_chl~~;CHCHCBPT;1770;1808;1162;;;;Chile;Partido;;-41.77121;-73.12754
PTCHCHCH;Chacao;Chacao @;Partido;Chiloe;CHL;chacao_partido_chl;~~REDIRECT>chacao_partido_chl~~;CHCHCHPT;1701;1808;1163;;;;Chile;Partido;;-41.86435;-73.82074
PTCHCHCM;Carelmapu;Carelmapu @;Partido;Chiloe;CHL;carelmapu_partido_chl;~~REDIRECT>carelmapu_partido_chl~~;CHCHCMPT;1111;1808;1164;;;;Chile;Partido;;-41.7458;-73.7064
PTCHCOPE;Perquilauquen;Perquilauquen @;Partido;Concepcion;CHL;perquilauquen_partido_chl;~~REDIRECT>perquilauquen_partido_chl~~;CHCOPEPT;1701;1795;1165;;;;Chile;Partido;;-36.26663;-71.78419
PTGDCOMO;Monclova;Monclova @;Partido;Coahuila;GDJ;monclova_partido_gdj;~~REDIRECT>monclova_partido_gdj~~;GDCOMOPT;1111;1808;1166;;;;Nueva Galicia y Septentrion;Partido;;26.9058;-101.4243
PTGDCORG;Riogrande;Riogrande @ Rio Grande;Partido;Coahuila;GDJ;riogrande_partido_gdj;~~REDIRECT>riogrande_partido_gdj~~;GDCORGPT;1703;1808;1167;;;;Nueva Galicia y Septentrion;Partido;;28.3044;-100.3801
PTGDCOSS;San Saba;San Saba @ San Luis de las Amarillas;Partido;Coahuila;GDJ;san_saba_partido_gdj;~~REDIRECT>san_saba_partido_gdj~~;GDCOSSPT;1757;1771;44;;;;Nueva Galicia y Septentrion;Partido;;30.9225;-99.80167
PTGDDUAT;Alta Tarahumara;Alta Tarahumara @;Misiones;Durango;GDJ;alta_tarahumara_misiones_gdj;~~REDIRECT>alta_tarahumara_misiones_gdj~~;GDDUATPT;1111;1808;1168;;;;Nueva Galicia y Septentrion;indefinido;;90;0
PTGDDUCA;San Carlos;San Carlos @ Presidio San Carlos;Partido;Durango;GDJ;san_carlos_partido_gdj;~~REDIRECT>san_carlos_partido_gdj~~;GDDUCAPT;1774;1808;1169;;;;Nueva Galicia y Septentrion;Partido;;30.41869;-104.86107
PTGDDUCN;Chinipas y Nabogame;Chinipas y Nabogame @ Nabogame y Baborigame @ San Joaquin y San Juan Nepomuceno @ Tarahumara de Sinaloa;Partido;Durango;GDJ;chinipas_y_nabogame_partido_gdj;~~REDIRECT>chinipas_y_nabogame_partido_gdj~~;GDDUCNPT;1701;1808;1170;;;;Nueva Galicia y Septentrion;Partido;;90;0
PTGDDUEL;San Elizario;San Elizario @ Presidio San Elizario;Partido;Durango;GDJ;san_elizario_partido_gdj;~~REDIRECT>san_elizario_partido_gdj~~;GDDUELPT;1774;1808;1171;;;;Nueva Galicia y Septentrion;Partido;;31.5848;-106.2718
PTGDDUJA;Janos;Janos @;Partido;Durango;GDJ;janos_partido_gdj;~~REDIRECT>janos_partido_gdj~~;GDDUJAPT;1701;1808;1172;;;;Nueva Galicia y Septentrion;Partido;;30.8891;-108.18886
PTGDDUNA;Namiquipa;Namiquipa @;Partido;Durango;GDJ;namiquipa_partido_gdj;~~REDIRECT>namiquipa_partido_gdj~~;GDDUNAPT;1778;1808;1173;;;;Nueva Galicia y Septentrion;Partido;;29.24992;-107.41523
