gz_id;Entidad_ID;Nivel;tipo;Label;lat;lon;start;START_ex;end_;END_ex;C_START;C_Start_ex;C_END_;C_END_ex;gz_start;gz_end;tipolink;Cabecera;fuente_ID;template
1000000;FRGDTXCO;Fronteras;Fronteras;Comancheria;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRGUCYTA;Fronteras;Fronteras;Taguzalpa;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRGUCYXI;Fronteras;Fronteras;Xicayes;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRGUMOCH;Fronteras;Fronteras;Choles;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRGUMOLA;Fronteras;Fronteras;Lacandones;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRGUNITO;Fronteras;Fronteras;Tologalpa;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRMOCMXX;Fronteras;Fronteras;Costa mosquita;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRMOMOXX;Fronteras;Reino indigena;Reino mosquito;90.0000000001;9.99875737762e-11;1701;hgis;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1701-9999)
1000000;FRMORFXX;Fronteras;Fronteras;Suerre;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRMOTABT;Fronteras;Fronteras;Bocas del Toro;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRMOTAXX;Fronteras;Fronteras;Talamanca;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRMOXXXX;Fronteras;Fronteras;Golfo;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRNGCHCH;Fronteras;Fronteras;Chocoes;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRNGCUXX;Fronteras;Fronteras;Darienes;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRNGEDLL;Fronteras;Fronteras;Llanos;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRNGMOXX;Fronteras;Fronteras;Motilones;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRNGSMAR;Fronteras;Fronteras;Araguacos;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRNGSMCH;Fronteras;Fronteras;Chimilas;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRNGSMGU;Fronteras;Fronteras;Guajiros;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRPAMAGU;Fronteras;Fronteras;Guayra;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRPAMAIT;Fronteras;Fronteras;Itatines y Jerez;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRPAMAXX;Fronteras;Fronteras;Mamelucos;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRPAPJXX;Fronteras;Fronteras;Gran Pajonal;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRPAPSXX;Fronteras;Fronteras;Pampa del Sacramento;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRPAXXXX;Fronteras;Fronteras;Paititi;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRQUJIXX;Fronteras;Fronteras;Jivaros;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRQUMCHU;Fronteras;Fronteras;Huamboyas;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRQUPOCO;Fronteras;Fronteras;Cofanes;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRQUPOXX;Fronteras;Fronteras;Popayan;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRQVBMXX;Fronteras;Fronteras;Bolson de Mapimi;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRQVLIXX;Fronteras;Fronteras;Apacheria Lipanes;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRQVLLXX;Fronteras;Fronteras;Comancheria;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRQVNMNT;Fronteras;Fronteras;Natage;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRQVSMXX;Fronteras;Fronteras;Seno mexicano;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRQVXXXX;Fronteras;Fronteras;Quivira;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRRPCHBO;Fronteras;Fronteras;Chaco Septentrional;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRRPCHGU;Fronteras;Fronteras;Chaco Gualamba;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRRPCHLL;Fronteras;Fronteras;Llanos de Manso;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRRPCHXX;Fronteras;Fronteras;Gran Chaco;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRRPMICH;Fronteras;Fronteras;Charruas;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRRPYEVA;Fronteras;Fronteras;Yerbales y Vaquerias;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRSDPRVI;Partido;Fronteras;isla de Vieque;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRVEGUCA;Fronteras;Fronteras;Caribana;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRVEGULP;Fronteras;Fronteras;Laguna del Parime;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRVEGUPA;Fronteras;Fronteras;Paria;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
