citlist;Cita_completa;ftid;FuenteID;tipo;Nombre;Apellido;Autores_adicionales;Titulo;en_;Vols;Lugar;Año;Año original;Signatura;Archivo;URL;Nota;flag;tiempo;template;wikiincluded
Archivalia;'Extracto sobre hostilidades del 24 de abril de 1793', en: Archivo General de Indias,Guadalajara,289;1455;agi_guadalajara_289;Archivalia;;;;Extracto sobre hostilidades del 24 de abril de 1793;;;;;;Guadalajara,289;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_guadalajara_289@Nombre : @Apellido : @Autores adicionales : @Titulo : Extracto sobre hostilidades del 24 de abril de 1793@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Guadalajara,289@URL : @Cita completa : 'Extracto sobre hostilidades del 24 de abril de 1793', en: Archivo General de Indias,Guadalajara,289@----;yes
Archivalia;'Padrón de haciendas cacaoteras', en: Archivo General de Indias,Guatemala,583, fs. 17-26;1443;agi_guatemala_593;Archivalia;;;;Padrón de haciendas cacaoteras,;;;;;;Guatemala,583, fs. 17-26;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_guatemala_593@Nombre : @Apellido : @Autores adicionales : @Titulo : Padrón de haciendas cacaoteras,@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Guatemala,583, fs. 17-26@URL : @Cita completa : 'Padrón de haciendas cacaoteras', en: Archivo General de Indias,Guatemala,583, fs. 17-26@----;yes
Archivalia;'Títulos de alcaldes mayores', en: Archivo General de Indias,Guatemala,442-443;1458;agi_guatemala_am;Archivalia;;;;Títulos de alcaldes mayores;;;;;;Guatemala,442-443;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_guatemala_am@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de alcaldes mayores@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Guatemala,442-443@URL : @Cita completa : 'Títulos de alcaldes mayores', en: Archivo General de Indias,Guatemala,442-443@----;yes
Archivalia;'Títulos de Corregidores', en: Archivo General de Indias,Guatemala,441;1483;agi_guatemala_corregidores;Archivalia;;;;Títulos de Corregidores;;;;;;Guatemala,441;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_guatemala_corregidores@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de Corregidores@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Guatemala,441@URL : @Cita completa : 'Títulos de Corregidores', en: Archivo General de Indias,Guatemala,441@----;yes
Archivalia;'Títulos de gobernadores etc.', en: Archivo General de Indias,Guatemala,440;1486;agi_guatemala_gobernadores;Archivalia;;;;Títulos de gobernadores etc.;;;;;;Guatemala,440;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_guatemala_gobernadores@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de gobernadores etc.@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Guatemala,440@URL : @Cita completa : 'Títulos de gobernadores etc.', en: Archivo General de Indias,Guatemala,440@----;yes
Archivalia;'Noticia sobre los papeles [...]', en: Archivo General de Indias,Indiferente,98;1456;agi_indiferente_98;Archivalia;;;;Noticia sobre los papeles [...];;;;;;Indiferente,98;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_indiferente_98@Nombre : @Apellido : @Autores adicionales : @Titulo : Noticia sobre los papeles [...]@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Indiferente,98@URL : @Cita completa : 'Noticia sobre los papeles [...]', en: Archivo General de Indias,Indiferente,98@----;yes
Archivalia;'Títulos de Corregidores', en: Archivo General de Indias,Lima,634-636;1484;agi_lima_corregidores;Archivalia;;;;Títulos de Corregidores;;;;;;Lima,634-636;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_lima_corregidores@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de Corregidores@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Lima,634-636@URL : @Cita completa : 'Títulos de Corregidores', en: Archivo General de Indias,Lima,634-636@----;yes
Archivalia;'Títulos de corregidores', en: Archivo General de Indias,Mexico,1228;1460;agi_mexico_1228;Archivalia;;;;Títulos de corregidores;;;;;;Mexico,1228;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_mexico_1228@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de corregidores@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Mexico,1228@URL : @Cita completa : 'Títulos de corregidores', en: Archivo General de Indias,Mexico,1228@----;yes
Archivalia;'Representaciones [...] de las misiones de la Taraumara', en: Archivo General de Indias,Mexico,2736;1461;agi_mexico_2736;Archivalia;;;;Representaciones [...] de las misiones de la Taraumara;;;;;;Mexico,2736;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_mexico_2736@Nombre : @Apellido : @Autores adicionales : @Titulo : Representaciones [...] de las misiones de la Taraumara@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Mexico,2736@URL : @Cita completa : 'Representaciones [...] de las misiones de la Taraumara', en: Archivo General de Indias,Mexico,2736@----;yes
Archivalia;'Títulos de alcaldes mayores', en: Archivo General de Indias,Mexico,1219-1227;1457;agi_mexico_am;Archivalia;;;;Títulos de alcaldes mayores;;;;;;Mexico,1219-1227;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_mexico_am@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de alcaldes mayores@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Mexico,1219-1227@URL : @Cita completa : 'Títulos de alcaldes mayores', en: Archivo General de Indias,Mexico,1219-1227@----;yes
Archivalia;'Títulos de gobernadores etc.', en: Archivo General de Indias,Mexico,1216-1217;1489;agi_mexico_gobernadores;Archivalia;;;;Títulos de gobernadores etc.;;;;;;Mexico,1216-1217;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_mexico_gobernadores@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de gobernadores etc.@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Mexico,1216-1217@URL : @Cita completa : 'Títulos de gobernadores etc.', en: Archivo General de Indias,Mexico,1216-1217@----;yes
Archivalia;'Copias Reales provisiones de nombramientos varios', en: Archivo General de Indias,Quito,229-230;1491;agi_quito_titulos;Archivalia;;;;Copias Reales provisiones de nombramientos varios;;;;;;Quito,229-230;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_quito_titulos@Nombre : @Apellido : @Autores adicionales : @Titulo : Copias Reales provisiones de nombramientos varios@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Quito,229-230@URL : @Cita completa : 'Copias Reales provisiones de nombramientos varios', en: Archivo General de Indias,Quito,229-230@----;yes
Archivalia;'Títulos de gobernadores', en: Archivo General de Indias,Santa Fe,564;1444;agi_santa_fe_564;Archivalia;;;;Títulos de gobernadores;;;;;;Santa Fe,564;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_santa_fe_564@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de gobernadores@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Santa Fe,564@URL : @Cita completa : 'Títulos de gobernadores', en: Archivo General de Indias,Santa Fe,564@----;yes
Archivalia;'Títulos de alcaldes mayores', en: Archivo General de Indias,Santa_Fe,566;1459;agi_santa_fe_am;Archivalia;;;;Títulos de alcaldes mayores;;;;;;Santa_Fe,566;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_santa_fe_am@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de alcaldes mayores@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Santa_Fe,566@URL : @Cita completa : 'Títulos de alcaldes mayores', en: Archivo General de Indias,Santa_Fe,566@----;yes
