START;END_;Tipo;Label;Nombre;Variantes;Entidad_ID;Nivel
1111;1808;Fronteras;Paititi;Paititi;Paititi @ Playa de los Ahorcados @ Montaña Real del Peru;FRPAXXXX;Fronteras
1111;1808;Fronteras;Paititi;Paititi;Paititi @ Playa de los Ahorcados @ Montaña Real del Peru;FRPAXXXX;Partido
1111;1808;Fronteras;Pampa del Sacramento;Paititi;Pampa del Sacramento @;FRPAPSXX;Partido
1111;1808;Fronteras;Papageria;Cibola;Papageria @;FRANSSPA;Partido
1111;1808;Fronteras;Quivira;Quivira;Quivira @;FRQVXXXX;Fronteras
1111;1808;Fronteras;Quivira;Quivira;Quivira @;FRQVXXXX;Partido
1111;1808;Fronteras;Taguzalpa;Golfo;Taguzalpa @;FRGUCYTA;Partido
1111;1808;Fronteras;Tierra magallanica;Ciudad de los Cesares;Ciudad de los Cesares @ Patagonia @ Tierra Magellanica @ Tierra Magallanica;FRCEXXXX;Fronteras
1111;1808;Fronteras;Tierra magallanica;Ciudad de los Cesares;Ciudad de los Cesares @ Patagonia @ Tierra Magellanica @ Tierra Magallanica;FRCEXXXX;Partido
1111;1808;Fronteras;Tologalpa;Golfo;Tologalpa @;FRGUNITO;Partido
1111;1808;Fronteras;Xicayes;Golfo;Xicayes @;FRGUCYXI;Partido
1111;1808;Jurisdiccion;Campeche;Campeche;Campeche @;PTNEYUCA;Partido
1111;1808;Jurisdiccion;Comayagua;Comayagua;Comayagua @;PTGUCYCY;Partido
1111;1808;Jurisdiccion;Fresnillo;Fresnillo;Fresnillo @;PTGDZAFR;Partido
1111;1808;Jurisdiccion;Merida;Merida;Merida @;JUNEYUME;Jurisdiccion
1111;1808;Jurisdiccion;Merida;Merida;Merida @;JUNEYUME;Partido
1111;1808;Jurisdiccion;Monclova;Monclova;Monclova @;PTGDCOMO;Jurisdiccion
1111;1808;Jurisdiccion;Monclova;Monclova;Monclova @;PTGDCOMO;Partido
1111;1808;Jurisdiccion;San Miguel;San Miguel;San Miguel el Grande @;PTNEGJSM;Partido
1111;1808;Partido;Bocas;San Miguel de Bocas;San Miguel de Bocas @ San Miguel de Bocas y Rio Florido;PTGDDUSM;Partido
1111;1808;Partido;Chancenote;Chancenote;Chancenote @ El Cuyo;PTNEYUCC;Partido
1111;1808;Partido;Colotlan;Colotlan;Colotlan @ Fronteras de San Luis de Colotlan @ Fronteras de San Luis Obispo;PTNECLCL;Jurisdiccion
1111;1808;Partido;Colotlan;Colotlan;Colotlan @ Fronteras de San Luis de Colotlan @ Fronteras de San Luis Obispo;PTNECLCL;Partido
1111;1808;Partido;Cuautla;Cuautla;Cuautla @;PTNEMXCT;Partido
1111;1808;Partido;Guamal;Guamal;Guamal @;PTNGSMGU;Partido
1111;1808;Partido;Jiquilpan;Jiquilpan;Jiquilpan @ Xiquilpan @ Xiquilpa;PTNEMIJI;Partido
1111;1808;Partido;Nochixtlan;Nochixtlan;Nochixtlan @;PTNEOANO;Partido
1111;1808;Partido;Puebla;Puebla;Puebla @;PTNEPUPU;Partido
