fid;REG;Entidad;tipo;Label;Nombre;START;START_ex;END;END_ex;START_nb;START_na;END_nb;END_na;Agregado;Ent_identica;AbrA;AbrB;Wikilink_id;Wikilink_tipo;Entidad_alt;Wikilink;Wikilink2;Provincia_generica;Fuente;Nombre completo;Nombre_completo_wiki;Cabecera
577;CHA;JUCCCCCA;Subdelegacion;Carangas;Carangas;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;carangas_jurisdiccion_cha;conceptos:subdelegacion;CCCCCAJU;cha_charcas_carangas;CHA;Charcas;;Subdelegacion de Carangas;[[:conceptos:subdelegacion|Subdelegacion]] de Carangas;False
582;CHA;JUCCCCPA;Corregimiento;Paria;Paria;1583;not_after;1783;exact;;;;;False;;C;C;paria_jurisdiccion_cha;conceptos:corregimiento;CCCCPAJU;cha_charcas_paria;CHA;Charcas;;Corregimiento de Paria;[[:conceptos:corregimiento|Corregimiento]] de Paria;False
583;CHA;JUCCCCPA;Subdelegacion;Paria;Paria;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;paria_jurisdiccion_cha;conceptos:subdelegacion;CCCCPAJU;cha_charcas_paria;CHA;Charcas;;Subdelegacion de Paria;[[:conceptos:subdelegacion|Subdelegacion]] de Paria;False
584;CHA;JUCCCCPB;Corregimiento;Pomabamba;Pomabamba;1754;not_after;1771;exact;;1754;;;False;;C;C;pomabamba_jurisdiccion_cha;conceptos:corregimiento;CCCCPBJU;cha_charcas_pomabamba;CHA;Charcas;;Corregimiento de Pomabamba;[[:conceptos:corregimiento|Corregimiento]] de Pomabamba;False
585;CHA;JUCCCCPP;Corregimiento;Pilaya y Paspaya;Pilaya y Paspaya;1685;not_after;1783;exact;;1685;;;False;;C;C;pilaya y paspaya_jurisdiccion_cha;conceptos:corregimiento;CCCCPPJU;cha_charcas_pilaya y paspaya;CHA;Charcas;;Corregimiento de Pilaya y Paspaya;[[:conceptos:corregimiento|Corregimiento]] de Pilaya y Paspaya;False
586;CHA;JUCCCCPP;Subdelegacion;Pilaya y Paspaya;Pilaya y Paspaya;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;pilaya y paspaya_jurisdiccion_cha;conceptos:subdelegacion;CCCCPPJU;cha_charcas_pilaya y paspaya;CHA;Charcas;;Subdelegacion de Pilaya y Paspaya;[[:conceptos:subdelegacion|Subdelegacion]] de Pilaya y Paspaya;False
587;CHA;JUCCCCTO;Corregimiento;Tomina;Tomina;1583;not_after;1783;exact;;;;;False;;C;C;tomina_jurisdiccion_cha;conceptos:corregimiento;CCCCTOJU;cha_charcas_tomina;CHA;Charcas;;Corregimiento de Tomina;[[:conceptos:corregimiento|Corregimiento]] de Tomina;False
588;CHA;JUCCCCTO;Subdelegacion;Tomina;Tomina;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;tomina_jurisdiccion_cha;conceptos:subdelegacion;CCCCTOJU;cha_charcas_tomina;CHA;Charcas;;Subdelegacion de Tomina;[[:conceptos:subdelegacion|Subdelegacion]] de Tomina;False
589;CHA;JUCCCCYA;Corregimiento;Yamparaez;Yamparaez;1583;not_after;1772;exact;;;;;False;;C;C;yamparaez_jurisdiccion_cha;conceptos:corregimiento;CCCCYAJU;cha_charcas_yamparaez;CHA;Charcas;;Corregimiento de Yamparaez;[[:conceptos:corregimiento|Corregimiento]] de Yamparaez;False
590;CHA;JUCCCCYA;Subdelegacion;Yamparaez;Yamparaez;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;yamparaez_jurisdiccion_cha;conceptos:subdelegacion;CCCCYAJU;cha_charcas_yamparaez;CHA;Charcas;;Subdelegacion de Yamparaez;[[:conceptos:subdelegacion|Subdelegacion]] de Yamparaez;False
