OficialID;foreignkey;prefix;prefixurl
1256;blem;cathie;https://www.catholic-hierarchy.org/bishop/
1257;14873;GCath;
1257;bdeortega;cathie;https://www.catholic-hierarchy.org/bishop/
1258;14887;GCath;
1258;balcalde;cathie;https://www.catholic-hierarchy.org/bishop/
1259;14888;GCath;
1259;brorv;cathie;https://www.catholic-hierarchy.org/bishop/
1260;14889;GCath;
1261;14890;GCath;
1261;bgompv;cathie;https://www.catholic-hierarchy.org/bishop/
1262;14891;GCath;
1262;bgomezde;cathie;https://www.catholic-hierarchy.org/bishop/
1263;14892;GCath;
1263;balto;cathie;https://www.catholic-hierarchy.org/bishop/
1264;14893;GCath;
1264;btapiz;cathie;https://www.catholic-hierarchy.org/bishop/
1265;14894;GCath;
1265;bmimm;cathie;https://www.catholic-hierarchy.org/bishop/
1266;14895;GCath;
1266;bgalindoy;cathie;https://www.catholic-hierarchy.org/bishop/
1267;14901;GCath;
1267;90660814;viaf;https://viaf.org/viaf/
1267;babad;cathie;https://www.catholic-hierarchy.org/bishop/
1268;14902;GCath;
1268;bmarianha;cathie;https://www.catholic-hierarchy.org/bishop/
1269;14903;GCath;
1269;bsanmic;cathie;https://www.catholic-hierarchy.org/bishop/
1270;14912;GCath;
1270;bcaslga;cathie;https://www.catholic-hierarchy.org/bishop/
1271;14913;GCath;
1271;bolib;cathie;https://www.catholic-hierarchy.org/bishop/
1272;14914;GCath;
1272;bgranados;cathie;https://www.catholic-hierarchy.org/bishop/
1273;14924;GCath;
1273;barho;cathie;https://www.catholic-hierarchy.org/bishop/
1274;14925;GCath;
1274;bmarin;cathie;https://www.catholic-hierarchy.org/bishop/
1275;14926;GCath;
1275;bllanoa;cathie;https://www.catholic-hierarchy.org/bishop/
1276;14927;GCath;
1276;bverger;cathie;https://www.catholic-hierarchy.org/bishop/
1277;14934;GCath;
1277;bestevez;cathie;https://www.catholic-hierarchy.org/bishop/
1278;14935;GCath;
1278;bdepina;cathie;https://www.catholic-hierarchy.org/bishop/
1279;Antonio Caballero y Góngora;wiki-es;https://es.wikipedia.org/wiki/
1279;14936;GCath;
1279;bcabgo;cathie;https://www.catholic-hierarchy.org/bishop/
1280;14937;GCath;
1280;bdeperedo;cathie;https://www.catholic-hierarchy.org/bishop/
1281;14938;GCath;
1281;bpadillae;cathie;https://www.catholic-hierarchy.org/bishop/
1282;14939;GCath;
1282;49314536;viaf;https://viaf.org/viaf/
1282;bdeye;cathie;https://www.catholic-hierarchy.org/bishop/
1283;14940;GCath;
1283;bdezamora;cathie;https://www.catholic-hierarchy.org/bishop/
1284;14941;GCath;
1284;bmatos;cathie;https://www.catholic-hierarchy.org/bishop/
1285;14942;GCath;
1285;bcastug;cathie;https://www.catholic-hierarchy.org/bishop/
1286;14943;GCath;
1286;breyrm;cathie;https://www.catholic-hierarchy.org/bishop/
1287;14955;GCath;
1287;bmaroce;cathie;https://www.catholic-hierarchy.org/bishop/
1288;14956;GCath;
1288;bdejesusy;cathie;https://www.catholic-hierarchy.org/bishop/
1289;15460;GCath;
1290;15461;GCath;
1290;bfuegma;cathie;https://www.catholic-hierarchy.org/bishop/
1291;15462;GCath;
1291;bmapll;cathie;https://www.catholic-hierarchy.org/bishop/
1292;15463;GCath;
1292;bpolancof;cathie;https://www.catholic-hierarchy.org/bishop/
1293;15464;GCath;
1293;bgarcvr;cathie;https://www.catholic-hierarchy.org/bishop/
1294;15465;GCath;
1294;bcilieza;cathie;https://www.catholic-hierarchy.org/bishop/
1295;15466;GCath;
1295;bmoto;cathie;https://www.catholic-hierarchy.org/bishop/
1296;15467;GCath;
1296;bradar;cathie;https://www.catholic-hierarchy.org/bishop/
1297;15468;GCath;
1297;bolpa;cathie;https://www.catholic-hierarchy.org/bishop/
1298;16065;GCath;
1298;bdemolina;cathie;https://www.catholic-hierarchy.org/bishop/
1299;17192;GCath;
1299;21853165;viaf;https://viaf.org/viaf/
1299;bjimenezp;cathie;https://www.catholic-hierarchy.org/bishop/
1300;17206;GCath;
1301;17207;GCath;
1301;bsace;cathie;https://www.catholic-hierarchy.org/bishop/
1302;17208;GCath;
1302;bsese;cathie;https://www.catholic-hierarchy.org/bishop/
1303;17209;GCath;
1303;bsantama;cathie;https://www.catholic-hierarchy.org/bishop/
1304;17374;GCath;
1304;balvco;cathie;https://www.catholic-hierarchy.org/bishop/
1305;17375;GCath;
1305;bpeca;cathie;https://www.catholic-hierarchy.org/bishop/
1306;17376;GCath;
1306;bsomi;cathie;https://www.catholic-hierarchy.org/bishop/
1307;17377;GCath;
1307;bponce;cathie;https://www.catholic-hierarchy.org/bishop/
1308;17378;GCath;
1308;besca;cathie;https://www.catholic-hierarchy.org/bishop/
1309;17379;GCath;
1309;bgomnf;cathie;https://www.catholic-hierarchy.org/bishop/
1310;17380;GCath;
1310;bromerol;cathie;https://www.catholic-hierarchy.org/bishop/
1311;Diego Ladrón de Guevara;wiki-es;https://es.wikipedia.org/wiki/
1311;17381;GCath;
1311;bladron;cathie;https://www.catholic-hierarchy.org/bishop/
1312;17382;GCath;
1312;bpardodef;cathie;https://www.catholic-hierarchy.org/bishop/
1313;18105;GCath;
1313;20575972;viaf;https://viaf.org/viaf/
1313;byfuero;cathie;https://www.catholic-hierarchy.org/bishop/
1314;18451;GCath;
1314;brodrig;cathie;https://www.catholic-hierarchy.org/bishop/
1315;18452;GCath;
1315;bruiza;cathie;https://www.catholic-hierarchy.org/bishop/
1316;18453;GCath;
1316;bmogu;cathie;https://www.catholic-hierarchy.org/bishop/
1317;18454;GCath;
1317;balvabr;cathie;https://www.catholic-hierarchy.org/bishop/
1318;18455;GCath;
