REG;gz_id;InstID;Label;Tipo;Cardinalidad;Rango;Lugar;START_;START_ex;END_;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain
NES;1000135;Correo_1000135;Estafeta de correo de Pátzcuaro;Estafeta de correo;Estafeta;4;Pátzcuaro;1765;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000136;Correo_1000136;Estafeta de correo de Puruandiro;Estafeta de correo;Estafeta;4;Puruandiro;1782;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000137;Correo_1000137;Estafeta de correo de Santa Clara de los Cobres;Estafeta de correo;Estafeta;4;Santa Clara de los Cobres;1782;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000139;Correo_1000139;Estafeta de correo de San Jerónimo de Tacambaro;Estafeta de correo;Estafeta;4;San Jerónimo de Tacambaro;1781;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000140;Correo_1000140;Estafeta de correo de Taretan;Estafeta de correo;Estafeta;4;Taretan;1782;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000142;Correo_1000142;Estafeta de correo de Tlalpujahua;Estafeta de correo;Estafeta;4;Tlalpujahua;1776;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000143;Correo_1000143;Estafeta de correo de Tlazazalca;Estafeta de correo;Estafeta;4;Tlazazalca;1784;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000144;Correo_1000144;Estafeta de correo de Uruapan;Estafeta de correo;Estafeta;4;Uruapan;1781;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000145;Correo_1000145;Estafeta de correo de San Martín de Zamora;Estafeta de correo;Estafeta;4;San Martín de Zamora;1772;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000146;Correo_1000146;Estafeta de correo de Zinapecuaro;Estafeta de correo;Estafeta;4;Zinapecuaro;1780;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000147;Correo_1000147;Estafeta de correo de San Juan Zitácuaro;Estafeta de correo;Estafeta;4;San Juan Zitácuaro;1782;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
PER;6000021;Puerto_6000021;Puerto de Arica;Armada del Mar del Sur;Consular;3;Arica;1111;;1719;;Sólo se incorporó mandando plata a El Callao, no era destino de comercio de Europa.;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
PER;6000008;Puerto_6000008;Puerto de El Callao;Armada del Mar del Sur;Consular;1;El Callao;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
QUI;5600003;Puerto_5600003;Puerto de Guayaquil;Armada del Mar del Sur;Consular;3;Guayaquil;1111;;1719;;Sólo se tocó a la vuelta, no era destino de comercio de Europa.;Interpolación;;;;Puerto
PER;6000003;Puerto_6000003;Puerto de Trujillo;Armada del Mar del Sur;Consular;3;Trujillo;1111;;1719;;Sólo se tocó a la vuelta, no era destino de comercio de Europa.;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
PER;6001392;Puerto_6001392;Puerto de Paita;Armada del Mar del Sur;Consular;3;Paita;1111;;1719;;Sólo se tocó a la vuelta, no era destino de comercio de Europa, aunque en la ida a Callao era puerto de desembarque de pasajeros antes de continuar a El Callao, y en la vuelta se recogió plata.;Interpolación;;;;Puerto
NGR;5000002;Puerto_5000002;Puerto de Panamá;Armada del Mar del Sur;Consular;1;Panamá;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
CHL;7000003;Puerto_7000003;Puerto de Valparaíso;Armada del Mar del Sur;Consular;3;Valparaíso;1111;;1719;;Sólo se incorporó mandando mercancía a El Callao, no era destino de comercio de Europa.;Interpolación;;;;Puerto
SDO;3000001;Puerto_3000001;Puerto de Santo Domingo;Flota de Barlovento;Consular;2;Santo Domingo;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
NES;1000226;Puerto_1000226;Puerto de Campeche;Flota de Barlovento;Consular;2;Campeche;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
SDO;3000003;Puerto_3000003;Puerto de San Juan de Puerto Rico;Flota de Barlovento;Consular;2;San Juan de Puerto Rico;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
SDO;3000005;Puerto_3000005;Puerto de Santiago de Cuba;Flota de Barlovento;Consular;2;Santiago de Cuba;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
GUA;2000732;Puerto_2000732;Puerto de Santo Tomás de Castilla;Flota de Barlovento;Consular;2;Santo Tomás de Castilla;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
GUA;2000009;Puerto_2000009;Puerto de Trujillo;Flota de Barlovento;Consular;2;Trujillo;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
NES;1000021;Puerto_1000021;Puerto de Veracruz;Flota de Barlovento;Consular;1;Veracruz;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
NES;1000021;Puerto_1000021;Puerto de Veracruz;Flota de Barlovento;Consular;1;Veracruz;1754;;1777;;;Interpolación;;;;Puerto
SDO;3000004;Puerto_3000004;Puerto de La Habana;Flota de Barlovento y Tornaviaje;Consular;1;La Habana;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
NGR;5000004;Puerto_5000004;Puerto de Cartagena de Indias;Galeones de Tierrafirme;Consular;1;Cartagena de Indias;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
VEN;4000005;Puerto_4000005;Puerto de Cumaná;Galeones de Tierrafirme;Consular;2;Cumaná;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
VEN;4000004;Puerto_4000004;Puerto de isla de Trinidad;Galeones de Tierrafirme;Consular;2;isla de Trinidad;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
VEN;4000393;Puerto_4000393;Puerto de isla Margarita;Galeones de Tierrafirme;Consular;2;isla Margarita;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
VEN;4000010;Puerto_4000010;Puerto de La Guaira;Galeones de Tierrafirme;Consular;2;La Guaira;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
VEN;4000007;Puerto_4000007;Puerto de Maracaibo;Galeones de Tierrafirme;Consular;2;Maracaibo;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
NGR;5000005;Puerto_5000005;Puerto de Portobelo;Galeones de Tierrafirme;Consular;1;Portobelo;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
NGR;5000012;Puerto_5000012;Puerto de Riohacha;Galeones de Tierrafirme;Consular;2;Riohacha;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
NGR;5000011;Puerto_5000011;Puerto de Santa Marta;Galeones de Tierrafirme;Consular;2;Santa Marta;1111;;1719;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto
NES;1000006;Puerto_1000006;Puerto de Acapulco;Nao de china;Consular;1;Acapulco;1111;;1787;;;Interpolación;;;;Puerto
FIL;1600001;Puerto_1600001;Puerto de Manila;Nao de china;Consular;1;Manila;1111;;1784;;;Interpolación;;;;Puerto
SDO;3000004;Puerto_3000004;Puerto de La Habana;Puerto mayor;Comercio libre;1;La Habana;1765;;1777;;;Interpolación;;;;Puerto
PER;6000021;Puerto_6000021;Puerto de Arica;Puerto mayor;Comercio libre;1;Arica;1778;;1797;;;Reglamento y aranceles reales para el comercio libre de España a Indias (Madrid 1778), pp. 5-6.;;;;Puerto
RPL;9000001;Puerto_9000001;Puerto de Buenos Aires;Puerto mayor;Comercio libre;1;Buenos Aires;1778;;1797;;;Reglamento y aranceles reales para el comercio libre de España a Indias (Madrid 1778), pp. 5-6.;;;;Puerto
PER;6000008;Puerto_6000008;Puerto de El Callao;Puerto mayor;Comercio libre;1;El Callao;1778;;1797;;;Reglamento y aranceles reales para el comercio libre de España a Indias (Madrid 1778), pp. 5-6.;;;;Puerto
NGR;5000004;Puerto_5000004;Puerto de Cartagena de Indias;Puerto mayor;Comercio libre;1;Cartagena de Indias;1778;;1797;;;Reglamento y aranceles reales para el comercio libre de España a Indias (Madrid 1778), pp. 5-6.;;;;Puerto
NES;1000151;Correo_1000151;Estafeta de correo de Huajuapan;Estafeta de correo;Estafeta;4;Huajuapan;1792;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000156;Correo_1000156;Estafeta de correo de Jalapa;Estafeta de correo;Estafeta;4;Jalapa;1768;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000157;Correo_1000157;Estafeta de correo de Xamiltepeque;Estafeta de correo;Estafeta;4;Xamiltepeque;1776;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000160;Correo_1000160;Estafeta de correo de Quiechapan;Estafeta de correo;Estafeta;4;Quiechapan;1800;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000161;Correo_1000161;Estafeta de correo de Nochistlan;Estafeta de correo;Estafeta;4;Nochistlan;1797;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000162;Correo_1000162;Estafeta de correo de Tehuantepec;Estafeta de correo;Estafeta;4;Tehuantepec;1774;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000164;Correo_1000164;Estafeta de correo de Teutitlan;Estafeta de correo;Estafeta;4;Teutitlan;1798;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000167;Correo_1000167;Estafeta de correo de Teposcolula;Estafeta de correo;Estafeta;4;Teposcolula;1774;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000169;Correo_1000169;Estafeta de correo de Villa Alta;Estafeta de correo;Estafeta;4;Villa Alta;1778;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000171;Correo_1000171;Estafeta de correo de Acatlan;Estafeta de correo;Estafeta;4;Acatlan;1783;;9999;;Identidad incierta;AGI_Correos;;Puebla;Mexico;Correo
NES;1000172;Correo_1000172;Estafeta de correo de Amozoc;Estafeta de correo;Estafeta;4;Amozoc;1790;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000173;Correo_1000173;Estafeta de correo de Atlixco;Estafeta de correo;Estafeta;4;Atlixco;1774;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000174;Correo_1000174;Estafeta de correo de Chiautla;Estafeta de correo;Estafeta;4;Chiautla;1779;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000175;Correo_1000175;Estafeta de correo de Chietla;Estafeta de correo;Estafeta;4;Chietla;1790;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000176;Correo_1000176;Estafeta de correo de Cholula;Estafeta de correo;Estafeta;4;Cholula;1776;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000178;Correo_1000178;Estafeta de correo de Huayacocotla;Estafeta de correo;Estafeta;4;Huayacocotla;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000179;Correo_1000179;Estafeta de correo de Huejotzingo;Estafeta de correo;Estafeta;4;Huejotzingo;1784;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000182;Correo_1000182;Estafeta de correo de Izúcar;Estafeta de correo;Estafeta;4;Izúcar;1778;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000183;Correo_1000183;Estafeta de correo de San Juan de los Llanos;Estafeta de correo;Estafeta;4;San Juan de los Llanos;1774;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000184;Correo_1000184;Estafeta de correo de Tecali;Estafeta de correo;Estafeta;4;Tecali;1792;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000185;Correo_1000185;Estafeta de correo de Tehuacan de las Granadas;Estafeta de correo;Estafeta;4;Tehuacan de las Granadas;1768;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000186;Correo_1000186;Estafeta de correo de Tepeaca;Estafeta de correo;Estafeta;4;Tepeaca;1776;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000187;Correo_1000187;Estafeta de correo de Tepexi de la Seda;Estafeta de correo;Estafeta;4;Tepexi de la Seda;1788;;9999;;;AGI_Correos;;Puebla;Mexico;Correo
NES;1000189;Correo_1000189;Estafeta de correo de Teziutlan;Estafeta de correo;Estafeta;4;Teziutlan;1774;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000192;Correo_1000192;Estafeta de correo de Totomehuacán;Estafeta de correo;Estafeta;4;Totomehuacán;1790;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000193;Correo_1000193;Estafeta de correo de Zacatlan de las Manzanas;Estafeta de correo;Estafeta;4;Zacatlan de las Manzanas;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000194;Correo_1000194;Estafeta de correo de Real de la Purísima Concepción de los Catorce;Estafeta de correo;Estafeta;4;Real de la Purísima Concepción de los Catorce;1779;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo
GDJ;1000195;Correo_1000195;Estafeta de correo de Santa María de las Charcas;Estafeta de correo;Estafeta;4;Santa María de las Charcas;1775;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo
NES;1000196;Correo_1000196;Estafeta de correo de Guadalcázar;Estafeta de correo;Estafeta;4;Guadalcázar;1788;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo
NES;1000199;Correo_1000199;Estafeta de correo de Valle de San Francisco;Estafeta de correo;Estafeta;4;Valle de San Francisco;1781;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo
NES;1000200;Correo_1000200;Estafeta de correo de Aquismon;Estafeta de correo;Estafeta;4;Aquismon;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000201;Correo_1000201;Estafeta de correo de San Sebastián del Venado;Estafeta de correo;Estafeta;4;San Sebastián del Venado;1783;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo
GDJ;1000202;Correo_1000202;Estafeta de correo de Alamos;Estafeta de correo;Estafeta;4;Alamos;1775;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000204;Correo_1000204;Estafeta de correo de Cosala;Estafeta de correo;Estafeta;4;Cosala;1785;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000205;Correo_1000205;Estafeta de correo de Culiacán;Estafeta de correo;Estafeta;4;Culiacán;1776;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000206;Correo_1000206;Estafeta de correo de Fuerte;Estafeta de correo;Estafeta;4;Fuerte;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000210;Correo_1000210;Estafeta de correo de Real  del Rosario;Estafeta de correo;Estafeta;4;Real  del Rosario;1774;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000211;Correo_1000211;Estafeta de correo de Sinaloa;Estafeta de correo;Estafeta;4;Sinaloa;1776;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000212;Correo_1000212;Estafeta de correo de Acayucan;Estafeta de correo;Estafeta;4;Acayucan;1772;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000213;Correo_1000213;Estafeta de correo de Cordoba;Estafeta de correo;Estafeta;4;Cordoba;1768;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000215;Correo_1000215;Estafeta de correo de Perote;Estafeta de correo;Estafeta;4;Perote;1774;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000216;Correo_1000216;Estafeta de correo de Orizaba;Estafeta de correo;Estafeta;4;Orizaba;1768;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000217;Correo_1000217;Estafeta de correo de Panuco;Estafeta de correo;Estafeta;4;Panuco;1808;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000218;Correo_1000218;Estafeta de correo de Papantla;Estafeta de correo;Estafeta;4;Papantla;1780;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000219;Correo_1000219;Estafeta de correo de Tuxtla;Estafeta de correo;Estafeta;4;Tuxtla;1773;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000220;Correo_1000220;Estafeta de correo de La Antigua;Estafeta de correo;Estafeta;4;La Antigua;1779;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000221;Correo_1000221;Estafeta de correo de Xalapa;Estafeta de correo;Estafeta;4;Xalapa;1768;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000226;Correo_1000226;Estafeta de correo de Campeche;Estafeta de correo;Estafeta;4;Campeche;1768;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
GDJ;1000233;Correo_1000233;Estafeta de correo de Aguascalientes;Estafeta de correo;Estafeta;4;Aguascalientes;1765;;9999;;;AGI_Correos;;Zacatecas;Mexico;Correo
GDJ;1000234;Correo_1000234;Estafeta de correo de Real del Fresnillo;Estafeta de correo;Estafeta;4;Real del Fresnillo;1773;;9999;;;AGI_Correos;;Zacatecas;Mexico;Correo
GDJ;1000235;Correo_1000235;Estafeta de correo de Jerez;Estafeta de correo;Estafeta;4;Jerez;1779;;9999;;;AGI_Correos;;Zacatecas;Mexico;Correo
GDJ;1000237;Correo_1000237;Estafeta de correo de Mazapil;Estafeta de correo;Estafeta;4;Mazapil;1789;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo
GDJ;1000239;Correo_1000239;Estafeta de correo de San Martín de la Sierra de Pinos;Estafeta de correo;Estafeta;4;San Martín de la Sierra de Pinos;1784;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo
GDJ;1000240;Correo_1000240;Estafeta de correo de Real  del Sombrerete;Estafeta de correo;Estafeta;4;Real  del Sombrerete;1765;;9999;;;AGI_Correos;;Zacatecas;Mexico;Correo
GDJ;1000241;Correo_1000241;Estafeta de correo de Taltenango;Estafeta de correo;Estafeta;4;Taltenango;1788;;9999;;;AGI_Correos;;Zacatecas;Mexico;Correo
GDJ;1000282;Correo_1000282;Estafeta de correo de Presidio del Norte;Estafeta de correo;Estafeta;4;Presidio del Norte;1779;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000394;Correo_1000394;Estafeta de correo de San Miguel de las Juntas;Estafeta de correo;Estafeta;4;San Miguel de las Juntas;1798;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000420;Correo_1000420;Estafeta de correo de Ameca;Estafeta de correo;Estafeta;4;Ameca;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000429;Correo_1000429;Estafeta de correo de Tecolotlán;Estafeta de correo;Estafeta;4;Tecolotlán;1793;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000440;Correo_1000440;Estafeta de correo de Tecalitlan;Estafeta de correo;Estafeta;4;Tecalitlan;1808;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000463;Correo_1000463;Estafeta de correo de Etzatlan;Estafeta de correo;Estafeta;4;Etzatlan;1791;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000464;Correo_1000464;Estafeta de correo de La Magdalena;Estafeta de correo;Estafeta;4;La Magdalena;1798;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000470;Correo_1000470;Estafeta de correo de Mascota;Estafeta de correo;Estafeta;4;Mascota;1792;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000472;Correo_1000472;Estafeta de correo de Talpa;Estafeta de correo;Estafeta;4;Talpa;1800;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000508;Correo_1000508;Estafeta de correo de Jalostotitlán;Estafeta de correo;Estafeta;4;Jalostotitlán;1800;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000518;Correo_1000518;Estafeta de correo de Teocaltiche;Estafeta de correo;Estafeta;4;Teocaltiche;1797;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000536;Correo_1000536;Estafeta de correo de Santa Ana Acatlan;Estafeta de correo;Estafeta;4;Santa Ana Acatlan;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000545;Correo_1000545;Estafeta de correo de Cocula;Estafeta de correo;Estafeta;4;Cocula;1792;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000551;Correo_1000551;Estafeta de correo de Jocotepec;Estafeta de correo;Estafeta;4;Jocotepec;1808;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000567;Correo_1000567;Estafeta de correo de Zacoalco;Estafeta de correo;Estafeta;4;Zacoalco;1791;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000579;Correo_1000579;Estafeta de correo de Tepetitlan;Estafeta de correo;Estafeta;4;Tepetitlan;1798;;9999;;Identidad incierta;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000587;Correo_1000587;Estafeta de correo de Angeles Zapotlan;Estafeta de correo;Estafeta;4;Angeles Zapotlan;1803;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000596;Correo_1000596;Estafeta de correo de Amatitan;Estafeta de correo;Estafeta;4;Amatitan;1804;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000608;Correo_1000608;Estafeta de correo de Purificación;Estafeta de correo;Estafeta;4;Purificación;1790;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
GDJ;1000643;Correo_1000643;Estafeta de correo de Tuxpan;Estafeta de correo;Estafeta;4;Tuxpan;1776;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo
NES;1000645;Correo_1000645;Estafeta de correo de Salvatierra;Estafeta de correo;Estafeta;4;Salvatierra;1765;;9999;;;AGI_Correos;;Queretaro;Mexico;Correo
NES;1000646;Correo_1000646;Estafeta de correo de Santiago;Estafeta de correo;Estafeta;4;Santiago;1781;;9999;;;AGI_Correos;;Queretaro;Mexico;Correo
NES;1000647;Correo_1000647;Estafeta de correo de Acambaro;Estafeta de correo;Estafeta;4;Acambaro;1782;;9999;;;AGI_Correos;;Queretaro;Mexico;Correo
NES;1000659;Correo_1000659;Estafeta de correo de Jerecuaro;Estafeta de correo;Estafeta;4;Jerecuaro;1796;;9999;;;AGI_Correos;;Queretaro;Mexico;Correo
NES;1000677;Correo_1000677;Estafeta de correo de Yurirapundaro;Estafeta de correo;Estafeta;4;Yurirapundaro;1802;;9999;;;AGI_Correos;;Queretaro;Mexico;Correo
NES;1000678;Correo_1000678;Estafeta de correo de Irapuato;Estafeta de correo;Estafeta;4;Irapuato;1765;;9999;;;AGI_Correos;;Guanajuato;Mexico;Correo
NES;1000681;Correo_1000681;Estafeta de correo de Silao;Estafeta de correo;Estafeta;4;Silao;1781;;9999;;;AGI_Correos;;Guanajuato;Mexico;Correo
NES;1000695;Correo_1000695;Estafeta de correo de San Felipe;Estafeta de correo;Estafeta;4;San Felipe;1784;;9999;;;AGI_Correos;;Queretaro;Mexico;Correo
NES;1000740;Correo_1000740;Estafeta de correo de Amecameca;Estafeta de correo;Estafeta;4;Amecameca;1788;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000791;Correo_1000791;Estafeta de correo de Tlalmanalco;Estafeta de correo;Estafeta;4;Tlalmanalco;1797;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000800;Correo_1000800;Estafeta de correo de Tlayacapan;Estafeta de correo;Estafeta;4;Tlayacapan;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000802;Correo_1000802;Estafeta de correo de Totolapan;Estafeta de correo;Estafeta;4;Totolapan;1791;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000855;Correo_1000855;Estafeta de correo de Tlalpán;Estafeta de correo;Estafeta;4;Tlalpán;1790;;9999;;Identidad incierta;AGI_Correos;;Puebla;Mexico;Correo
NES;9900742;Correo_9900742;Estafeta de correo de Tetela;Estafeta de correo;Estafeta;4;Tetela;1780;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000953;Correo_1000953;Estafeta de correo de Tepoztlan;Estafeta de correo;Estafeta;4;Tepoztlan;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000956;Correo_1000956;Estafeta de correo de San Francisco Tetecala;Estafeta de correo;Estafeta;4;San Francisco Tetecala;1783;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000965;Correo_1000965;Estafeta de correo de Tlaltizapan;Estafeta de correo;Estafeta;4;Tlaltizapan;1802;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000974;Correo_1000974;Estafeta de correo de Yautepec;Estafeta de correo;Estafeta;4;Yautepec;1777;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1000975;Correo_1000975;Estafeta de correo de Yecapixtla;Estafeta de correo;Estafeta;4;Yecapixtla;1789;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001005;Correo_1001005;Estafeta de correo de San Jerónomio Aculco;Estafeta de correo;Estafeta;4;San Jerónomio Aculco;1781;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001053;Correo_1001053;Estafeta de correo de San Francisco Soyaniquilpan;Estafeta de correo;Estafeta;4;San Francisco Soyaniquilpan;1778;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001115;Correo_1001115;Estafeta de correo de San Felipe del Obraje;Estafeta de correo;Estafeta;4;San Felipe del Obraje;1795;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001154;Correo_1001154;Estafeta de correo de Malinalco;Estafeta de correo;Estafeta;4;Malinalco;1788;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001211;Correo_1001211;Estafeta de correo de Zinacantepec;Estafeta de correo;Estafeta;4;Zinacantepec;1783;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001281;Correo_1001281;Estafeta de correo de Lolotla;Estafeta de correo;Estafeta;4;Lolotla;1800;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001291;Correo_1001291;Estafeta de correo de Molango;Estafeta de correo;Estafeta;4;Molango;1803;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001356;Correo_1001356;Estafeta de correo de Zacualtipan;Estafeta de correo;Estafeta;4;Zacualtipan;1801;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001380;Correo_1001380;Estafeta de correo de Atotonilco el Chico;Estafeta de correo;Estafeta;4;Atotonilco el Chico;1789;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
NES;1001381;Correo_1001381;Estafeta de correo de Real del Monte;Estafeta de correo;Estafeta;4;Real del Monte;1772;;9999;;;AGI_Correos;;Mexico;Mexico;Correo
