REG;gz_id;InstID;Label;Tipo;Cardinalidad;Rango;Lugar;START_;START_ex;END_;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain
GUA;2000011;Correo_2000011;Estafeta de correo de Comitan;Estafeta de correo;Estafeta;4;Comitan;1796;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000018;Correo_2000018;Estafeta de correo de Tapachula;Estafeta de correo;Estafeta;4;Tapachula;1798;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000021;Correo_2000021;Estafeta de correo de Tonalá;Estafeta de correo;Estafeta;4;Tonalá;1798;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000021;Correo_2000021;Estafeta de correo de Tonalá;Estafeta de correo;Estafeta;4;Tonalá;1808;;1808;;;AGI_Correos;;Mexico;Mexico;Correo
GUA;2000022;Correo_2000022;Estafeta de correo de Tuxtla;Estafeta de correo;Estafeta;4;Tuxtla;1773;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000042;Correo_2000042;Estafeta de correo de Chiapas;Estafeta de correo;Estafeta;4;Chiapas;1768;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000121;Correo_2000121;Estafeta de correo de Mazatenango;Estafeta de correo;Estafeta;4;Mazatenango;1804;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000131;Correo_2000131;Estafeta de correo de Sonsonate;Estafeta de correo;Estafeta;4;Sonsonate;1768;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000152;Correo_2000152;Estafeta de correo de Zacapa;Estafeta de correo;Estafeta;4;Zacapa;1770;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000153;Correo_2000153;Estafeta de correo de Chiquimula;Estafeta de correo;Estafeta;4;Chiquimula;1770;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000164;Correo_2000164;Estafeta de correo de Totonicapan;Estafeta de correo;Estafeta;4;Totonicapan;1770;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000173;Correo_2000173;Estafeta de correo de Quetzaltenango;Estafeta de correo;Estafeta;4;Quetzaltenango;1770;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000222;Correo_2000222;Estafeta de correo de Santa Ana;Estafeta de correo;Estafeta;4;Santa Ana;1768;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000229;Correo_2000229;Estafeta de correo de Coxutepeque;Estafeta de correo;Estafeta;4;Coxutepeque;1794;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000235;Correo_2000235;Estafeta de correo de San Vicente;Estafeta de correo;Estafeta;4;San Vicente;1768;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000237;Correo_2000237;Estafeta de correo de Zacatecoluca;Estafeta de correo;Estafeta;4;Zacatecoluca;1797;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000241;Correo_2000241;Estafeta de correo de San Miguel;Estafeta de correo;Estafeta;4;San Miguel;1768;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000247;Correo_2000247;Estafeta de correo de Olanchito;Estafeta de correo;Estafeta;4;Olanchito;1801;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000259;Correo_2000259;Estafeta de correo de San Fernando de Omoa;Estafeta de correo;Estafeta;4;San Fernando de Omoa;1770;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000264;Correo_2000264;Estafeta de correo de Tegucigalpa;Estafeta de correo;Estafeta;4;Tegucigalpa;1768;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000623;Correo_2000623;Estafeta de correo de Metapan;Estafeta de correo;Estafeta;4;Metapan;1802;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000628;Correo_2000628;Estafeta de correo de Managua;Estafeta de correo;Estafeta;4;Managua;1797;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000672;Correo_2000672;Estafeta de correo de El Realejo;Estafeta de correo;Estafeta;4;El Realejo;1768;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000678;Correo_2000678;Estafeta de correo de Masaya;Estafeta de correo;Estafeta;4;Masaya;1786;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000680;Correo_2000680;Estafeta de correo de Granada;Estafeta de correo;Estafeta;4;Granada;1768;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000682;Correo_2000682;Estafeta de correo de Nicaragua;Estafeta de correo;Estafeta;4;Nicaragua;1797;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000684;Correo_2000684;Estafeta de correo de Villanueva de San Jose;Estafeta de correo;Estafeta;4;Villanueva de San Jose;1797;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
GUA;2000732;Correo_2000732;Estafeta de correo de San Felipe del Golfo;Estafeta de correo;Estafeta;4;San Felipe del Golfo;1770;;9999;;;AGI_Correos;;Guatemala;Guatemala;Correo
SDO;3000001;Correo_3000001;Administración principal de correo de Santo Domingo;Administración principal de correo;Principal;1;Santo Domingo;1768;;1801;;;AGI_Correos;;;;Correo
SDO;3000002;Correo_3000002;Estafeta de correo de Puerto Principe;Estafeta de correo;Estafeta;4;Puerto Principe;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000003;Correo_3000003;Administración principal de correo de Puerto Rico;Administración principal de correo;Principal;1;Puerto Rico;1768;;9999;;;AGI_Correos;;;;Correo
SDO;3000004;Correo_3000004;Administración principal de correo de La Habana;Administración principal de correo;Principal;1;La Habana;1768;;9999;;;AGI_Correos;;;;Correo
SDO;3000005;Correo_3000005;Estafeta de correo de Santiago de Cuba;Estafeta de correo;Estafeta;4;Santiago de Cuba;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000006;Correo_3000006;Estafeta de correo de Panzacola;Estafeta de correo;Estafeta;4;Panzacola;1803;exact;9999;exact;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000007;Correo_3000007;Estafeta de correo de San Agustin de la Florida;Estafeta de correo;Estafeta;4;San Agustin de la Florida;1784;;9999;;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000008;Correo_3000008;Estafeta de correo de Concepcion de la Vega;Estafeta de correo;Estafeta;4;Concepcion de la Vega;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000010;Correo_3000010;Estafeta de correo de Trinidad;Estafeta de correo;Estafeta;4;Trinidad;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
